Character Number	State Number	SimJ Score	NIC Score
1	0	1.0	0.8894671152861489
1	1	1.0	0.8894671152861489
1	2	1.0	0.8894671152861489
2	0	0.564935064935065	0.8679145844014362
2	1	0.564935064935065	0.8679145844014362
3	0	0.005211267605633803	0.6862450438390629
3	1	0.005211267605633803	0.6862450438390629
4	0	0.4	0.6731776663601582
4	1	0.4	0.6731776663601582
5	0	0.34831460674157305	0.7691046685903521
5	1	0.34831460674157305	0.7691046685903521
5	2	0.34831460674157305	0.7305619837925558
6	0	0.7798165137614679	0.7841668206698776
6	1	0.5751014884979703	0.8310702894968192
6	2	0.5542043984476067	0.8894671152861489
6	3	0	0
6	4	0	0
7	0	0.07462686567164178	0.8289003930493086
7	1	0.10204081632653061	0.8289003930493086
8	0	0.9767441860465116	0.8636599077480517
8	1	0.7011494252873564	0.8597206924451644
9	0	0.10864197530864197	0.6964617862407121
9	1	0.07801418439716312	0.6964617862407121
10	0	0.28743961352657005	0.8597206924451644
10	1	0.28743961352657005	0.8832063484213408
10	2	0.28743961352657005	0.8597206924451644
11	0	0.6606217616580311	0.7295684019380646
11	1	0.8762886597938144	0.8776059016200373
12	0	0.9473684210526315	0.8289003930493086
12	1	0.9473684210526315	0.8110151838744357
13	0	0.002150537634408602	0.6912677123262579
13	1	0.002577319587628866	0.6912677123262579
14	0	0.5	0.8248095226320111
14	1	1.0	0.8597206924451644
15	0	1.0	0.9144501965246544
15	1	1.0	0.8832063484213408
16	0	0.005659709939865582	0.6667656758327729
16	1	0.005659709939865582	0.6667656758327729
17	0	0.0021204871683340584	0.6235712026351273
17	1	0.0021204871683340584	0.6235712026351273
18	0	0.5727554179566563	0.8268156128434346
18	1	0.8355916892502259	0.8636599077480517
19	0	0.03319502074688797	0.4569484388212528
19	1	0.1839080459770115	0.8776059016200373
19	2	0.1839080459770115	0.6928884196265563
20	0	1.0	0.8679145844014362
20	1	1.0	0.8679145844014362
21	0	0.7224770642201835	0.8776059016200373
21	1	0.11098527746319366	0.8125560187606915
22	0	0.3333333333333333	0.8310702894968192
22	1	0.3333333333333333	0.8310702894968192
23	0	0.15151515151515152	0.8210111155744947
23	1	0.15151515151515152	0.8210111155744947
24	0	0.0029959826596155158	0.5906661230333974
24	1	0.002971366828741221	0.5906661230333974
25	0	0.6304347826086957	0.8526228203815318
25	1	0.6304347826086957	0.8560533707353247
26	0	0.21359223300970873	0.805263081958722
26	1	0.6676300578034682	0.8434881059612479
27	0	0.11753371868978806	0.6083353031306579
27	1	0.11753371868978806	0.6083353031306579
28	0	0.010172490048651039	0.6122667798440267
28	1	0.010172490048651039	0.6122667798440267
29	0	1.0	0.8776059016200373
29	1	0.9473684210526315	0.8679145844014362
30	0	0.27204030226700254	0.8356953863359535
30	1	0.242152466367713	0.8356953863359535
31	0	0.0855614973262032	0.5142753922825876
31	1	0.0855614973262032	0.5142753922825876
32	0	1.0	0.8894671152861489
32	1	1.0	0.8894671152861489
33	0	0.4943820224719101	0.8679145844014362
33	1	0.5306122448979592	0.7573816996875851
33	2	0.31150442477876106	0.6832794495685671
33	3	0.4943820224719101	0.8560533707353247
33	4	0.4943820224719101	0.7100219612647752
34	0	0.9393939393939394	0.8494003136653085
34	1	0.9393939393939394	0.8636599077480517
34	2	0.9393939393939394	0.8636599077480517
34	3	0.9393939393939394	0.9144501965246544
35	0	0.9886363636363636	0.8526228203815318
35	1	0.9886363636363636	0.8526228203815318
36	0	0.19318181818181818	0.7620067965267194
36	1	0.2270450751252087	0.7620067965267194
37	0	0.6071428571428571	0.8965649873497815
37	1	0.6071428571428571	0.8157785254769148
38	0	0.3870967741935484	0.8407616067154203
38	1	0.17346938775510204	0.6820574398526773
38	2	0.3090128755364807	0.8013238666558348
39	0	0.7142857142857143	0.8080613639049171
39	1	0.3333333333333333	0.7931299746995627
39	2	0.3333333333333333	0.7931299746995627
39	3	0.3333333333333333	0.7931299746995627
40	0	1.0	0.9263114101907659
40	1	1.0	0.8776059016200373
40	2	1.0	0.9263114101907659
41	0	0.42857142857142855	0.9047588793060533
41	1	0.42857142857142855	0.8832063484213408
42	0	1.0	0.8776059016200373
42	1	0.5555555555555556	0.8725396812405707
42	2	1.0	0.8776059016200373
43	0	0.011828298887122416	0.6407729355354809
43	1	0.2788104089219331	0.6403425276652875
43	2	0.16129032258064516	0.6403425276652875
44	0	0.31851851851851853	0.8776059016200373
44	1	0.31851851851851853	0.8463620535167237
45	0	0.05113636363636364	0.6405265615994165
45	1	0.05454545454545454	0.6405265615994165
46	0	1.0	0.8725396812405707
46	1	1.0	0.8679145844014362
47	0	0.6666666666666666	0.8560533707353247
47	1	0.25	0.6141410902740574
48	0	1.0	0.9263114101907659
48	1	1.0	0.8776059016200373
48	2	1.0	0.8526228203815318
49	0	0.6379310344827587	0.8526228203815318
49	1	0.6379310344827587	0.8526228203815318
50	0	0.30701754385964913	0.8832063484213408
50	1	0.30701754385964913	0.8832063484213408
51	0	1.0	0.689232070170145
51	1	1.0	0.6989848738982556
51	2	1.0	0.8463620535167237
52	0	0.19753086419753085	0.7279526215595992
52	1	0.19753086419753085	0.7116363394489691
53	0	0.7268722466960352	0.7869898777652251
53	1	0.36585365853658536	0.7869898777652251
54	0	0.6666666666666666	0.8560533707353247
54	1	0.6666666666666666	0.8560533707353247
55	0	0.25	0.8434881059612479
55	1	0.25	0.8725396812405707
55	2	1.0	0.8210111155744947
56	0	1.0	0.8526228203815318
56	1	1.0	0.8560533707353247
57	0	0.5555555555555556	0.8725396812405707
57	1	0.4444444444444444	0.8526228203815318
58	0	0.06666666666666667	0.5892422410690062
58	1	0.26424870466321243	0.7350959836401664
59	0	1.0	0.8832063484213408
59	1	1.0	0.8679145844014362
60	0	0.10062893081761007	0.6150465216457558
60	1	0.06060606060606061	0.389286488054203
61	0	1.0	0.8141428554512411
61	1	1.0	0.8000731011472263
62	0	1.0	0.9263114101907659
62	1	1.0	0.8965649873497815
63	0	0.8333333333333334	0.8407616067154203
63	1	0.8333333333333334	0.8776059016200373
64	0	0.0	0.0
64	1	0.0	0.0
65	0	0.8	0.9047588793060533
65	1	0.7518072289156627	0.8560533707353247
65	2	0.6469428007889546	0.8560533707353247
65	3	0	0
66	0	0.0007375991148810622	0.4569484388212528
66	1	0.0006158583525789069	0.4569484388212528
67	0	0.8655445544554455	0.9144501965246544
67	1	0.8655445544554455	0.8636599077480517
68	0	0.002214424419991142	0.5892422410690062
68	1	0.002214424419991142	0.5892422410690062
69	0	1.0	0.9416031742106703
69	1	1.0	0.8894671152861489
70	0	1.0	0.8636599077480517
70	1	0.0022375915378356386	0.47484064587121294
70	2	0.008615625611905228	0.4875481670481783
70	3	0.11078199052132702	0.8463620535167237
71	0	0.16666666666666666	0.6477562776699834
71	1	0.00297417872110315	0.4125207422802152
71	2	0.0006851505047275384	0.4044117848409676
72	0	0.8045977011494253	0.8725396812405707
72	1	0.8045977011494253	0.8725396812405707
73	0	0.5714285714285714	0.8356953863359535
73	1	0.6451612903225806	0.8725396812405707
74	0	1.0	0.8407616067154203
74	1	1.0	0.8407616067154203
75	0	1.0	0.9047588793060533
75	1	1.0	0.8894671152861489
76	0	0.6666666666666666	0.9263114101907659
