Character Number	State Number	SimJ Score	NIC Score
1	0	1.0	0.9047588793060533
1	1	1.0	0.9047588793060533
1	2	1.0	0.9047588793060533
2	0	0.3684210526315789	0.7757117238560745
2	1	0.3333333333333333	0.8832063484213408
3	0	0.25	0.8776059016200373
3	1	1.0	0.9144501965246544
4	0	0.5	0.6786772495988559
4	1	0.5	0.6786772495988559
5	0	0.34782608695652173	0.7691046685903521
5	1	0.34782608695652173	0.7691046685903521
5	2	0.06611570247933884	0.557648303347535
6	0	0.125	0.5816606873510436
6	1	0.2857142857142857	0.8289003930493086
6	2	1.0	0.9047588793060533
6	3	0	0
6	4	0	0
7	0	1.0	0.9416031742106703
7	1	1.0	0.9631557050953831
8	0	1.0	0.9144501965246544
8	1	0.6391752577319587	0.9144501965246544
9	0	0.09736842105263158	0.560734478710337
9	1	0.0686456400742115	0.560734478710337
10	0	0.85	0.8832063484213408
10	1	0.49635036496350365	0.8248095226320111
10	2	0.85	0.8832063484213408
11	0	0.75	0.8434881059612479
11	1	1.0	0.8832063484213408
12	0	0.9473684210526315	0.8289003930493086
12	1	0.9473684210526315	0.8110151838744357
13	0	1.0	0.9631557050953831
13	1	1.0	0.9631557050953831
14	0	0.6666666666666666	0.8268156128434346
14	1	1.0	0.8597206924451644
15	0	0.0	0.0
15	1	0.0	0.0
16	0	0.005659709939865582	0.6667656758327729
16	1	0.005659709939865582	0.6667656758327729
17	0	0.0021204871683340584	0.6235712026351273
17	1	0.0021204871683340584	0.6235712026351273
18	0	0.002213448193347691	0.5942476138162334
18	1	0.002213448193347691	0.5942476138162334
19	0	0.125	0.8248095226320111
19	1	1.0	0.8965649873497815
19	2	1.0	0.8597206924451644
20	0	0.5223880597014925	0.9144501965246544
20	1	0.5223880597014925	0.9144501965246544
21	0	0.14285714285714285	0.8526228203815318
21	1	0.3525305410122164	0.8725396812405707
22	0	0.3333333333333333	0.8310702894968192
22	1	0.3333333333333333	0.8310702894968192
23	0	0.10680178733097748	0.9263114101907659
23	1	0.10680178733097748	0.9263114101907659
24	0	0.0016381507098653077	0.5898072251112714
24	1	0.0032310177705977385	0.5906661230333974
25	0	0.6373626373626373	0.8526228203815318
25	1	0.6373626373626373	0.8560533707353247
26	0	0.25	0.8268156128434346
26	1	0.8333333333333334	0.8560533707353247
27	0	0.11753371868978806	0.6083353031306579
27	1	0.11753371868978806	0.6083353031306579
28	0	0.010208610741233911	0.6122667798440267
28	1	0.3705283108268183	0.8776059016200373
29	0	0.9473684210526315	0.8776059016200373
29	1	1.0	0.8679145844014362
30	0	0.6442953020134228	0.8463620535167237
30	1	0.553314121037464	0.8463620535167237
31	0	0.42857142857142855	0.8636599077480517
31	1	0.42857142857142855	0.8636599077480517
32	0	1.0	0.8894671152861489
32	1	1.0	0.8894671152861489
33	0	0.44642857142857145	0.8526228203815318
33	1	0.08355795148247978	0.5450707965002709
33	2	0.27972027972027974	0.8039173118108033
33	3	0.44642857142857145	0.8494003136653085
33	4	0.44642857142857145	0.8407616067154203
34	0	0.7222222222222222	0.8407616067154203
34	1	0.7222222222222222	0.8526228203815318
34	2	0.7222222222222222	0.8526228203815318
34	3	0.7222222222222222	0.9047588793060533
35	0	0.9886363636363636	0.8526228203815318
35	1	0.9886363636363636	0.8526228203815318
36	0	0.32075471698113206	0.9047588793060533
36	1	0.32075471698113206	0.8894671152861489
37	0	0.1111111111111111	0.6855237969316667
37	1	0.1111111111111111	0.6855237969316667
38	0	0.2537313432835821	0.8407616067154203
38	1	0.2073170731707317	0.8013238666558348
38	2	0.2073170731707317	0.8013238666558348
39	0	0.375	0.7931299746995627
39	1	0.3333333333333333	0.7931299746995627
39	2	0.3333333333333333	0.7931299746995627
39	3	0.3333333333333333	0.7931299746995627
40	0	0.00616410670978173	0.6279936492801083
