Character Number	State Number	SimJ Score	NIC Score
1	0	1.0	0.8632410753295616
1	1	0.18181818181818182	0.8033149520414808
1	2	1.0	0.8283747805093862
2	0	0.45454545454545453	0.7782551235735755
2	1	1.0	0.9630425205955958
3	0	0.0050042893909064915	0.6117316858694661
3	1	0.0050042893909064915	0.6117316858694661
4	0	0.46153846153846156	0.6776901563495891
4	1	0.46153846153846156	0.6776901563495891
5	0	0.0	0.0
5	1	0.0	0.0
5	2	0.0	0.0
6	0	1.0	0.9141873902546929
6	1	0.7142857142857143	0.8521700823823836
6	2	0.9436619718309859	0.9044663016184409
6	3	0	0
6	4	0	0
7	0	0.05806451612903226	0.8135719082261128
7	1	0.07964601769911504	0.8135719082261128
8	0	0.6888888888888889	0.8891275617867876
8	1	0.6888888888888889	0.9141873902546929
9	0	0.09273182957393483	0.7015012539188242
9	1	0.06630824372759857	0.7015012539188242
10	0	1.0	0.88284756204569
10	1	0.6666666666666666	0.8242713430685351
10	2	1.0	0.88284756204569
11	0	1.0	0.8489376762282236
11	1	1.0	0.8962472382872035
12	0	0.07692307692307693	0.6135974595892889
12	1	0.07692307692307693	0.6003499043418642
13	0	0.0021502771131772618	0.6906404925622177
13	1	0.002576945412311266	0.6906404925622177
14	0	1.0	0.8962472382872035
14	1	1.0	0.8632410753295616
15	0	0.3333333333333333	0.8351906477988637
15	1	0.75	0.8721481272032677
16	0	0.0017979144192736426	0.5063436270134831
16	1	0.0017979144192736426	0.5063436270134831
17	0	1.0	0.9260850411911918
17	1	1.0	0.9141873902546929
18	0	1.0	0.9260850411911918
18	1	1.0	0.9044663016184409
19	0	1.0	0.9414237810228451
19	1	0.4444444444444444	0.8721481272032677
19	2	1.0	0.8675088222140369
20	0	0.005616492665521343	0.6030847793064865
20	1	0.005616492665521343	0.6030847793064865
21	0	0.13962765957446807	0.8152126029779796
21	1	0.6268656716417911	0.877229910850289
22	0	1.0	0.8962472382872035
22	1	0.42857142857142855	0.9141873902546929
23	0	0.00040586245772266066	0.3857665080157222
23	1	0.00040586245772266066	0.3857665080157222
24	0	0.2676795442051077	0.8430073064105073
24	1	0.2676795442051077	0.8430073064105073
25	0	0.3269230769230769	0.8376710193100487
25	1	0.3269230769230769	0.8283747805093862
26	0	0.25	0.8305513428096328
26	1	1.0	0.8592897588827996
27	0	0.099644128113879	0.9260850411911918
27	1	0.14213197969543148	0.9260850411911918
28	0	0.05054509415262636	0.7853748000739913
28	1	0.08823529411764706	0.9414237810228451
29	0	0.08	0.6135974595892889
29	1	0.08333333333333333	0.6003499043418642
30	0	0.4067796610169492	0.8458900826412861
30	1	0.6666666666666666	0.9260850411911918
31	0	0.10267857142857142	0.5156386562184773
31	1	0.10267857142857142	0.5156386562184773
32	0	0.5287356321839081	0.7982331683944597
32	1	0.5287356321839081	0.7982331683944597
33	0	1.0	0.8891275617867876
33	1	0.0998185117967332	0.5458451413756737
33	2	0.5714285714285714	0.8376710193100487
33	3	1.0	0.88284756204569
33	4	1.0	0.8430073064105073
34	0	0.5159128978224455	0.8262835959251577
34	1	0.5159128978224455	0.8430073064105073
34	2	0.5159128978224455	0.8430073064105073
34	3	0.5159128978224455	0.8891275617867876
35	0	0.9662921348314607	0.8489376762282236
35	1	0.9662921348314607	0.8489376762282236
36	0	0.08127721335268505	0.6525671918503154
36	1	0.1308411214953271	0.8675088222140369
37	0	0.4857142857142857	0.7994589320852534
37	1	0.4857142857142857	0.7625014526808495
38	0	0.5625	0.8458900826412861
38	1	0.45	0.8060498270061032
38	2	0.45	0.8060498270061032
39	0	0.10404624277456648	0.7734771491374927
39	1	0.34951456310679613	0.7994589320852534
39	2	0.5106382978723404	0.9260850411911918
39	3	0.5106382978723404	0.9260850411911918
40	0	0.7687622362410268	0.8891275617867876
40	1	0.004462538166444844	0.6269971358308024
40	2	0.7687622362410268	0.8891275617867876
41	0	0.04672897196261682	0.40631327605047285
41	1	0.04201680672268908	0.40631327605047285
42	0	0.5684210526315789	0.877229910850289
42	1	0.35809018567639256	0.8632410753295616
42	2	0.5684210526315789	0.877229910850289
43	0	0.007643312101910828	0.6396694014413521
43	1	0.0037137905422134194	0.6392376713718979
43	2	0.0036780932764454905	0.6392376713718979
44	0	0.002600297176820208	0.5699062043238802
44	1	0.0021718895439031957	0.5699062043238802
45	0	0.12222222222222222	0.832820552174477
45	1	0.13924050632911392	0.832820552174477
46	0	0.6585365853658537	0.818653691873134
46	1	0.6585365853658537	0.8074717345315645
47	0	0.6666666666666666	0.8632410753295616
47	1	0.6666666666666666	0.9044663016184409
48	0	0.10392156862745099	0.6114026719009787
48	1	0.7066666666666667	0.8891275617867876
48	2	0.7066666666666667	0.8489376762282236
49	0	0.004923255140457573	0.648396608313477
49	1	0.004923255140457573	0.648396608313477
50	0	0.2463768115942029	0.7750227174194154
50	1	0.2463768115942029	0.7690923476016991
51	0	0.013793103448275862	0.6559872520044122
51	1	0.013793103448275862	0.6559872520044122
51	2	1.0	0.8489376762282236
52	0	0.9473684210526315	0.877229910850289
52	1	0.9473684210526315	0.877229910850289
53	0	1.0	0.8521700823823836
53	1	0.375	0.8521700823823836
54	0	0.004897159647404506	0.3679635628631339
54	1	0.004897159647404506	0.3679635628631339
55	0	0.6666666666666666	0.8962472382872035
55	1	0.6666666666666666	0.9414237810228451
55	2	1.0	0.8223322794783954
56	0	1.0	0.8556111712775382
56	1	1.0	0.8592897588827996
57	0	0.3674832962138085	0.8283747805093862
57	1	0.6	0.9260850411911918
58	0	0.03125	0.5334278244178029
58	1	0.10619469026548672	0.6951773887928909
59	0	0.4264264264264264	0.8305513428096328
59	1	1.0	0.8721481272032677
60	0	1.0	0.7935938634052287
60	1	1.0	0.8891275617867876
61	0	1.0	0.8169053918935024
61	1	1.0	0.8033149520414808
62	0	0.0008110898097625719	0.4667496683352
62	1	0.0008110898097625719	0.4667496683352
63	0	1.0	0.8632410753295616
63	1	1.0	0.9044663016184409
64	0	0.002704241389126103	0.7258548684561974
64	1	0.07783695206882425	0.9630425205955958
65	0	0.25	0.8962472382872035
65	1	0.7360774818401937	0.818653691873134
65	2	0.6067864271457086	0.818653691873134
65	3	0	0
66	0	0.18181818181818182	0.6950022872487824
66	1	0.18181818181818182	0.6901594212782762
67	0	0.6666666666666666	0.8592897588827996
67	1	1.0	0.8962472382872035
68	0	0.21794871794871795	0.6754630792447487
68	1	0.21794871794871795	0.6658430681217259
69	0	0.06236559139784946	0.4049365873694793
69	1	0.06236559139784946	0.4049365873694793
70	0	1.0	0.8675088222140369
70	1	0.7285714285714285	0.9260850411911918
70	2	0.2442528735632184	0.8962472382872035
70	3	0.32571124700877424	0.9141873902546929
71	0	1.0	0.8305513428096328
71	1	0.00297417872110315	0.41438066774679694
71	2	0.6666666666666666	0.9630425205955958
72	0	0.1232876712328767	0.8521700823823836
72	1	0.09866017052375152	0.8521700823823836
73	0	0.06372549019607843	0.49067568222272834
73	1	0.04868913857677903	0.49067568222272834
74	0	1.0	0.8430073064105073
74	1	1.0	0.8430073064105073
75	0	0.9705882352941176	0.8521700823823836
75	1	0.9705882352941176	0.8489376762282236
76	0	0.22282608695652173	0.8675088222140369
76	1	0.22282608695652173	0.8675088222140369
77	0	0.007246376811594203	0.713398904855323
77	1	1.0	0.8675088222140369
78	0	1.0	0.8430073064105073
78	1	1.0	0.8430073064105073
79	0	1.0	0.877229910850289
79	1	1.0	0.8675088222140369
80	0	1.0	0.8402724314458849
80	1	1.0	0.8402724314458849
81	0	0.9555555555555556	0.8891275617867876
81	1	0.9555555555555556	0.8891275617867876
82	0	1.0	0.8891275617867876
82	1	1.0	0.8891275617867876
82	2	1.0	0.8402724314458849
83	0	0.9074074074074074	0.9044663016184409
83	1	0.9074074074074074	0.9044663016184409
84	0	1.0	0.8402724314458849
84	1	1.0	0.8402724314458849
85	0	0.92	0.8962472382872035
85	2	0.92	0.8351906477988637
85	1	0.92	0.9044663016184409
86	0	0.14285714285714285	0.9044663016184409
86	1	0.14285714285714285	0.9044663016184409
87	0	0.2558139534883721	0.678968835670281
