Character Number	State Number	SimJ Score	NIC Score
1	0	1.0	0.8632410753295616
1	1	1.0	0.8305513428096328
1	2	1.0	0.8283747805093862
2	0	0.3684210526315789	0.7782551235735755
2	1	0.49122807017543857	0.88284756204569
3	0	0.004928189242466911	0.6117316858694661
3	1	0.004928189242466911	0.6117316858694661
4	0	0.012738853503184714	0.6776901563495891
4	1	0.012738853503184714	0.6776901563495891
5	0	0.24	0.7219481139612649
5	1	0.34782608695652173	0.7712396863483172
5	2	0.0	0.0
6	0	0.7589285714285714	0.787313863664131
6	1	0.7589285714285714	0.9260850411911918
6	2	0.7589285714285714	0.88284756204569
6	3	0	0
6	4	0	0
7	0	0.06666666666666667	0.8135719082261128
7	1	0.09144542772861357	0.8135719082261128
8	0	0.6888888888888889	0.877229910850289
8	1	0.7011494252873564	0.8592897588827996
9	0	0.10864197530864197	0.6991826985326322
9	1	0.07801418439716312	0.6991826985326322
10	0	0.85	0.88284756204569
10	1	0.85	0.9141873902546929
10	2	0.85	0.88284756204569
11	0	0.4073482428115016	0.7290677904616807
11	1	0.9340659340659341	0.877229910850289
12	0	0.8536585365853658	0.8204612674255862
12	1	0.8536585365853658	0.8152126029779796
13	0	0.0021502771131772618	0.6906404925622177
13	1	0.002576945412311266	0.6906404925622177
14	0	0.6666666666666666	0.8305513428096328
14	1	1.0	0.8632410753295616
15	0	0.5	0.8351906477988637
15	1	0.75	0.8721481272032677
16	0	0.10591155649535718	0.8521700823823836
16	1	0.10591155649535718	0.8521700823823836
17	0	0.8429548563611491	0.9044663016184409
17	1	0.8429548563611491	0.8962472382872035
18	0	0.8355916892502259	0.8891275617867876
18	1	0.8355916892502259	0.8675088222140369
19	0	0.12265512265512266	0.5556964076149808
19	1	0.9659090909090909	0.8962472382872035
19	2	0.9659090909090909	0.787313863664131
20	0	1.0	0.8721481272032677
20	1	1.0	0.8721481272032677
21	0	0.13838120104438642	0.8152126029779796
21	1	0.13838120104438642	0.8152126029779796
22	0	1.0	0.8962472382872035
22	1	0.5555555555555556	0.8592897588827996
23	0	0.1378579003181336	0.8242713430685351
23	1	0.1378579003181336	0.8242713430685351
24	0	0.7310448372346959	0.9260850411911918
24	1	0.2676795442051077	0.8430073064105073
25	0	1.0	0.9260850411911918
25	1	1.0	0.9260850411911918
26	0	0.2054246331702979	0.8074717345315645
26	1	0.8716981132075472	0.8458900826412861
