Character Number	State Number	SimJ Score	NIC Score
1	0	1.0	0.8873535330133433
1	1	1.0	0.8653888800047039
1	2	1.0	0.857038306488651
2	0	0.45454545454545453	0.8105889414553341
2	1	0.45454545454545453	0.9029377023335896
3	0	0.18281535648994515	0.9404865246624751
3	1	0.18281535648994515	0.9404865246624751
4	0	0.46153846153846156	0.7434330268653115
4	1	0.46153846153846156	0.7434330268653115
5	0	0.23529411764705882	0.7839107516585397
5	1	0.3404255319148936	0.7962501488161969
5	2	0.0	0.0
6	0	0.7589285714285714	0.9029377023335896
6	1	0.7589285714285714	0.9128143345046266
6	2	0.9166666666666666	0.9029377023335896
6	3	0	0
6	4	0	0
7	0	0.6	0.9404865246624751
7	1	0.09641873278236915	0.8498047106844576
8	0	0.6888888888888889	0.9029377023335896
8	1	0.07077625570776255	0.8301455758183092
9	0	0.14076246334310852	0.5362471498056671
9	1	0.096	0.5362471498056671
10	0	0.85	0.8873535330133433
10	1	0.85	0.9029377023335896
10	2	0.85	0.8873535330133433
11	0	1.0	0.8653888800047039
11	1	1.0	0.9249023553422289
12	0	1.0	0.8873535330133433
12	1	1.0	0.8701024167928589
13	0	0.004310344827586207	0.724063912193498
13	1	0.00516795865633075	0.724063912193498
14	0	1.0	0.8945871288175365
14	1	1.0	0.8809730493249501
15	0	0.46153846153846156	0.8653888800047039
15	1	1.0	0.9029377023335896
16	0	0.288	0.8873535330133433
16	1	0.288	0.8873535330133433
17	0	0.4416210295728368	0.9128143345046266
17	1	0.4416210295728368	0.9029377023335896
18	0	0.5226960110041265	0.8653888800047039
18	1	0.7515822784810127	0.9029377023335896
19	0	0.14096185737976782	0.5584456706394716
19	1	0.09872241579558652	0.5584456706394716
19	2	0.9770114942528736	0.8029465022028365
20	0	1.0	0.9128143345046266
20	1	1.0	0.9128143345046266
21	0	1.0	0.8873535330133433
21	1	1.0	0.8873535330133433
22	0	1.0	0.8873535330133433
22	1	1.0	0.9128143345046266
23	0	0.03772920894349074	0.840495324531722
23	1	0.03772920894349074	0.840495324531722
24	0	1.0	0.9249023553422289
24	1	0.2857142857142857	0.8752655121757411
25	0	0.14782608695652175	0.8434242269960647
25	1	0.14782608695652175	0.8325535944639734
26	0	0.21639344262295082	0.8278400576758184
26	1	0.8009708737864077	0.9128143345046266
27	0	0.896551724137931	0.8610528464847688
27	1	0.896551724137931	0.8610528464847688
28	0	0.010208610741233911	0.6301958070256322
28	1	0.010281627179257935	0.6301958070256322
29	0	0.19298245614035087	0.6311441288321088
29	1	0.2	0.6073376633462201
30	0	0.6666666666666666	0.8752655121757411
30	1	0.5714285714285714	0.8752655121757411
31	0	0.42857142857142855	0.9029377023335896
31	1	0.42857142857142855	0.9029377023335896
32	0	0.5287356321839081	0.8139757629588626
32	1	0.5287356321839081	0.8139757629588626
33	0	1.0	0.9029377023335896
33	1	1.0	0.8701024167928589
33	2	1.0	0.8809730493249501
33	3	1.0	0.8701024167928589
33	4	1.0	0.8533008591671019
34	0	0.9509803921568627	0.8653888800047039
34	1	0.9509803921568627	0.8873535330133433
34	2	0.9509803921568627	0.8873535330133433
34	3	0.9509803921568627	0.9249023553422289
35	0	1.0	0.8945871288175365
35	1	1.0	0.8945871288175365
36	0	0.19318181818181818	0.78194066183088
36	1	0.32075471698113206	0.9249023553422289
37	0	1.0	0.9249023553422289
37	1	1.0	0.8256286690092534
38	0	0.425	0.8610528464847688
38	1	0.17832167832167833	0.6908372776337336
38	2	0.36818181818181817	0.7791136813152585
39	0	0.7142857142857143	0.857038306488651
39	1	0.3333333333333333	0.8465205839979691
39	2	0.3333333333333333	0.8465205839979691
39	3	0.3333333333333333	0.8465205839979691
40	0	0.8828197945845004	0.9128143345046266
40	1	0.9384615384615385	0.9128143345046266
40	2	0.8828197945845004	0.9128143345046266
41	0	0.42857142857142855	0.9249023553422289
