Character Number	State Number	SimJ Partial Precision
1	0	0.7719298245614035
1	1	0.7627118644067796
1	2	0.7627118644067796
2	0	0.3684210526315789
2	1	0.23299237713309137
3	0	0.25
3	1	1.0
4	0	0.5
4	1	0.5
5	0	0.2648221343873518
5	1	0.2648221343873518
5	2	0.05210547028728847
6	0	0.06748753117206982
6	1	0.14652462451973453
6	2	0.5940298507462687
6	3	0.0
6	4	0.0
7	0	1.0
7	1	1.0
8	0	1.0
8	1	0.6391752577319587
9	0	0.09736842105263158
9	1	0.0686456400742115
10	0	0.85
10	1	0.49635036496350365
10	2	0.85
11	0	0.75
11	1	0.6071428571428571
12	0	0.9473684210526315
12	1	0.9473684210526315
13	0	1.0
13	1	1.0
14	0	0.6666666666666666
14	1	1.0
15	0	0.0
15	1	0.0
16	0	0.005659709939865582
16	1	0.005659709939865582
17	0	0.0021204871683340584
17	1	0.0021204871683340584
18	0	0.002213448193347691
18	1	0.002213448193347691
19	0	0.125
19	1	1.0
19	2	1.0
20	0	0.49648814749780507
20	1	0.49648814749780507
21	0	0.14285714285714285
21	1	0.3525305410122164
22	0	0.3333333333333333
22	1	0.3333333333333333
23	0	0.10680178733097748
23	1	0.10680178733097748
24	0	0.0016381507098653077
24	1	0.0032310177705977385
25	0	0.6373626373626373
25	1	0.6373626373626373
26	0	0.25
26	1	0.5277777777777778
27	0	0.11753371868978806
27	1	0.11753371868978806
28	0	0.010208610741233911
28	1	0.3705283108268183
29	0	0.9473684210526315
29	1	1.0
30	0	0.6442953020134228
30	1	0.553314121037464
31	0	0.42857142857142855
31	1	0.42857142857142855
32	0	1.0
32	1	1.0
33	0	0.20072209211553474
33	1	0.08355795148247978
33	2	0.1386403321887193
33	3	0.3727358168147642
33	4	0.44642857142857145
34	0	0.7222222222222222
34	1	0.7222222222222222
34	2	0.7222222222222222
34	3	0.7222222222222222
35	0	0.9886363636363636
35	1	0.9886363636363636
36	0	0.32075471698113206
36	1	0.25239359665024125
37	0	0.1111111111111111
37	1	0.1111111111111111
38	0	0.2537313432835821
38	1	0.2073170731707317
38	2	0.2073170731707317
39	0	0.375
39	1	0.28458049886621317
39	2	0.3200589970501475
39	3	0.29198188616646265
40	0	0.00616410670978173
40	1	0.9384615384615385
40	2	0.00616410670978173
41	0	0.3048964218455744
41	1	0.3048964218455744
42	0	0.0
42	1	1.0
42	2	0.0
43	0	0.0
43	1	0.0
43	2	0.0
44	0	0.002600297176820208
44	1	0.0021718895439031957
45	0	0.5714285714285714
45	1	0.5
46	0	0.28362282878411915
46	1	0.28362282878411915
47	0	0.002336221162270028
47	1	0.01835366127536959
48	0	1.0
48	1	1.0
48	2	0.978494623655914
49	0	1.0
49	1	1.0
50	0	0.30701754385964913
50	1	0.30701754385964913
51	0	1.0
51	1	1.0
51	2	1.0
52	0	0.17777777777777778
52	1	0.17777777777777778
53	0	0.7268722466960352
53	1	0.36585365853658536
54	0	0.6666666666666666
54	1	0.6666666666666666
55	0	0.0035335689045936395
55	1	0.0035028955634079308
55	2	1.0
56	0	1.0
56	1	1.0
57	0	1.0
57	1	0.4444444444444444
58	0	0.06
58	1	0.15162162162162163
59	0	0.0
59	1	0.0
60	0	0.6071428571428571
60	1	0.21428571428571427
61	0	1.0
61	1	1.0
62	0	0.0026749566223250435
62	1	0.0026749566223250435
63	0	0.8333333333333334
63	1	0.41944894104950764
64	0	0.0
64	1	0.0
65	0	0.001594765896544674
65	1	0.0029723344257297462
65	2	0.0022538256777837763
65	3	0.0
66	0	0.0007375991148810622
66	1	0.0007375991148810622
67	0	0.0018314657634061324
67	1	0.0018314657634061324
68	0	0.7157894736842105
68	1	0.7157894736842105
69	0	1.0
69	1	1.0
70	0	0.6504854368932039
70	1	0.006821889366750705
70	2	0.008824093612123537
70	3	0.05281207133058985
71	0	0.16666666666666666
71	1	0.0017562028001923322
