Character Number	State Number	SimJ Partial Precision
1	0	0.5097087378640777
1	1	0.5097087378640777
1	2	0.5097087378640777
2	0	0.7532467532467533
2	1	0.1444370033833997
3	0	1.0
3	1	1.0
4	0	0.012738853503184714
4	1	0.012738853503184714
5	0	0.6203208556149733
5	1	0.6744186046511628
5	2	0.05210547028728847
6	0	0.7798165137614679
6	1	0.4103831141911817
6	2	0.5227207568807339
6	3	0.0
6	4	0.0
7	0	0.07462686567164178
7	1	0.10204081632653061
8	0	1.0
8	1	0.12336956521739131
9	0	0.06567164179104477
9	1	0.044534412955465584
10	0	0.28743961352657005
10	1	0.28743961352657005
10	2	0.28743961352657005
11	0	0.75
11	1	1.0
12	0	1.0
12	1	1.0
13	0	0.002150537634408602
13	1	0.002577319587628866
14	0	0.25301204819277107
14	1	0.45161290322580644
15	0	1.0
15	1	1.0
16	0	0.23510204081632652
16	1	0.23510204081632652
17	0	0.0021204871683340584
17	1	0.0021204871683340584
18	0	0.8355916892502259
18	1	0.8355916892502259
19	0	0.125
19	1	1.0
19	2	1.0
20	0	0.6830985915492958
20	1	0.6830985915492958
21	0	0.14285714285714285
21	1	0.1
22	0	0.0
22	1	0.0
23	0	0.35714285714285715
23	1	0.15151515151515152
24	0	0.001502663813123264
24	1	0.2857142857142857
25	0	0.6373626373626373
25	1	0.6373626373626373
26	0	0.25
26	1	0.5277777777777778
27	0	0.11517367458866545
27	1	0.11517367458866545
28	0	0.25
28	1	1.0
29	0	1.0
29	1	0.9473684210526315
30	0	0.6666666666666666
30	1	0.5714285714285714
31	0	0.42857142857142855
31	1	0.42857142857142855
32	0	1.0
32	1	1.0
33	0	0.20072209211553474
33	1	0.6595744680851063
33	2	0.1386403321887193
33	3	0.3727358168147642
33	4	0.44642857142857145
34	0	0.9393939393939394
34	1	0.9393939393939394
34	2	0.9393939393939394
34	3	0.8178012923243544
35	0	1.0
35	1	1.0
36	0	0.9444444444444444
36	1	0.647029420165667
37	0	1.0
37	1	1.0
38	0	0.3870967741935484
38	1	0.17586206896551723
38	2	0.3090128755364807
39	0	0.7142857142857143
39	1	0.28458049886621317
39	2	0.3200589970501475
39	3	0.29198188616646265
40	0	0.00616410670978173
40	1	0.9384615384615385
40	2	0.00616410670978173
41	0	0.1786945752998883
41	1	0.3414043583535109
42	0	1.0
42	1	1.0
42	2	1.0
43	0	0.01504489201650085
43	1	0.006473888649115235
43	2	0.006366182836771072
44	0	0.2395543175487465
44	1	0.2863394216133942
45	0	0.09482758620689655
45	1	0.3055555555555556
46	0	0.9285714285714286
46	1	0.9285714285714286
47	0	0.00936768149882904
47	1	0.056994575751005236
48	0	0.5104166666666666
48	1	0.5580456809204878
48	2	0.7200435729847494
49	0	1.0
49	1	1.0
50	0	1.0
50	1	1.0
51	0	0.016129032258064516
51	1	0.016129032258064516
51	2	1.0
52	0	0.19753086419753085
52	1	0.19753086419753085
53	0	0.9649122807017544
53	1	0.4177215189873418
54	0	0.1820480404551201
54	1	0.1820480404551201
55	0	0.24175824175824176
55	1	0.2458791208791209
55	2	1.0
56	0	1.0
56	1	1.0
57	0	1.0
57	1	0.4444444444444444
58	0	0.06
58	1	0.15162162162162163
59	0	1.0
59	1	1.0
60	0	0.6071428571428571
60	1	1.0
61	0	1.0
61	1	1.0
62	0	1.0
62	1	1.0
63	0	0.8333333333333334
63	1	0.5164851784633999
64	0	0.007807620237351655
64	1	0.17069327731092437
65	0	0.2857142857142857
65	1	0.23665223665223664
65	2	0.7655536028119508
65	3	0.0
66	0	0.14285714285714285
66	1	0.14285714285714285
67	0	0.5902569123257149
67	1	0.8655445544554455
68	0	0.6914893617021277
68	1	0.6914893617021277
69	0	0.3333333333333333
69	1	0.21428571428571427
70	0	1.0
70	1	0.0022375915378356386
70	2	0.008615625611905228
70	3	0.820900900900901
71	0	0.16666666666666666
71	1	0.0012595229284970639
71	2	0.0005171960546320786
72	0	0.6666666666666666
72	1	0.8571428571428571
73	0	0.6666666666666666
73	1	0.75
74	0	1.0
74	1	1.0
75	0	0.5466577540106952
75	1	0.5466577540106952
76	0	0.293640350877193
76	1	0.293640350877193
77	0	1.0
77	1	1.0
78	0	1.0
78	1	1.0
79	0	1.0
79	1	1.0
80	0	1.0
80	1	1.0
81	0	0.9775280898876404
81	1	0.9775280898876404
82	0	0.4740838388157908
82	1	0.5584368020980597
82	2	0.8272058823529411
83	0	0.8006535947712419
83	1	0.8006535947712419
84	0	1.0
84	1	1.0
85	0	0.008032128514056224
85	2	1.0
85	1	0.4444444444444444
86	0	0.005847248176502502
86	1	0.005847248176502502
87	0	1.0
87	1	1.0
88	0	1.0
88	1	1.0
89	0	1.0
89	1	1.0
90	0	0.12244897959183673
90	1	0.375
91	0	0.16688396349413298
91	1	1.0
92	0	0.6047540077390824
92	1	0.624098124098124
93	0	0.47692307692307695
93	1	0.47692307692307695
94	0	1.0
94	1	1.0
94	2	1.0
95	0	1.0
95	1	1.0
96	0	1.0
96	1	1.0
97	0	1.0
97	1	1.0
98	0	0.008368200836820083
98	2	0.20202020202020202
98	1	0.2169811320754717
99	0	1.0
99	1	1.0
100	0	0.012311901504787962
100	1	0.017786561264822136
101	0	0.14285714285714285
101	1	0.32075471698113206
102	0	0.5038535645472062
102	1	1.0
102	2	1.0
103	0	0.6666666666666666
103	1	0.5714285714285714
104	0	1.0
104	1	0.6785714285714286
105	0	0.5022421524663677
105	1	0.717948717948718
106	0	0.11114285714285714
106	1	0.11219336219336219
107	0	0.3783783783783784
107	1	0.3783783783783784
108	0	0.6428571428571428
108	1	0.005489357912547867
109	0	1.0
109	1	1.0
110	0	1.0
110	1	0.1111111111111111
110	2	1.0
111	0	0.15042630937880633
111	1	0.15042630937880633
112	0	0.5367132867132867
112	1	0.5826771653543307
113	0	0.5603448275862069
113	1	0.16774193548387098
114	0	0.9642857142857143
114	1	0.9642857142857143
115	0	0.4481087801087802
115	1	0.5046153846153846
115	2	0.3795944500731735
115	3	0.0028864656831302116
116	0	0.17880794701986755
116	1	0.15845768194983145
117	0	0.45427286356821595
117	1	0.45427286356821595
118	0	1.0
118	1	1.0
119	0	0.3
119	1	0.3
120	0	0.9139784946236559
120	1	0.9139784946236559
121	0	0.08695652173913043
121	1	0.09523809523809523
122	0	0.4157706093189964
122	1	0.4157706093189964
123	0	0.5555555555555556
123	1	1.0
124	0	1.0
124	1	1.0
125	0	0.29108280254777075
125	2	0.011834733893557423
125	1	0.20248211091234347
126	0	1.0
126	1	1.0
127	0	0.5084033613445378
127	1	0.7581227436823105
127	2	1.0
128	0	1.0
128	1	1.0
129	0	0.09006709374670463
129	1	0.7289719626168224
130	0	0.0064516129032258064
130	1	0.04489247311827957
131	0	0.39109909155787365
131	1	0.3199819706701438
132	0	0.2956381260096931
132	1	0.2956381260096931
133	0	0.7703383729301656
133	1	0.7270440251572327
134	0	0.7303370786516854
134	1	0.7303370786516854
134	2	0.7303370786516854
135	0	0.41702127659574467
135	1	0.41702127659574467
136	0	1.0
136	1	1.0
137	0	1.0
137	1	1.0
137	2	0.009787928221859706
138	0	1.0
138	1	1.0
139	0	1.0
139	1	1.0
140	0	0.008849557522123894
140	1	0.007407407407407408
141	0	0.022900763358778626
141	1	0.02984201287302516
142	0	0.5098039215686274
142	1	1.0
142	2	0.5098039215686274
143	0	0.9791666666666666
143	1	0.9791666666666666
144	0	0.026755852842809364
144	1	0.1415929203539823
145	0	1.0
145	1	1.0
145	2	1.0
145	3	1.0
146	0	0.007332402234636872
