Character Number	State Number	SimJ Partial Precision
1	0	0.5013071895424837
1	1	0.09221628045157457
1	2	0.500677048070413
2	0	0.45454545454545453
2	1	0.45884758516337465
3	0	0.0050042893909064915
3	1	0.0050042893909064915
4	0	0.46153846153846156
4	1	0.46153846153846156
5	0	0.2648221343873518
5	1	0.2648221343873518
5	2	0.0
6	0	1.0
6	1	0.5
6	2	0.5940298507462687
6	3	0.0
6	4	0.0
7	0	0.05856832971800434
7	1	0.08059701492537313
8	0	0.6888888888888889
8	1	0.07016577893711959
9	0	0.125
9	1	0.06666666666666667
10	0	1.0
10	1	0.5714285714285714
10	2	1.0
11	0	1.0
11	1	0.6363636363636364
12	0	0.0
12	1	0.0
13	0	0.002150537634408602
13	1	0.002577319587628866
14	0	1.0
14	1	1.0
15	0	0.46153846153846156
15	1	1.0
16	0	0.005641748942172073
16	1	0.005641748942172073
17	0	1.0
17	1	1.0
18	0	1.0
18	1	1.0
19	0	0.14285714285714285
19	1	0.1
19	2	1.0
20	0	1.0
20	1	1.0
21	0	0.14136125654450263
21	1	0.6474358974358975
22	0	1.0
22	1	0.5555555555555556
23	0	0.00040582585561617894
23	1	0.00040582585561617894
24	0	0.2857142857142857
24	1	0.2857142857142857
25	0	0.9782608695652174
25	1	0.9782608695652174
26	0	0.25
26	1	1.0
27	0	0.11753371868978806
27	1	0.11753371868978806
28	0	0.04157252598282874
28	1	0.02036299247454626
29	0	0.20689655172413793
29	1	0.19298245614035087
30	0	0.4067796610169492
30	1	0.6666666666666666
31	0	0.12272727272727273
31	1	0.12272727272727273
32	0	0.38571428571428573
32	1	0.38571428571428573
33	0	1.0
33	1	1.0
33	2	0.8571428571428571
33	3	0.7222222222222222
33	4	1.0
34	0	0.7403846153846154
34	1	0.7403846153846154
34	2	0.7403846153846154
34	3	0.7403846153846154
35	0	0.9662921348314607
35	1	0.9662921348314607
36	0	0.21942857142857142
36	1	0.22857142857142856
37	0	0.4857142857142857
37	1	0.4857142857142857
38	0	0.675
38	1	0.5472972972972973
38	2	0.75
39	0	0.02072538860103627
39	1	0.06262173671542307
39	2	0.07646266053591248
39	3	0.07642965247848711
40	0	0.7374791318864775
40	1	0.7808219178082192
40	2	0.7374791318864775
41	0	0.03697291546114647
41	1	0.3414043583535109
42	0	0.4506258692628651
42	1	0.35809018567639256
42	2	0.4506258692628651
43	0	0.009508716323296355
43	1	0.001990790082245772
