Character Number	State Number	SimJ Partial Precision
1	0	0.4902174142703205
1	1	0.5077612739194434
1	2	0.5077612739194434
2	0	0.2972972972972973
2	1	0.20891668575203856
3	0	0.12216404886561955
3	1	0.12216404886561955
4	0	0.012658227848101266
4	1	0.4
5	0	0.2109090909090909
5	1	0.2648221343873518
5	2	0.0
6	0	0.39186021572884855
6	1	0.2899858556911441
6	2	0.4983969116619333
6	3	0.0
6	4	0.0
7	0	0.06666666666666667
7	1	0.09144542772861357
8	0	0.6842490842490843
8	1	0.10040889656569534
9	0	0.10864197530864197
9	1	0.07801418439716312
10	0	0.85
10	1	0.85
10	2	0.85
11	0	0.529045643153527
11	1	0.430530714197607
12	0	0.9459459459459459
12	1	0.9459459459459459
13	0	0.002150537634408602
13	1	0.002577319587628866
14	0	0.6666666666666666
14	1	1.0
15	0	0.46153846153846156
15	1	1.0
16	0	0.10591155649535718
16	1	0.10591155649535718
17	0	0.8429548563611491
17	1	0.8429548563611491
18	0	0.8355916892502259
18	1	0.8355916892502259
19	0	0.39351851851851855
19	1	0.4370179948586118
19	2	0.9770114942528736
20	0	0.6830985915492958
20	1	0.6830985915492958
21	0	0.14285714285714285
21	1	0.14285714285714285
22	0	1.0
22	1	1.0
23	0	0.1378579003181336
23	1	0.1378579003181336
24	0	0.2676795442051077
24	1	0.2676795442051077
25	0	0.9010989010989011
25	1	0.9010989010989011
26	0	0.22893954410307235
26	1	0.5503188286553098
27	0	0.11753371868978806
27	1	0.11753371868978806
28	0	0.4533333333333333
28	1	0.8
29	0	0.24528301886792453
29	1	0.2549019607843137
30	0	0.6666666666666666
30	1	0.5714285714285714
31	0	0.3013698630136986
31	1	0.19642857142857142
32	0	0.38571428571428573
32	1	0.38571428571428573
33	0	0.9800995024875622
33	1	1.0
33	2	0.8372423596304194
33	3	0.7222222222222222
33	4	1.0
34	0	0.15585372593570573
34	1	0.5886792452830188
34	2	0.7222222222222222
34	3	0.5886792452830188
35	0	0.9662921348314607
35	1	0.9662921348314607
36	0	0.07179487179487179
36	1	0.1917808219178082
37	0	0.07380952380952381
37	1	0.4696969696969697
38	0	0.55
38	1	0.46153846153846156
38	2	0.46153846153846156
39	0	0.0997920997920998
39	1	0.10656340949386145
39	2	0.11599058312205722
39	3	0.12947190694068775
40	0	1.0
40	1	1.0
