Character Number	State Number	SimJ Partial Precision
1	0	0.058230707583981633
1	1	0.2313654160128077
1	2	0.1563072133122024
2	0	0.0
2	1	0.0
3	0	0.0
3	1	0.0
4	0	0.0
4	1	0.0
5	0	0.0
5	1	0.2648221343873518
5	2	0.0
6	0	0.5012406947890818
6	1	0.5
6	2	0.3689114266396214
6	3	0.0
6	4	0.0
7	0	0.0
7	1	0.0
8	0	0.0
8	1	0.0
9	0	0.0
9	1	0.03007518796992481
10	0	0.0
10	1	0.05167173252279635
10	2	0.0
11	0	0.0
11	1	0.0
12	0	0.0
12	1	0.10256410256410256
13	0	0.004310344827586207
13	1	0.0
14	0	2.559967232419425e-05
14	1	0.45161290322580644
15	0	0.0
15	1	0.0
16	0	0.0
16	1	0.0
17	0	0.0023094688221709007
17	1	0.0023094688221709007
18	0	0.002213448193347691
18	1	0.002213448193347691
19	0	0.0
19	1	0.0
19	2	0.0
20	0	0.0
20	1	0.0
21	0	0.0
21	1	0.1834862385321101
22	0	0.0
22	1	0.0
23	0	0.0
23	1	0.0
24	0	0.0
24	1	0.0
25	0	0.0
25	1	0.0
26	0	0.0017517517517517517
26	1	0.625
27	0	0.04525862068965517
27	1	0.04525862068965517
28	0	0.010752688172043012
28	1	0.010752688172043012
29	0	0.0
29	1	0.0
30	0	0.0
30	1	0.0016895969104513638
31	0	0.0
31	1	0.0
32	0	0.0
32	1	0.0
33	0	0.0
33	1	0.8088235294117647
33	2	0.0
33	3	0.65
33	4	1.0
34	0	0.0
34	1	0.0
34	2	0.0
34	3	0.0
35	0	0.0
35	1	0.0
36	0	0.0
36	1	0.22148084373654758
37	0	0.17647058823529413
37	1	0.5
38	0	0.0
38	1	0.0
38	2	0.0
39	0	0.0
39	1	0.0
39	2	0.0
39	3	0.0
40	0	0.002171388173509064
40	1	0.4387755102040816
40	2	0.002171388173509064
41	0	0.0
41	1	0.16937216519455717
42	0	0.0
42	1	0.0
42	2	0.0
43	0	0.0
43	1	0.16744186046511628
43	2	0.08759124087591241
44	0	0.0
44	1	0.0
45	0	0.0
45	1	0.14285714285714285
46	0	0.0478459778879146
46	1	0.0478459778879146
47	0	0.002336448598130841
47	1	0.018411490221966205
48	0	0.0
48	1	0.243828442229605
48	2	0.503057960839379
49	0	0.0
49	1	0.0
50	0	0.0
50	1	0.0
51	0	0.0
51	1	0.0
51	2	0.0
52	0	0.0
52	1	0.0
53	0	0.0
53	1	0.0
54	0	0.0
54	1	0.0
55	0	0.0
55	1	0.0035028955634079308
55	2	1.0
56	0	0.0
56	1	0.0
57	0	0.3741496598639456
57	1	0.0
58	0	0.0
58	1	0.18488372093023256
59	0	0.0
59	1	0.0
60	0	1.0
60	1	0.10526315789473684
61	0	0.9468085106382979
61	1	0.9468085106382979
62	0	0.0
62	1	0.0
63	0	1.0
63	1	0.5028409090909091
64	0	0.0255885363357216
64	1	0.002290845780262073
65	0	0.001594896331738437
65	1	0.0029850746268656717
65	2	0.0022619467038381613
65	3	0.0
66	0	0.0
66	1	0.0
67	0	0.0018314657634061324
67	1	0.0018314657634061324
68	0	0.0
68	1	0.6931818181818182
69	0	0.0
69	1	0.0
70	0	0.2909090909090909
70	1	0.001471259702704074
70	2	0.0019178625752265062
70	3	0.005901287553648069
71	0	1.0
71	1	0.002853470644819698
71	2	0.0023385503630470295
72	0	0.0
72	1	0.0
73	0	0.06435643564356436
73	1	0.04905660377358491
74	0	1.0
74	1	1.0
75	0	0.6230769230769231
75	1	0.7105263157894737
76	0	0.0
76	1	0.0
77	0	0.002772002772002772
77	1	0.0
78	0	1.0
78	1	1.0
79	0	0.0
79	1	0.0
80	0	1.0
80	1	1.0
81	0	0.0
81	1	0.22058823529411764
82	0	0.36030740093240093
82	1	0.3621998587570621
82	2	0.501675041876047
83	0	0.0
83	1	0.44716242661448136
84	0	1.0
84	1	1.0
85	0	0.008130081300813009
85	1	0.007466401194624191
85	2	1.0
86	0	0.0
86	1	0.2300395256916996
87	0	0.0
87	1	0.0
88	0	1.0
88	1	1.0
89	0	0.0
89	1	0.0
90	0	0.0009303407372950343
90	1	0.0009303407372950343
91	0	3.652567755131858e-05
91	1	0.21768707482993196
92	0	0.502978502978503
92	1	0.5093085106382979
93	0	0.47692307692307695
93	1	0.47692307692307695
94	0	0.0
94	1	0.0
94	2	0.0
95	0	0.0
95	1	0.0
96	0	1.0
96	1	1.0
97	0	0.0
97	1	0.0026055237102657635
98	0	0.0
