Character Number	State Number	SimJ Partial Recall
1	0	0.5153846153846153
1	1	0.512987012987013
1	2	0.512987012987013
2	0	0.7532467532467533
2	1	0.7532467532467533
3	0	1.0
3	1	1.0
4	0	0.5
4	1	0.5
5	0	0.618925831202046
5	1	0.6722222222222223
5	2	1.0
6	0	0.5909090909090909
6	1	0.7142857142857143
6	2	0.00847457627118644
6	3	0.0
6	4	0.0
7	0	0.9302325581395349
7	1	0.9302325581395349
8	0	1.0
8	1	0.08333333333333333
9	0	0.10864197530864197
9	1	0.07801418439716312
10	0	0.28743961352657005
10	1	0.18528610354223432
10	2	0.28743961352657005
11	0	0.75
11	1	1.0
12	0	0.9473684210526315
12	1	0.9473684210526315
13	0	0.002150537634408602
13	1	0.002577319587628866
14	0	1.0
14	1	1.0
15	0	1.0
15	1	1.0
16	0	0.24585523655479175
16	1	0.24585523655479175
17	0	1.0
17	1	1.0
18	0	1.0
18	1	1.0
19	0	0.42857142857142855
19	1	1.0
19	2	1.0
20	0	1.0
20	1	1.0
21	0	0.14285714285714285
21	1	0.14285714285714285
22	0	0.0
22	1	0.0
23	0	0.15151515151515152
23	1	0.15151515151515152
24	0	0.2857142857142857
24	1	0.2857142857142857
25	0	0.6373626373626373
25	1	0.6373626373626373
26	0	0.22893954410307235
26	1	0.5938303341902313
27	0	0.11517367458866545
27	1	0.11517367458866545
28	0	0.37362637362637363
28	1	0.37362637362637363
29	0	0.9473684210526315
29	1	1.0
30	0	0.5714285714285714
30	1	0.5714285714285714
31	0	1.0
31	1	1.0
32	0	1.0
32	1	1.0
33	0	0.6098024316109423
33	1	0.6914893617021277
33	2	0.6098024316109423
33	3	0.44642857142857145
33	4	0.44642857142857145
34	0	0.7403846153846154
34	1	0.7403846153846154
34	2	0.7403846153846154
34	3	0.7403846153846154
35	0	0.9886363636363636
35	1	0.9886363636363636
36	0	0.5573770491803278
36	1	0.46050670640834573
37	0	0.375
37	1	0.5714285714285714
38	0	0.21518987341772153
38	1	0.17346938775510204
38	2	0.17466572836030964
39	0	0.5714285714285714
39	1	1.0
39	2	1.0
39	3	1.0
40	0	0.00616410670978173
40	1	0.9384615384615385
40	2	0.00616410670978173
41	0	0.3414043583535109
41	1	0.3414043583535109
42	0	1.0
42	1	1.0
42	2	1.0
43	0	0.013205537806176783
43	1	0.005636131359434884
43	2	0.00555432126194179
44	0	0.31851851851851853
44	1	0.31851851851851853
45	0	0.09322033898305085
45	1	0.102803738317757
46	0	0.1261682242990654
46	1	0.1261682242990654
47	0	1.0
47	1	0.2727272727272727
48	0	0.5104166666666666
48	1	0.7951388888888888
48	2	0.8333333333333334
49	0	0.9487179487179487
49	1	0.9487179487179487
50	0	1.0
50	1	1.0
51	0	1.0
51	1	1.0
51	2	1.0
52	0	0.19753086419753085
52	1	0.19753086419753085
53	0	0.9649122807017544
53	1	0.9649122807017544
54	0	0.6666666666666666
54	1	0.6666666666666666
55	0	0.8
55	1	0.4647887323943662
55	2	1.0
56	0	1.0
56	1	1.0
57	0	1.0
57	1	0.36363636363636365
58	0	0.06
58	1	0.24324324324324326
59	0	1.0
59	1	1.0
60	0	1.0
60	1	1.0
61	0	1.0
61	1	1.0
62	0	0.505464480874317
62	1	0.8333333333333333
63	0	1.0
63	1	1.0
64	0	0.12515337423312883
64	1	0.009413067552602437
65	0	0.00641025641025641
65	1	0.012048192771084338
65	2	0.009523809523809525
65	3	0.0
66	0	0.3392857142857143
66	1	0.3392857142857143
67	0	0.6666666666666666
67	1	1.0
68	0	0.7157894736842105
68	1	0.7157894736842105
69	0	0.3333333333333333
69	1	0.21428571428571427
70	0	1.0
70	1	0.006629501280699111
70	2	0.002918933262571315
70	3	0.07038620106194243
71	0	0.9710144927536232
71	1	0.0030503073070794447
71	2	0.0030503073070794447
72	0	1.0
72	1	1.0
73	0	1.0
73	1	1.0
74	0	1.0
74	1	1.0
75	0	0.9705882352941176
75	1	0.9705882352941176
76	0	0.3302752293577982
76	1	0.13333333333333333
