Character Number	State Number	SimJ Partial Recall
1	0	0.5153846153846153
1	1	0.5119047619047619
1	2	0.5119047619047619
2	0	1.0
2	1	0.5906040268456376
3	0	0.005211267605633803
3	1	0.005211267605633803
4	0	0.0
4	1	0.0
5	0	1.0
5	1	1.0
5	2	1.0
6	0	1.0
6	1	0.7142857142857143
6	2	0.5042372881355932
6	3	0.0
6	4	0.0
7	0	1.0
7	1	0.3
8	0	1.0
8	1	0.08333333333333333
9	0	0.10864197530864197
9	1	0.07801418439716312
10	0	0.1643646408839779
10	1	0.1643646408839779
10	2	0.1643646408839779
11	0	0.75
11	1	1.0
12	0	1.0
12	1	1.0
13	0	0.002150537634408602
13	1	0.002577319587628866
14	0	0.6666666666666666
14	1	1.0
15	0	0.0
15	1	0.0
16	0	0.005659709939865582
16	1	0.005659709939865582
17	0	0.0021204871683340584
17	1	0.0021204871683340584
18	0	1.0
18	1	1.0
19	0	0.125
19	1	1.0
19	2	1.0
20	0	1.0
20	1	1.0
21	0	0.14285714285714285
21	1	0.1
22	0	0.0
22	1	0.0
23	0	0.1413575807390664
23	1	0.1413575807390664
24	0	0.2857142857142857
24	1	0.2857142857142857
25	0	1.0
25	1	1.0
26	0	0.25
26	1	0.8333333333333334
27	0	0.11517367458866545
27	1	0.11517367458866545
28	0	1.0
28	1	1.0
29	0	1.0
29	1	0.9473684210526315
30	0	0.5714285714285714
30	1	1.0
31	0	0.42857142857142855
31	1	1.0
32	0	1.0
32	1	1.0
33	0	0.44642857142857145
33	1	0.6914893617021277
33	2	0.44642857142857145
33	3	0.3727358168147642
33	4	0.44642857142857145
34	0	0.7403846153846154
34	1	0.7403846153846154
34	2	0.7403846153846154
34	3	0.7403846153846154
35	0	0.9886363636363636
35	1	0.9886363636363636
36	0	0.5573770491803278
36	1	0.46050670640834573
37	0	0.375
37	1	1.0
38	0	0.3870967741935484
38	1	0.17346938775510204
38	2	0.242437472250999
39	0	0.7142857142857143
39	1	0.3333333333333333
39	2	0.3333333333333333
39	3	0.3333333333333333
40	0	0.00616410670978173
40	1	0.9384615384615385
40	2	0.00616410670978173
