Character Number	State Number	SimJ Partial Recall
1	0	0.4467849223946785
1	1	0.43902439024390244
1	2	0.43902439024390244
2	0	0.564935064935065
2	1	0.564935064935065
3	0	0.005211267605633803
3	1	0.005211267605633803
4	0	0.4
4	1	0.4
5	0	0.2941573033707865
5	1	0.34807034684904736
5	2	0.34807034684904736
6	0	0.44460581157828866
6	1	0.4103831141911817
6	2	0.28045419859283877
6	3	0.0
6	4	0.0
7	0	0.07462686567164178
7	1	0.10204081632653061
8	0	0.9767441860465116
8	1	0.7011494252873564
9	0	0.10864197530864197
9	1	0.07801418439716312
10	0	0.28743961352657005
10	1	0.28743961352657005
10	2	0.28743961352657005
11	0	0.6606217616580311
11	1	0.8762886597938144
12	0	0.9473684210526315
12	1	0.9473684210526315
13	0	0.002150537634408602
13	1	0.002577319587628866
14	0	0.5
14	1	1.0
15	0	1.0
15	1	1.0
16	0	0.005659709939865582
16	1	0.005659709939865582
17	0	0.0021204871683340584
17	1	0.0021204871683340584
18	0	0.5727554179566563
18	1	0.8355916892502259
19	0	0.03319502074688797
19	1	0.1839080459770115
19	2	0.1839080459770115
20	0	1.0
20	1	1.0
21	0	0.7224770642201835
21	1	0.10455805929234449
22	0	0.3333333333333333
22	1	0.3333333333333333
23	0	0.15151515151515152
23	1	0.15151515151515152
24	0	0.0029959826596155158
24	1	0.002971366828741221
25	0	0.6304347826086957
25	1	0.6304347826086957
26	0	0.21359223300970873
26	1	0.6676300578034682
27	0	0.11753371868978806
27	1	0.11753371868978806
28	0	0.010172490048651039
28	1	0.010172490048651039
29	0	1.0
29	1	0.9473684210526315
30	0	0.27204030226700254
30	1	0.242152466367713
31	0	0.0855614973262032
31	1	0.0855614973262032
32	0	1.0
32	1	1.0
33	0	0.4943820224719101
33	1	0.30286872678954724
33	2	0.31150442477876106
33	3	0.4061505488082094
33	4	0.4943820224719101
34	0	0.9393939393939394
34	1	0.9393939393939394
34	2	0.9393939393939394
34	3	0.9393939393939394
35	0	0.9886363636363636
35	1	0.9886363636363636
36	0	0.19318181818181818
36	1	0.2270450751252087
37	0	0.6071428571428571
37	1	0.6071428571428571
38	0	0.3870967741935484
38	1	0.17346938775510204
38	2	0.242437472250999
39	0	0.7142857142857143
39	1	0.3333333333333333
39	2	0.3333333333333333
39	3	0.3333333333333333
40	0	1.0
40	1	1.0
40	2	1.0
41	0	0.3414043583535109
41	1	0.3414043583535109
42	0	1.0
42	1	0.5555555555555556
42	2	1.0
43	0	0.011828298887122416
43	1	0.2788104089219331
43	2	0.16129032258064516
44	0	0.31851851851851853
44	1	0.31851851851851853
45	0	0.05113636363636364
45	1	0.05454545454545454
46	0	1.0
46	1	1.0
47	0	0.6666666666666666
47	1	0.25
48	0	0.9596774193548387
48	1	0.6
48	2	0.8315272177419355
49	0	0.6379310344827587
49	1	0.6379310344827587
50	0	0.30701754385964913
50	1	0.30701754385964913
51	0	1.0
51	1	1.0
51	2	1.0
52	0	0.19753086419753085
52	1	0.19753086419753085
53	0	0.7268722466960352
53	1	0.36585365853658536
54	0	0.6666666666666666
54	1	0.6666666666666666
55	0	0.25
55	1	0.25
55	2	1.0
56	0	1.0
56	1	1.0
57	0	0.3175787728026534
57	1	0.25474254742547425
58	0	0.06666666666666667
58	1	0.26424870466321243
59	0	1.0
59	1	1.0
60	0	0.10062893081761007
60	1	0.06060606060606061
61	0	1.0
61	1	1.0
62	0	0.505464480874317
62	1	0.505464480874317
63	0	0.8333333333333334
63	1	0.5164851784633999
64	0	0.0
64	1	0.0
65	0	0.8
65	1	0.7518072289156627
65	2	0.6469428007889546
65	3	0.0
66	0	0.0007375991148810622
66	1	0.0006158583525789069
67	0	0.8655445544554455
67	1	0.8655445544554455
68	0	0.002214424419991142
68	1	0.002214424419991142
69	0	1.0
69	1	1.0
70	0	1.0
70	1	0.0022375915378356386
70	2	0.008615625611905228
70	3	0.11078199052132702
71	0	0.16666666666666666
71	1	0.002209919979427998
71	2	0.0006851505047275384
72	0	0.8045977011494253
72	1	0.8045977011494253
73	0	0.5714285714285714
73	1	0.6451612903225806
74	0	1.0
74	1	1.0
75	0	0.9852941176470589
75	1	0.9852941176470589
76	0	0.6666666666666666
76	1	0.6666666666666666
77	0	0.5036231884057971
77	1	1.0
78	0	1.0
78	1	1.0
79	0	1.0
79	1	1.0
80	0	1.0
80	1	1.0
81	0	0.20833333333333334
81	1	0.20833333333333334
82	0	0.6931216931216931
82	1	0.75
82	2	1.0
83	0	0.2786885245901639
83	1	0.2786885245901639
84	0	1.0
84	1	1.0
85	0	0.92
85	2	0.92
85	1	0.7708108108108108
86	0	0.05661489925603649
86	1	0.05613005426971111
87	0	1.0
87	1	1.0
88	0	1.0
88	1	1.0
89	0	1.0
89	1	1.0
90	0	0.375
90	1	0.375
91	0	0.16688396349413298
91	1	1.0
92	0	0.8571428571428572
92	1	0.6767676767676768
93	0	0.47692307692307695
93	1	0.47692307692307695
94	0	0.42546245919477693
94	1	0.42546245919477693
94	2	0.4857142857142857
95	0	1.0
95	1	1.0
96	0	0.6666666666666666
96	1	0.6666666666666666
97	0	0.46408839779005523
97	1	0.46408839779005523
98	0	0.7666666666666667
98	2	0.7333333333333333
98	1	0.18930041152263374
99	0	1.0
99	1	1.0
100	0	0.30357142857142855
100	1	0.30357142857142855
101	0	0.06463878326996197
101	1	0.5708502024291497
102	0	0.2
102	1	0.017857142857142856
102	2	1.0
103	0	0.6666666666666666
103	1	0.5714285714285714
104	0	1.0
104	1	0.39285714285714285
105	0	0.2310866574965612
105	1	0.15231187669990934
106	0	0.7125
106	1	0.7125
107	0	0.3783783783783784
107	1	0.21497120921305182
108	0	0.0
108	1	0.0
109	0	1.0
109	1	1.0
110	0	1.0
110	1	1.0
110	2	1.0
111	0	0.15042630937880633
111	1	0.15042630937880633
112	0	1.0
112	1	0.18181818181818182
113	0	0.5603448275862069
113	1	0.16774193548387098
114	0	0.9642857142857143
114	1	0.9642857142857143
115	0	0.4149825270514926
115	1	0.39293587090043247
115	2	0.4149825270514926
115	3	0.003027684576731593
116	0	1.0
116	1	1.0
117	0	0.6200607902735562
117	1	0.6200607902735562
118	0	1.0
118	1	1.0
119	0	0.3
119	1	0.3
120	0	0.8490566037735849
120	1	0.8490566037735849
121	0	0.039160839160839164
121	1	0.04416403785488959
122	0	0.4925373134328358
122	1	0.4925373134328358
123	0	0.11208791208791209
123	1	0.02773246329526917
124	0	1.0
124	1	1.0
125	0	0.4636542239685658
125	2	0.00846145337905099
125	1	0.2636519645509964
126	0	1.0
126	1	1.0
127	0	1.0
127	1	1.0
127	2	1.0
128	0	1.0
128	1	1.0
129	0	0.5735153256704981
129	1	0.6360892005063784
130	0	0.0064516129032258064
130	1	0.08333333333333333
131	0	0.3080197594876251
131	1	0.2866987680807931
132	0	0.41876430205949655
132	1	0.41876430205949655
133	0	1.0
133	1	1.0
134	0	0.3651685393258427
134	1	0.7222222222222222
134	2	0.9558823529411765
135	0	0.41702127659574467
135	1	0.41702127659574467
136	0	0.5625
136	1	0.5625
137	0	1.0
137	1	1.0
137	2	0.0
138	0	1.0
138	1	1.0
139	0	0.8620689655172413
139	1	0.8620689655172413
140	0	0.16305869807721673
140	1	0.15019897120573888
141	0	0.5714285714285714
141	1	0.6666666666666666
142	0	1.0
142	1	1.0
142	2	1.0
143	0	0.9791666666666666
143	1	0.9791666666666666
144	0	0.028645833333333332
144	1	0.028645833333333332
145	0	1.0
145	1	1.0
145	2	1.0
145	3	1.0
146	0	0.007332402234636872
146	1	0.018534863195057368
147	0	1.0
147	1	1.0
148	0	0.75
148	1	0.6666666666666666
148	2	0.5625
149	0	1.0
149	1	1.0
150	0	0.0
150	1	0.0
150	2	0.0
150	3	0.0
151	0	1.0
151	1	1.0
152	0	0.0
152	1	0.0
153	0	0.9
153	1	0.9
154	0	0.18253968253968253
154	1	0.18253968253968253
155	0	1.0
155	1	1.0
156	0	1.0
156	1	1.0
157	0	1.0
157	1	1.0
158	0	1.0
158	1	1.0
159	0	0.005970149253731343
159	1	0.004968172643999379
160	0	0.02773246329526917
160	1	0.02773246329526917
161	0	1.0
161	1	1.0
162	0	1.0
162	1	1.0
163	0	1.0
163	1	1.0
164	0	1.0
164	1	1.0
165	0	0.6094529861532617
165	1	0.7722477943996932
166	0	0.6
166	1	1.0
166	2	0.8378378378378378
167	0	1.0
167	1	1.0
168	0	0.8717948717948718
168	1	0.8717948717948718
169	0	0.23480662983425415
169	1	0.0813786500718047
170	0	0.053781141469094414
170	1	0.05870813397129186
170	2	0.05870813397129186
171	0	0.2222222222222222
171	1	0.2222222222222222
172	0	0.004643363859151296
172	1	0.13727160285735637
173	0	0.40298507462686567
173	1	0.40298507462686567
174	0	1.0
174	1	1.0
175	0	0.34340044742729303
175	1	0.7600671140939597
176	0	0.22641509433962265
176	1	0.22641509433962265
177	0	1.0
177	1	1.0
178	0	0.375
178	1	0.2862654320987654
179	0	0.3902439024390244
179	1	0.3902439024390244
180	0	1.0
180	1	1.0
180	2	1.0
181	0	0.23529411764705882
181	1	0.1953125
181	2	0.07692307692307693
182	0	1.0
182	1	0.7142857142857143
182	2	0.09090909090909091
183	0	0.36363636363636365
183	1	0.6428571428571429
184	0	0.9487179487179487
184	1	0.9487179487179487
184	2	0.9487179487179487
184	3	0.6826568265682657
185	0	0.8558682223747426
185	1	0.8558682223747426
186	0	0.4141886441628044
186	1	0.4627733829688227
186	2	0.07749077490774908
186	3	0.5120054364240411
187	0	0.48241168393458994
187	1	0.2834323432343234
188	0	1.0
188	1	0.7142857142857143
188	2	0.7142857142857143
189	0	1.0
189	1	0.25
190	0	0.4067796610169492
190	1	0.4067796610169492
190	2	0.4067796610169492
191	0	0.8947368421052632
191	1	0.8947368421052632
192	0	0.3966808635629314
192	1	0.7262705028233396
193	0	0.9705882352941176
193	1	0.9705882352941176
194	0	1.0
194	1	1.0
