Character Number	State Number	SimJ Partial Recall
1	0	0.5153846153846153
1	1	0.512987012987013
1	2	0.512987012987013
2	0	0.42857142857142855
2	1	0.42857142857142855
3	0	0.005211267605633803
3	1	0.005211267605633803
4	0	0.012738853503184714
4	1	0.012738853503184714
5	0	0.29391304347826086
5	1	0.34782608695652173
5	2	0.06611570247933884
6	0	0.44460581157828866
6	1	0.5751014884979703
6	2	0.39326025624976935
6	3	0.0
6	4	0.0
7	0	0.07462686567164178
7	1	0.10204081632653061
8	0	0.9767441860465116
8	1	0.7011494252873564
9	0	0.04289544235924933
9	1	0.0686456400742115
10	0	0.85
10	1	0.49635036496350365
10	2	0.85
11	0	0.75
11	1	0.8333333333333333
12	0	1.0
12	1	1.0
13	0	0.002150537634408602
13	1	0.002577319587628866
14	0	0.002136752136752137
14	1	1.0
15	0	0.2727272727272727
15	1	0.5
16	0	0.011418376449598573
16	1	0.011418376449598573
17	0	0.0021204871683340584
17	1	0.0021204871683340584
18	0	0.6666666666666666
18	1	1.0
19	0	0.03319502074688797
19	1	0.1839080459770115
19	2	0.1839080459770115
20	0	1.0
20	1	1.0
21	0	0.13962765957446807
21	1	0.09813084112149532
22	0	0.3333333333333333
22	1	0.3333333333333333
23	0	0.1413575807390664
23	1	0.1413575807390664
24	0	0.0016385980883022303
24	1	0.0032396792302844596
25	0	0.6373626373626373
25	1	0.6373626373626373
26	0	0.25
26	1	0.8333333333333334
27	0	0.11517367458866545
27	1	0.11517367458866545
28	0	0.03832752613240418
28	1	0.038461538461538464
29	0	1.0
29	1	0.9473684210526315
30	0	0.2108345534407028
30	1	0.32727272727272727
31	0	0.125
31	1	1.0
32	0	1.0
32	1	1.0
33	0	0.44642857142857145
33	1	0.2602739726027397
33	2	0.27972027972027974
33	3	0.3727358168147642
33	4	0.44642857142857145
34	0	0.001951951951951952
34	1	0.0024280911844527246
34	2	0.002427788844621514
34	3	0.002544695299885019
35	0	0.37777777777777777
35	1	0.37777777777777777
36	0	0.23529411764705882
36	1	0.2020055825493642
37	0	1.0
37	1	1.0
38	0	0.4358974358974359
38	1	0.17346938775510204
38	2	0.0033073929961089494
39	0	0.1111111111111111
39	1	0.3333333333333333
39	2	0.3333333333333333
39	3	0.3333333333333333
40	0	0.006269592476489028
40	1	1.0
40	2	0.006269592476489028
41	0	0.0473186119873817
41	1	0.21382384637993535
42	0	0.5740740740740741
42	1	0.4025974025974026
42	2	0.5740740740740741
43	0	0.0
43	1	0.16289592760180996
43	2	0.08633093525179857
44	0	0.2448315596827764
44	1	0.19602735265385868
45	0	0.0
45	1	0.05472636815920398
46	0	1.0
46	1	1.0
47	0	0.6666666666666666
47	1	0.6666666666666666
48	0	0.5104166666666666
48	1	0.34492878288828765
48	2	0.5636787828882877
49	0	0.0
49	1	0.4225352112676056
50	0	0.6363636363636364
50	1	0.6363636363636364
51	0	0.9622641509433962
51	1	0.9622641509433962
51	2	0.9622641509433962
52	0	0.1797752808988764
52	1	0.1797752808988764
53	0	0.4177215189873418
53	1	0.4177215189873418
54	0	0.0
54	1	0.6666666666666666
55	0	0.25
55	1	0.25
55	2	1.0
56	0	1.0
56	1	1.0
57	0	0.5555555555555556
57	1	0.4
58	0	0.06
58	1	0.24324324324324326
59	0	0.4264264264264264
59	1	1.0
60	0	1.0
60	1	0.21428571428571427
61	0	1.0
61	1	1.0
62	0	0.0
62	1	0.8333333333333333
63	0	0.5604395604395604
63	1	0.3570270091354429
64	0	0.14925373134328357
64	1	0.013646288209606987
65	0	0.7876447876447876
65	1	0.5664939550949913
65	2	0.8
65	3	0.0
66	0	0.1415929203539823
66	1	0.0007842368395255367
67	0	1.0
67	1	1.0
68	0	0.0
68	1	0.002154243860404998
69	0	0.21428571428571427
69	1	1.0
70	0	1.0
70	1	0.0022375915378356386
70	2	0.07174271577789995
70	3	0.13837535014005603
71	0	1.0
71	1	0.0029723047167782277
71	2	0.1851385423030328
72	0	0.8045977011494253
72	1	0.8045977011494253
