Character Number	State Number	SimJ Partial Recall
1	0	0.5145985401459854
1	1	0.10281385281385282
1	2	0.5119047619047619
2	0	0.45454545454545453
2	1	0.7364433811802233
3	0	0.0050042893909064915
3	1	0.0050042893909064915
4	0	0.46153846153846156
4	1	0.46153846153846156
5	0	0.0
5	1	0.0
5	2	0.0
6	0	1.0
6	1	0.3452380952380953
6	2	0.48776424490491616
6	3	0.0
6	4	0.0
7	0	0.05806451612903226
7	1	0.07964601769911504
8	0	0.6888888888888889
8	1	0.37983257229832573
9	0	0.09273182957393483
9	1	0.06630824372759857
10	0	1.0
10	1	0.6666666666666666
10	2	1.0
11	0	1.0
11	1	0.7
12	0	0.07692307692307693
12	1	0.07692307692307693
13	0	0.0021502771131772618
13	1	0.002576945412311266
14	0	1.0
14	1	1.0
15	0	0.3333333333333333
15	1	0.75
16	0	0.0017979144192736426
16	1	0.0017979144192736426
17	0	1.0
17	1	1.0
18	0	1.0
18	1	1.0
19	0	1.0
19	1	0.4444444444444444
19	2	1.0
20	0	0.005616492665521343
20	1	0.005616492665521343
21	0	0.13962765957446807
21	1	0.3832466656081296
22	0	1.0
22	1	0.42857142857142855
23	0	0.00040586245772266066
23	1	0.00040586245772266066
24	0	0.2676795442051077
24	1	0.2676795442051077
25	0	0.3269230769230769
25	1	0.3269230769230769
26	0	0.25
26	1	1.0
27	0	0.099644128113879
27	1	0.14213197969543148
28	0	0.05054509415262636
28	1	0.08823529411764706
29	0	0.08
29	1	0.08333333333333333
30	0	0.4067796610169492
30	1	0.6666666666666666
31	0	0.10267857142857142
31	1	0.10267857142857142
32	0	0.5287356321839081
32	1	0.5287356321839081
33	0	1.0
33	1	0.0998185117967332
33	2	0.5714285714285714
33	3	0.7777777777777778
33	4	1.0
34	0	0.5159128978224455
34	1	0.5159128978224455
34	2	0.5159128978224455
34	3	0.4675321015154539
35	0	0.9662921348314607
35	1	0.9662921348314607
36	0	0.08127721335268505
36	1	0.1133657662271156
37	0	0.4857142857142857
37	1	0.4857142857142857
38	0	0.4747983870967742
38	1	0.37950643776824033
38	2	0.37950643776824033
39	0	0.10404624277456648
39	1	0.34951456310679613
39	2	0.5106382978723404
39	3	0.43007643048956823
40	0	0.7687622362410268
40	1	0.004462538166444844
40	2	0.7687622362410268
41	0	0.04329202221319246
41	1	0.038468720821662
42	0	0.5684210526315789
42	1	0.35809018567639256
42	2	0.5684210526315789
43	0	0.007643312101910828
43	1	0.0037137905422134194
43	2	0.0036780932764454905
44	0	0.002600297176820208
44	1	0.0021718895439031957
45	0	0.12222222222222222
45	1	0.13924050632911392
46	0	0.6585365853658537
46	1	0.6585365853658537
47	0	0.6666666666666666
47	1	0.6666666666666666
48	0	0.10392156862745099
48	1	0.5217153996101365
48	2	0.4256525353283458
49	0	0.004923255140457573
49	1	0.004923255140457573
50	0	0.2463768115942029
50	1	0.2463768115942029
51	0	0.013793103448275862
51	1	0.013793103448275862
51	2	1.0
52	0	0.9473684210526315
52	1	0.9473684210526315
53	0	1.0
53	1	0.375
54	0	0.004897159647404506
54	1	0.004897159647404506
55	0	0.6666666666666666
55	1	0.6666666666666666
55	2	1.0
56	0	1.0
56	1	1.0
57	0	0.3674832962138085
57	1	0.6
58	0	0.03125
58	1	0.10619469026548672
59	0	0.4264264264264264
59	1	1.0
60	0	1.0
60	1	1.0
61	0	1.0
61	1	1.0
62	0	0.0008110898097625719
62	1	0.0008110898097625719
63	0	1.0
63	1	0.6111111111111112
64	0	0.002704241389126103
64	1	0.07783695206882425
65	0	0.25
65	1	0.7360774818401937
65	2	0.6067864271457086
65	3	0.0
66	0	0.18181818181818182
66	1	0.18181818181818182
67	0	0.6666666666666666
67	1	1.0
68	0	0.21794871794871795
68	1	0.21794871794871795
69	0	0.06236559139784946
69	1	0.06236559139784946
70	0	1.0
70	1	0.3654045100546321
70	2	0.12358590341289485
70	3	0.16405414949630154
71	0	1.0
71	1	0.0029723047167782277
71	2	0.652046783625731
72	0	0.1232876712328767
72	1	0.09866017052375152
73	0	0.06372549019607843
73	1	0.04868913857677903
74	0	1.0
74	1	1.0
75	0	0.9705882352941176
75	1	0.9705882352941176
76	0	0.22282608695652173
76	1	0.22282608695652173
77	0	0.007246376811594203
77	1	1.0
78	0	1.0
78	1	1.0
79	0	0.5774949991924162
79	1	0.5774949991924162
80	0	1.0
80	1	1.0
81	0	0.9555555555555556
81	1	0.9555555555555556
82	0	0.5740740740740741
82	1	0.75
82	2	0.625
83	0	0.9046840958605664
83	1	0.9046840958605664
84	0	1.0
84	1	1.0
85	0	0.92
85	2	0.92
85	1	0.7602270147559591
86	0	0.1420253690996049
86	1	0.1420253690996049
87	0	0.2558139534883721
87	1	0.2558139534883721
88	0	1.0
88	1	1.0
89	0	0.9279279279279279
89	1	0.9279279279279279
90	0	0.000962800875273523
90	1	0.000962800875273523
91	0	0.16688396349413298
91	1	1.0
92	0	0.7818181818181817
92	1	0.5958994708994709
93	0	1.0
93	1	1.0
94	0	0.9775280898876404
94	1	0.9775280898876404
94	2	1.0
95	0	0.9358974358974359
95	1	0.9358974358974359
96	0	1.0
96	1	1.0
97	0	0.010421836228287842
97	1	0.010421836228287842
98	0	0.7666666666666667
98	2	0.7096774193548387
98	1	0.17959183673469387
99	0	1.0
99	1	1.0
100	0	0.3815789473684211
100	1	0.3815789473684211
101	0	0.29491525423728815
101	1	0.06216696269982238
102	0	0.6666666666666666
102	1	1.0
102	2	1.0
103	0	0.0007902866585243192
103	1	0.0006597492952677982
104	0	1.0
104	1	0.39285714285714285
105	0	0.32538569424964936
105	1	0.7733333333333333
106	0	0.18925831202046037
106	1	0.4054794520547945
107	0	0.3783783783783784
107	1	0.2527075812274368
108	0	0.34418604651162793
108	1	0.32349450999113416
109	0	1.0
109	1	1.0
110	0	0.9310344827586207
110	1	0.9310344827586207
110	2	0.9310344827586207
111	0	0.21956684092606424
111	1	0.21956684092606424
112	0	0.31267202466145544
112	1	0.35108777194298574
113	0	0.1543019672908272
113	1	0.1543019672908272
114	0	0.6666666666666666
114	1	1.0
115	0	0.7261904761904762
115	1	0.8333333333333333
115	2	0.7777777777777777
115	3	0.6666666666666666
116	0	1.0
116	1	0.9166666666666667
117	0	0.7816091954022989
117	1	0.7816091954022989
118	0	1.0
118	1	1.0
119	0	0.0034334763948497852
119	1	0.0034334763948497852
120	0	0.1748971193415638
120	1	0.1748971193415638
121	0	0.04456824512534819
121	1	0.050314465408805034
122	0	0.008046817849305048
122	1	0.008046817849305048
123	0	1.0
123	1	1.0
124	0	0.07953603976801989
124	1	0.11594202898550725
125	0	0.008756294583131362
125	2	0.5615517105427119
125	1	0.36990502504838757
126	0	1.0
126	1	1.0
127	0	0.14322209803608493
127	1	0.6764705882352942
127	2	0.368
128	0	1.0
128	1	1.0
129	0	0.2932692307692308
129	1	0.6666666666666666
130	0	0.026490066225165563
130	1	0.5416666666666666
131	0	0.1717171717171717
131	1	0.16901075977162933
132	0	0.72
132	1	0.3643724696356275
133	0	0.41768707482993195
133	1	0.717687074829932
134	0	0.9558823529411765
134	1	0.9558823529411765
134	2	0.9558823529411765
135	0	0.31871838111298484
135	1	0.31871838111298484
136	0	1.0
136	1	1.0
137	0	1.0
137	1	1.0
137	2	0.009787928221859706
138	0	1.0
138	1	1.0
139	0	0.35973084886128365
139	1	0.35973084886128365
140	0	0.008825829516255167
140	1	0.007390775563663579
141	0	0.023255813953488372
141	1	0.6666666666666666
142	0	0.75
142	1	1.0
142	2	0.75
143	0	1.0
143	1	1.0
144	0	0.1225
144	1	0.1225
145	0	1.0
145	1	1.0
145	2	0.5
145	3	1.0
146	0	0.003672826910744476
146	1	0.003672826910744476
147	0	0.896551724137931
147	1	0.896551724137931
148	0	0.5704918032786885
148	1	0.7073170731707317
148	2	0.32162661737523107
149	0	1.0
149	1	1.0
150	0	0.13712374581939799
150	1	0.13712374581939799
150	2	0.13712374581939799
150	3	0.13712374581939799
151	0	0.8787878787878788
151	1	0.8787878787878788
152	0	0.09090909090909091
152	1	0.09090909090909091
153	0	0.32558139534883723
153	1	0.32558139534883723
154	0	1.0
154	1	1.0
155	0	0.5
155	1	1.0
156	0	0.16666666666666666
156	1	0.16666666666666666
157	0	1.0
157	1	1.0
158	0	0.2
158	1	0.2
159	0	0.004235656526761648
159	1	0.0033172496984318458
160	0	1.0
160	1	1.0
161	0	1.0
161	1	1.0
162	0	1.0
162	1	1.0
163	0	0.2786885245901639
163	1	0.2786885245901639
164	0	0.0026106759984447035
164	1	0.0026106759984447035
165	0	0.565979381443299
165	1	0.5817757009345794
166	0	0.8378378378378378
166	1	0.458128078817734
166	2	0.8378378378378378
167	0	0.006502890173410405
167	1	0.006502890173410405
168	0	0.8717948717948718
168	1	0.8717948717948718
169	0	0.09859154929577464
169	1	0.033734939759036145
170	0	0.12378640776699029
170	1	0.12378640776699029
170	2	0.12378640776699029
171	0	0.5192307692307693
171	1	0.5192307692307693
172	0	0.09709962168978563
