Character Number	State Number	SimJ Partial Recall
1	0	0.5145985401459854
1	1	0.34761904761904766
1	2	0.34761904761904766
2	0	0.3684210526315789
2	1	0.49122807017543857
3	0	0.004928189242466911
3	1	0.004928189242466911
4	0	0.012738853503184714
4	1	0.012738853503184714
5	0	0.14862254025044722
5	1	0.20253558372870809
5	2	0.0
6	0	0.7589285714285714
6	1	0.4368192114902641
6	2	0.38220303303507636
6	3	0.0
6	4	0.0
7	0	0.06666666666666667
7	1	0.09144542772861357
8	0	0.6061786905388801
8	1	0.7011494252873564
9	0	0.10864197530864197
9	1	0.07801418439716312
10	0	0.85
10	1	0.85
10	2	0.85
11	0	0.4073482428115016
11	1	0.9340659340659341
12	0	0.8536585365853658
12	1	0.8536585365853658
13	0	0.0021502771131772618
13	1	0.002576945412311266
14	0	0.3344017094017094
14	1	1.0
15	0	0.5
15	1	0.75
16	0	0.10591155649535718
16	1	0.10591155649535718
17	0	0.8429548563611491
17	1	0.8429548563611491
18	0	0.8355916892502259
18	1	0.8355916892502259
19	0	0.12265512265512266
19	1	0.9659090909090909
19	2	0.9659090909090909
20	0	1.0
20	1	1.0
21	0	0.13838120104438642
21	1	0.13838120104438642
22	0	1.0
22	1	0.5555555555555556
23	0	0.1378579003181336
23	1	0.1378579003181336
24	0	0.7310448372346959
24	1	0.2676795442051077
25	0	1.0
25	1	1.0
26	0	0.2054246331702979
26	1	0.8716981132075472
27	0	0.11517367458866545
27	1	0.11517367458866545
28	0	0.010208610741233911
28	1	0.010245118960245922
29	0	0.24528301886792453
29	1	0.2549019607843137
30	0	0.27204030226700254
30	1	0.242152466367713
31	0	0.0855614973262032
31	1	0.0855614973262032
32	0	0.5287356321839081
32	1	0.5287356321839081
33	0	0.9800995024875622
33	1	0.9701492537313433
33	2	0.8372423596304194
33	3	1.0
33	4	1.0
34	0	0.0019272645358295998
34	1	0.0023974842355878566
34	2	0.002397185641791974
34	3	0.002512644814095872
35	0	0.9662921348314607
35	1	0.9662921348314607
36	0	0.10789980732177264
36	1	0.1917808219178082
37	0	0.8571428571428571
37	1	0.8571428571428571
38	0	0.3870967741935484
38	1	0.17346938775510204
38	2	0.45
39	0	0.0997920997920998
39	1	0.1565998437906795
39	2	0.1637803979366249
39	3	0.18165070007369197
40	0	0.8955223880597015
40	1	0.8955223880597015
40	2	0.8955223880597015
41	0	0.14621586629001881
41	1	0.14393821593324002
42	0	1.0
