Character Number	State Number	SimJ Partial Recall
1	0	0.5
1	1	0.5
1	2	0.5
2	0	0.45454545454545453
2	1	0.3302139037433155
3	0	0.4937226689236846
3	1	0.4937226689236846
4	0	0.39914163090128757
4	1	0.39914163090128757
5	0	0.29391304347826086
5	1	0.34782608695652173
5	2	0.0
6	0	1.0
6	1	1.0
6	2	1.0
6	3	0.0
6	4	0.0
7	0	0.07462686567164178
7	1	0.10204081632653061
8	0	0.6888888888888889
8	1	0.07077625570776255
9	0	0.5
9	1	0.3333333333333333
10	0	0.85
10	1	0.85
10	2	0.85
11	0	1.0
11	1	1.0
12	0	1.0
12	1	1.0
13	0	0.3897058823529412
13	1	0.6309523809523809
14	0	1.0
14	1	1.0
15	0	0.46153846153846156
15	1	1.0
16	0	1.0
16	1	1.0
17	0	0.6666666666666666
17	1	1.0
18	0	0.6666666666666666
18	1	1.0
19	0	0.5
19	1	1.0
19	2	1.0
20	0	1.0
20	1	1.0
21	0	1.0
21	1	1.0
22	0	1.0
22	1	1.0
23	0	0.11714537094851564
23	1	0.11714537094851564
24	0	0.2857142857142857
24	1	0.2857142857142857
25	0	0.9782608695652174
25	1	0.9782608695652174
26	0	1.0
26	1	1.0
27	0	0.09621451104100946
27	1	0.09621451104100946
28	0	0.010208610741233911
28	1	0.024770195036220365
29	0	0.21052631578947367
29	1	0.2037037037037037
30	0	0.6666666666666666
30	1	0.5714285714285714
31	0	0.12272727272727273
31	1	0.12272727272727273
32	0	0.5287356321839081
32	1	0.5287356321839081
33	0	1.0
33	1	1.0
33	2	0.8571428571428571
33	3	0.7777777777777778
33	4	1.0
34	0	1.0
34	1	1.0
34	2	0.7572614107883817
34	3	1.0
35	0	1.0
35	1	1.0
36	0	0.3333333333333333
36	1	1.0
37	0	0.68
37	1	0.68
38	0	0.4358974358974359
38	1	0.3805970149253731
38	2	0.75
39	0	0.10985915492957747
39	1	0.420863309352518
39	2	0.420863309352518
39	3	0.420863309352518
40	0	1.0
40	1	1.0
40	2	1.0
41	0	0.3414043583535109
41	1	0.3414043583535109
42	0	1.0
42	1	1.0
42	2	1.0
43	0	0.006963984243106359
43	1	0.0073439412484700125
43	2	0.007220216606498195
44	0	0.2395543175487465
44	1	0.31851851851851853
45	0	0.5
45	1	0.6
46	0	0.837593984962406
46	1	0.837593984962406
47	0	0.6666666666666666
47	1	0.7333333333333333
48	0	0.4
48	1	1.0
48	2	1.0
49	0	1.0
49	1	1.0
50	0	0.0
50	1	0.0
51	0	0.01196227283183805
51	1	0.01196227283183805
51	2	1.0
52	0	0.2
52	1	0.2
53	0	1.0
53	1	1.0
54	0	0.6666666666666666
54	1	0.6666666666666666
55	0	0.25
55	1	0.25
55	2	1.0
56	0	1.0
56	1	1.0
57	0	0.6111111111111112
57	1	0.6111111111111112
58	0	0.4624640804597701
58	1	0.78125
59	0	1.0
59	1	1.0
60	0	0.8333333333333333
60	1	1.0
61	0	1.0
61	1	1.0
62	0	0.005315461058470071
62	1	0.005315461058470071
63	0	1.0
63	1	0.2361111111111111
64	0	0.007807620237351655
64	1	0.17069327731092437
65	0	0.8
65	1	0.8
65	2	0.007067137809187279
65	3	0.0
66	0	0.5942028985507246
66	1	0.5942028985507246
67	0	1.0
67	1	1.0
68	0	0.0026873940546574605
68	1	0.0026873940546574605
69	0	0.12337662337662338
69	1	0.12337662337662338
70	0	1.0
70	1	1.0
70	2	1.0
70	3	0.820900900900901
71	0	1.0
71	1	0.25
71	2	0.25
72	0	1.0
72	1	1.0
73	0	1.0
73	1	1.0
74	0	1.0
74	1	1.0
75	0	0.7397260273972602
75	1	1.0
76	0	0.5855598359637132
76	1	0.5855598359637132
77	0	1.0
77	1	1.0
78	0	1.0
78	1	1.0
79	0	1.0
79	1	1.0
80	0	1.0
80	1	1.0
81	0	0.9555555555555556
81	1	0.9555555555555556
82	0	0.9523809523809524
82	1	1.0
82	2	0.8333333333333333
83	0	1.0
83	1	1.0
84	0	1.0
84	1	1.0
85	0	0.9583333333333334
85	2	0.7419354838709677
85	1	0.8008449883449884
86	0	1.0
86	1	1.0
87	0	0.2558139534883721
87	1	0.2558139534883721
88	0	1.0
88	1	0.5714285714285714
89	0	1.0
89	1	1.0
90	0	1.0
90	1	1.0
91	0	0.6666666666666666
91	1	1.0
92	0	0.9047619047619048
92	1	0.8333333333333333
93	0	0.47692307692307695
93	1	0.47692307692307695
94	0	1.0
94	1	1.0
94	2	1.0
95	0	1.0
95	1	1.0
96	0	1.0
96	1	1.0
97	0	0.65625
97	1	0.65625
98	0	0.7666666666666667
98	2	0.0
98	1	0.18930041152263374
99	0	1.0
99	1	1.0
100	0	0.3063063063063063
100	1	0.3063063063063063
101	0	0.06463878326996197
101	1	1.0
102	0	0.7
102	1	1.0
102	2	1.0
103	0	0.6666666666666666
103	1	0.5714285714285714
104	0	1.0
104	1	0.9166666666666667
105	0	0.3062898814949863
105	1	0.717948717948718
106	0	0.6666666666666666
106	1	0.7142857142857143
107	0	1.0
107	1	0.3783783783783784
108	0	0.6576508397263114
108	1	0.6576508397263114
109	0	1.0
109	1	1.0
110	0	0.9310344827586207
110	1	0.9310344827586207
110	2	0.9310344827586207
111	0	1.0
111	1	1.0
112	0	0.510989010989011
112	1	0.6111111111111112
113	0	1.0
113	1	1.0
114	0	0.6666666666666666
114	1	1.0
115	0	0.7666666666666666
115	1	0.8333333333333333
115	2	0.7708333333333333
115	3	0.6666666666666666
116	0	1.0
116	1	0.9166666666666667
117	0	1.0
117	1	1.0
118	0	1.0
118	1	1.0
119	0	1.0
119	1	1.0
120	0	0.967741935483871
120	1	0.967741935483871
121	0	0.08695652173913043
121	1	0.09523809523809523
122	0	0.4925373134328358
122	1	0.4925373134328358
123	0	0.5142857142857142
123	1	0.5142857142857142
124	0	0.46153846153846156
124	1	1.0
125	0	0.3399375614970664
125	2	0.4166666666666667
125	1	0.34585261597889516
126	0	1.0
126	1	1.0
127	0	0.22647702407002188
127	1	0.4564732574025491
127	2	0.4252696456086287
128	0	1.0
128	1	1.0
129	0	0.5701418217029278
129	1	0.7676767676767677
130	0	0.014352047277332207
130	1	0.23637640449438202
131	0	0.284989811541617
131	1	0.29445984744545045
132	0	1.0
132	1	1.0
133	0	0.41768707482993195
133	1	0.717687074829932
134	0	1.0
134	1	1.0
134	2	1.0
135	0	0.9615384615384616
135	1	0.9615384615384616
136	0	1.0
136	1	1.0
137	0	1.0
137	1	1.0
137	2	0.009787928221859706
138	0	1.0
138	1	1.0
139	0	1.0
139	1	1.0
140	0	0.6176470588235294
140	1	0.5316455696202531
141	0	0.7391304347826086
141	1	0.7391304347826086
142	0	0.5
142	1	1.0
142	2	0.5
143	0	1.0
143	1	1.0
144	0	1.0
144	1	1.0
145	0	0.6595744680851063
145	1	0.6595744680851063
145	2	0.6595744680851063
145	3	0.6595744680851063
146	0	0.6666666666666666
146	1	0.6666666666666666
147	0	0.9310344827586207
147	1	0.9310344827586207
148	0	1.0
148	1	0.6666666666666666
148	2	1.0
149	0	1.0
149	1	1.0
150	0	0.14093959731543623
150	1	0.14093959731543623
150	2	0.14093959731543623
150	3	0.14093959731543623
151	0	0.7222222222222222
151	1	0.7222222222222222
152	0	0.5596026490066225
152	1	0.5596026490066225
153	0	0.2087114337568058
153	1	0.2087114337568058
154	0	1.0
154	1	1.0
155	0	0.5
155	1	1.0
156	0	1.0
156	1	1.0
157	0	1.0
157	1	1.0
158	0	0.21052631578947367
158	1	0.21052631578947367
159	0	0.21993127147766323
159	1	0.6580976863753213
160	0	0.5142857142857142
160	1	0.5142857142857142
161	0	1.0
161	1	1.0
162	0	1.0
162	1	1.0
163	0	1.0
163	1	1.0
164	0	1.0
164	1	1.0
165	0	0.5692307692307692
165	1	1.0
166	0	0.6585365853658537
166	1	0.458128078817734
166	2	0.8378378378378378
167	0	0.9864864864864865
167	1	0.9864864864864865
168	0	0.8333333333333334
168	1	0.006289308176100629
169	0	0.6470588235294118
169	1	0.10185185185185185
170	0	1.0
170	1	1.0
170	2	1.0
171	0	1.0
171	1	1.0
172	0	0.34868421052631576
172	1	0.34868421052631576
173	0	1.0
173	1	1.0
174	0	1.0
174	1	1.0
175	0	0.5125
175	1	0.8125
176	0	0.8571428571428571
176	1	0.8571428571428571
