Character Number	State Number	SimJ Partial Recall
1	0	0.5
1	1	0.5
1	2	0.5
2	0	0.45454545454545453
2	1	0.3302139037433155
3	0	0.18281535648994515
3	1	0.18281535648994515
4	0	0.46153846153846156
4	1	0.46153846153846156
5	0	0.15070491006319883
5	1	0.20327061719711623
5	2	0.0
6	0	0.7068910961919437
6	1	0.7589285714285714
6	2	0.5603575775789399
6	3	0.0
6	4	0.0
7	0	0.33578732106339465
7	1	0.09641873278236915
8	0	0.6888888888888889
8	1	0.07077625570776255
9	0	0.14076246334310852
9	1	0.096
10	0	0.85
10	1	0.85
10	2	0.85
11	0	1.0
11	1	1.0
12	0	1.0
12	1	1.0
13	0	0.004310344827586207
13	1	0.00516795865633075
14	0	1.0
14	1	1.0
15	0	0.46153846153846156
15	1	1.0
16	0	0.288
16	1	0.288
17	0	0.22507864064141156
17	1	0.22507864064141156
18	0	0.5226960110041265
18	1	0.7515822784810127
19	0	0.14096185737976782
19	1	0.09872241579558652
19	2	0.9770114942528736
20	0	1.0
20	1	1.0
21	0	1.0
21	1	0.8237179487179487
22	0	1.0
22	1	1.0
23	0	0.03772920894349074
23	1	0.03772920894349074
24	0	1.0
24	1	0.09553975436328377
25	0	0.14782608695652175
25	1	0.14782608695652175
26	0	0.21639344262295082
26	1	0.8009708737864077
27	0	0.896551724137931
27	1	0.896551724137931
28	0	0.010208610741233911
28	1	0.010245118960245922
29	0	0.19298245614035087
29	1	0.2
30	0	0.6666666666666666
30	1	0.5714285714285714
31	0	0.42857142857142855
31	1	0.42857142857142855
32	0	0.5287356321839081
32	1	0.5287356321839081
33	0	0.5555555555555555
33	1	1.0
33	2	0.8571428571428571
33	3	0.7777777777777778
33	4	1.0
34	0	0.9509803921568627
34	1	0.9509803921568627
34	2	0.9509803921568627
34	3	0.8620470504886333
35	0	1.0
35	1	1.0
36	0	0.19318181818181818
36	1	0.32075471698113206
37	0	0.67
37	1	0.67
38	0	0.425
38	1	0.17832167832167833
38	2	0.36818181818181817
39	0	0.7142857142857143
39	1	0.3333333333333333
39	2	0.3333333333333333
39	3	0.3333333333333333
40	0	0.4445120128333405
40	1	0.9384615384615385
40	2	0.4445120128333405
41	0	0.3414043583535109
41	1	0.3414043583535109
42	0	1.0
42	1	1.0
42	2	1.0
43	0	0.006738361012796079
43	1	0.43535620052770446
43	2	0.2140077821011673
44	0	0.31851851851851853
44	1	0.31851851851851853
45	0	0.060810810810810814
45	1	0.06569343065693431
46	0	0.4447909632267174
46	1	0.4447909632267174
47	0	0.5033917349868908
47	1	0.4251636713841405
48	0	0.4
48	1	1.0
48	2	1.0
49	0	0.9487179487179487
49	1	0.9487179487179487
50	0	0.08108108108108109
50	1	0.08108108108108109
51	0	0.015873015873015872
51	1	0.015873015873015872
51	2	1.0
52	0	0.8780487804878049
52	1	0.8780487804878049
53	0	1.0
53	1	1.0
54	0	0.6666666666666666
54	1	0.6666666666666666
55	0	0.25
55	1	0.25
55	2	1.0
56	0	1.0
56	1	1.0
57	0	0.3741496598639456
57	1	0.6111111111111112
58	0	0.12315270935960591
58	1	0.78125
59	0	1.0
59	1	1.0
60	0	0.8333333333333333
60	1	1.0
61	0	1.0
61	1	1.0
62	0	0.2124687913056249
62	1	0.2124687913056249
63	0	1.0
63	1	0.6111111111111112
64	0	0.042247368400884416
64	1	0.08706272871586855
65	0	0.8
65	1	0.7360774818401937
65	2	0.007067137809187279
65	3	0.0
66	0	0.375
66	1	0.375
67	0	1.0
67	1	1.0
68	0	0.001153559069009975
68	1	0.0007930214115781126
69	0	0.08274231678486997
69	1	0.08274231678486997
70	0	1.0
70	1	0.04007716004952063
70	2	0.13273983523784214
70	3	0.00480562329651413
71	0	0.16666666666666666
71	1	0.06060606060606061
71	2	0.06060606060606061
72	0	0.9294117647058824
72	1	0.9294117647058824
73	0	0.9111111111111111
73	1	0.9111111111111111
74	0	1.0
74	1	1.0
75	0	0.9852941176470589
75	1	0.9852941176470589
76	0	0.576986232158646
76	1	0.576986232158646
77	0	1.0
77	1	1.0
78	0	1.0
78	1	1.0
79	0	1.0
79	1	1.0
80	0	1.0
80	1	1.0
81	0	0.9555555555555556
81	1	0.9555555555555556
82	0	0.7407407407407408
82	1	0.75
82	2	0.8333333333333333
83	0	1.0
83	1	1.0
84	0	1.0
84	1	1.0
85	0	0.7419354838709677
85	2	0.7419354838709677
85	1	0.6099552502835093
86	0	0.013156110131561101
86	1	0.013156110131561101
87	0	0.2558139534883721
87	1	0.2558139534883721
88	0	1.0
88	1	1.0
89	0	1.0
89	1	1.0
90	0	1.0
90	1	1.0
91	0	0.16688396349413298
91	1	1.0
92	0	0.9047619047619048
92	1	0.7801418439716312
93	0	0.47692307692307695
93	1	0.47692307692307695
94	0	1.0
94	1	1.0
94	2	1.0
95	0	0.9743589743589743
95	1	0.9743589743589743
96	0	1.0
96	1	1.0
97	0	0.65625
97	1	0.65625
98	0	0.7666666666666667
98	2	0.7666666666666667
98	1	0.18930041152263374
99	0	1.0
99	1	1.0
100	0	0.3063063063063063
100	1	0.3063063063063063
101	0	1.0
101	1	0.05975395430579965
102	0	0.7
102	1	1.0
102	2	1.0
103	0	0.25
103	1	0.5714285714285714
104	0	1.0
104	1	1.0
105	0	0.2853422080740848
105	1	0.6510829371368199
106	0	0.6666666666666666
106	1	0.7142857142857143
107	0	0.4523809523809524
107	1	0.1111111111111111
108	0	0.40723829253459026
108	1	0.40723829253459026
109	0	1.0
109	1	1.0
110	0	0.9310344827586207
110	1	0.9310344827586207
110	2	0.9310344827586207
111	0	0.21956684092606424
111	1	0.21956684092606424
112	0	0.4792494153457812
112	1	0.09322714053706992
113	0	0.2743428039341683
113	1	0.2743428039341683
114	0	0.27906976744186046
114	1	0.375
115	0	0.8333333333333333
115	1	0.8333333333333333
115	2	0.7777777777777777
115	3	0.6666666666666666
116	0	1.0
116	1	0.9166666666666667
117	0	1.0
117	1	1.0
118	0	1.0
118	1	1.0
119	0	1.0
119	1	1.0
120	0	0.9574468085106383
120	1	0.9574468085106383
121	0	0.08695652173913043
121	1	0.09523809523809523
122	0	0.358695652173913
122	1	0.4925373134328358
123	0	0.5142857142857142
123	1	0.5142857142857142
124	0	0.46153846153846156
124	1	1.0
125	0	0.4049156486329261
125	2	0.30201342281879195
125	1	0.30689189032030206
126	0	1.0
126	1	1.0
127	0	0.14414232285454362
127	1	0.4564732574025491
127	2	0.4252696456086287
128	0	1.0
128	1	1.0
129	0	0.3010375108324797
129	1	0.5243697478991597
130	0	0.33488372093023255
130	1	0.16260423490580966
131	0	0.3080197594876251
131	1	0.32900476936446255
132	0	1.0
132	1	1.0
133	0	0.417687074829932
133	1	0.717687074829932
134	0	0.9852941176470589
134	1	0.9852941176470589
134	2	1.0
135	0	0.9615384615384616
135	1	0.9615384615384616
136	0	1.0
136	1	1.0
137	0	1.0
137	1	1.0
137	2	0.009787928221859706
138	0	0.7333333333333333
138	1	0.7333333333333333
139	0	1.0
139	1	1.0
140	0	0.6176470588235294
140	1	0.5316455696202531
141	0	0.5543478260869565
141	1	0.36141732283464567
142	0	1.0
142	1	1.0
142	2	1.0
143	0	1.0
143	1	1.0
144	0	1.0
144	1	1.0
145	0	0.6595744680851063
145	1	0.6595744680851063
145	2	0.6595744680851063
145	3	0.6595744680851063
146	0	0.473551637279597
146	1	0.5497076023391813
147	0	0.9310344827586207
147	1	0.9310344827586207
148	0	1.0
148	1	1.0
148	2	1.0
149	0	1.0
149	1	1.0
150	0	0.0
150	1	0.0
150	2	0.0
150	3	0.0
151	0	0.7222222222222222
151	1	0.7222222222222222
152	0	0.6230684326710817
152	1	0.6230684326710817
153	0	0.22046955245781363
153	1	0.22046955245781363
154	0	1.0
154	1	1.0
155	0	0.5
155	1	1.0
156	0	0.16666666666666666
156	1	0.16666666666666666
157	0	1.0
157	1	1.0
158	0	0.19642857142857142
158	1	0.19642857142857142
159	0	0.1491023708373304
159	1	0.3869132290184922
160	0	0.22857142857142856
160	1	0.22857142857142856
161	0	1.0
161	1	1.0
162	0	0.9387755102040817
162	1	0.9387755102040817
163	0	1.0
163	1	1.0
164	0	1.0
164	1	1.0
165	0	0.31499348109517605
165	1	1.0
166	0	0.6585365853658537
166	1	0.458128078817734
166	2	0.8378378378378378
