Character Number	State Number	SimJ Partial Recall
188	2	0.42857142857142855
188	1	0.42857142857142855
188	0	1.0
186	2	0.03333333333333333
186	1	0.06623931623931624
186	3	0.26892764857881135
186	0	0.21120954841885076
155	0	0.0
155	1	0.0
43	1	0.16744186046511628
43	2	0.08759124087591241
43	0	0.0
54	1	0.0
54	0	0.0
156	1	0.5
156	0	0.5
189	1	0.012265336446614308
189	0	0.0002653364466143069
29	1	0.10185185185185185
29	0	0.10526315789473684
140	1	0.0
140	0	0.0
173	0	0.14516129032258066
173	1	0.14516129032258066
39	2	0.0
39	3	0.03125
39	1	0.0
39	0	0.05555555555555555
134	0	0.0
134	2	0.5
134	1	0.0
144	1	0.0
144	0	0.0
114	0	0.3333333333333333
114	1	0.0
171	0	0.049557522123893805
171	1	0.0
77	1	0.0
77	0	0.000693000693000693
41	1	0.1271186440677966
41	0	0.0
24	1	5.714285714285714e-05
24	0	5.714285714285714e-05
191	1	0.0
191	0	0.0
34	2	0.0
34	1	0.0
34	0	0.0
34	3	0.0
1	2	0.05145118733509235
1	0	0.01406926406926407
1	1	0.07647058823529411
52	1	0.0
52	0	0.0
138	1	0.5
138	0	0.5
116	0	0.00011794770984863377
116	1	0.0003532299754516238
197	1	0.38596491228070173
197	0	0.0
50	0	0.0
50	1	0.0
203	1	0.0
203	0	0.0
202	1	0.0
202	0	0.0
124	1	0.22727272727272727
124	0	0.11862396204033215
151	1	0.0
151	0	0.0
111	0	0.0016018885422814265
111	1	0.04320145520691223
110	2	0.0
110	1	0.0
110	0	0.0
92	0	0.16083916083916083
92	1	0.2968911133448744
57	1	0.0
57	0	0.1870748299319728
120	0	0.261136712749616
120	1	0.0
121	0	0.0203606688644127
121	1	0.0228814681030029
117	1	0.0
117	0	0.0
63	1	0.3333333333333333
63	0	0.5
48	1	0.1554375950360524
48	0	0.0
48	2	0.2934334390762417
90	1	0.00046517036864751713
90	0	0.00046517036864751713
168	1	0.0
168	0	0.010803324099722992
19	1	0.0
19	2	0.48295454545454547
19	0	0.06132756132756133
