Character Number	State Number	SimJ Partial Recall
188	2	0.42857142857142855
188	1	0.42857142857142855
188	0	1.0
186	2	0.03333333333333333
186	1	0.06623931623931624
186	3	0.26892764857881135
186	0	0.21120954841885076
155	0	0.0
155	1	0.0
43	1	0.16744186046511628
43	2	0.08759124087591241
43	0	0.0
54	1	0.0
54	0	0.0
156	0	0.0
156	1	0.0
189	1	0.012265336446614308
189	0	0.0002653364466143069
29	1	0.0
29	0	0.0
140	1	0.0
140	0	0.0
173	0	0.478494623655914
173	1	0.478494623655914
39	2	0.0
39	3	0.0
39	1	0.0
39	0	0.0
134	0	0.0
134	2	0.0
134	1	0.0
144	1	0.0
144	0	0.0
114	0	0.0
114	1	0.0
171	0	0.049557522123893805
171	1	0.0
77	1	0.0
77	0	0.000924000924000924
41	1	0.2542372881355932
41	0	0.0
24	1	0.0
24	0	0.0
191	1	0.0
191	0	0.0
34	2	0.0
34	1	0.0
34	0	0.0
34	3	0.0
1	2	0.061741424802110825
1	0	0.01875901875901876
1	1	0.09176470588235294
52	1	0.0
52	0	0.0
138	1	0.75
138	0	0.75
116	0	0.00011794770984863377
116	1	5.8973854924316886e-05
197	1	0.7719298245614035
197	0	0.0
50	0	0.0
50	1	0.0
203	1	0.0
203	0	0.0
202	1	0.0
202	0	0.0
124	1	0.22727272727272727
124	0	0.11862396204033215
151	1	0.0
151	0	0.0
111	0	0.0016018885422814265
111	1	0.0006591729114626701
110	2	0.0
110	1	0.0
110	0	0.0
92	0	0.2573426573426573
92	1	0.27867000335064496
57	1	0.0
57	0	0.1870748299319728
120	0	0.48096803815278893
120	1	0.0
121	0	0.01651376146788991
121	1	0.018329938900203666
117	1	0.0
117	0	0.0
63	1	0.5
63	0	1.0
48	1	0.1554375950360524
48	0	0.0
48	2	0.2934334390762417
90	1	0.00046517036864751713
90	0	0.00046517036864751713
168	1	0.0
168	0	0.0
19	1	0.0
19	2	0.0
19	0	0.0
2	1	0.0
2	0	0.0
142	2	0.75
142	1	1.0
142	0	1.0
103	1	0.0
103	0	0.0
