Character Number	State Number	Curator 1 EQ Number	Curator 2 EQ Number	SimJ Score	NIC Score
1	0	AI_EQ_1	C_EQ_1	0.029197080291970802	0.3802763999561609
1	0	AI_EQ_1	C_EQ_2	0.01932367149758454	0.6918018961936343
1	0	AI_EQ_2	C_EQ_1	1.0	0.8813444252944422
1	0	AI_EQ_2	C_EQ_2	0.00261437908496732	0.3802763999561609
1	1	AI_EQ_1	C_EQ_1	0.023809523809523808	0.3790014591149678
1	1	AI_EQ_1	C_EQ_2	0.01932367149758454	0.6918018961936343
1	1	AI_EQ_2	C_EQ_1	1.0	0.8502733349822855
1	1	AI_EQ_2	C_EQ_2	0.0013540961408259986	0.3790014591149678
1	2	AI_EQ_1	C_EQ_1	0.023809523809523808	0.3790014591149678
1	2	AI_EQ_1	C_EQ_2	0.01932367149758454	0.6918018961936343
1	2	AI_EQ_2	C_EQ_1	1.0	0.8469994550989386
1	2	AI_EQ_2	C_EQ_2	0.0013540961408259986	0.3790014591149678
2	0	AI_EQ_1	C_EQ_1	0.45454545454545453	0.7981565738926047
2	1	AI_EQ_1	C_EQ_1	0.06129597197898424	0.5896946733745778
2	1	AI_EQ_1	C_EQ_2	0.30434782608695654	0.8877050012367141
2	1	AI_EQ_1	C_EQ_3	0.3333333333333333	0.8877050012367141
3	0	AI_EQ_1	C_EQ_1	1.0	0.9625683337455715
3	1	AI_EQ_1	C_EQ_1	1.0	0.9625683337455715
4	0	AI_EQ_1	C_EQ_1	0.012738853503184714	0.7102239914453548
4	1	AI_EQ_1	C_EQ_1	0.012738853503184714	0.7102239914453548
5	0	AI_EQ_1	C_EQ_1	1.0	0.9251366674911427
5	0	AI_EQ_1	C_EQ_2	0.24064171122994651	0.7347044563356528
5	0	AI_EQ_2	C_EQ_1	0.24064171122994651	0.7347044563356528
5	0	AI_EQ_2	C_EQ_2	1.0	0.913086362485395
5	1	AI_EQ_1	C_EQ_1	1.0	0.9251366674911427
5	1	AI_EQ_1	C_EQ_2	0.3488372093023256	0.7698047182735668
5	1	AI_EQ_2	C_EQ_1	0.3488372093023256	0.7698047182735668
5	1	AI_EQ_2	C_EQ_2	1.0	0.9251366674911427
5	2	AI_EQ_1	C_EQ_1	0.0	0.0
5	2	AI_EQ_1	C_EQ_2	0.0	0.0
6	0	AI_EQ_1	C_EQ_1	1.0	0.8283772138839351
6	0	AI_EQ_1	C_EQ_2	0.0024813895781637717	0.5763703881778924
6	0	AI_EQ_2	C_EQ_1	0.18181818181818182	0.7798028686823532
6	0	AI_EQ_2	C_EQ_2	0.007389162561576354	0.5825751279465128
6	1	AI_EQ_1	C_EQ_1	0.7142857142857143	0.8574843612453836
6	1	AI_EQ_1	C_EQ_2	0.006060606060606061	0.5772235256571437
6	2	AI_EQ_1	C_EQ_1	0.00847457627118644	0.5825751279465128
6	2	AI_EQ_1	C_EQ_2	0.005392374547992134	0.561596692044213
6	2	AI_EQ_2	C_EQ_1	1.0	0.9251366674911427
