Character Number	State Number	Curator 1 EQ Number	Curator 2 EQ Number	SimJ Score	NIC Score
1	0	AI_EQ_1	EQ_1	0.03076923076923077	0.37262597023437555
1	0	AI_EQ_1	EQ_2	0.019417475728155338	0.6746750916224873
1	0	AI_EQ_2	EQ_1	1.0	0.8597206924451644
1	0	AI_EQ_2	EQ_2	0.00261437908496732	0.37262597023437555
1	1	AI_EQ_1	EQ_1	0.025974025974025976	0.3714102989829223
1	1	AI_EQ_1	EQ_2	0.019417475728155338	0.6746750916224873
1	1	AI_EQ_2	EQ_1	1.0	0.8268156128434346
1	1	AI_EQ_2	EQ_2	0.0013540961408259986	0.3714102989829223
1	2	AI_EQ_1	EQ_1	0.025974025974025976	0.3714102989829223
1	2	AI_EQ_1	EQ_2	0.019417475728155338	0.6746750916224873
1	2	AI_EQ_2	EQ_1	1.0	0.8248095226320111
1	2	AI_EQ_2	EQ_2	0.0013540961408259986	0.3714102989829223
2	0	AI_EQ_1	EQ_1	0.7532467532467533	0.8679145844014362
2	1	AI_EQ_1	EQ_1	0.7532467532467533	0.8679145844014362
2	1	AI_EQ_1	EQ_2	0.0880503144654088	0.8192090758307077
2	1	AI_EQ_1	EQ_3	0.0979020979020979	0.8192090758307077
3	0	AI_EQ_1	EQ_1	1.0	0.9263114101907659
3	1	AI_EQ_1	EQ_1	1.0	0.9144501965246544
4	0	AI_EQ_1	EQ_1	0.5	0.6786772495988559
4	1	AI_EQ_1	EQ_1	0.5	0.6786772495988559
5	0	AI_EQ_1	EQ_1	1.0	0.8776059016200373
5	0	AI_EQ_1	EQ_2	0.24064171122994651	0.696814977450745
5	0	AI_EQ_2	EQ_1	0.23785166240409208	0.7086761911168565
5	0	AI_EQ_2	EQ_2	0.16091954022988506	0.7210940075812852
5	1	AI_EQ_1	EQ_1	1.0	0.8776059016200373
5	1	AI_EQ_1	EQ_2	0.3488372093023256	0.7521145146772682
5	1	AI_EQ_2	EQ_1	0.34444444444444444	0.7691046685903521
5	1	AI_EQ_2	EQ_2	0.16091954022988506	0.7521145146772682
5	2	AI_EQ_1	EQ_1	1.0	0.9416031742106703
5	2	AI_EQ_1	EQ_2	0.3488372093023256	0.7210940075812852
6	0	AI_EQ_1	EQ_1	1.0	0.8228763975405472
6	0	AI_EQ_1	EQ_2	0.0024813895781637717	0.5758030070050323
6	0	AI_EQ_2	EQ_1	0.18181818181818182	0.7764992209490641
6	0	AI_EQ_2	EQ_2	0.007389162561576354	0.581135395307166
6	1	AI_EQ_1	EQ_1	0.7142857142857143	0.8494003136653085
6	1	AI_EQ_1	EQ_2	0.006060606060606061	0.5765723220962904
6	2	AI_EQ_1	EQ_1	0.00847457627118644	0.581135395307166
6	2	AI_EQ_1	EQ_2	0.005392374547992134	0.556713149464945
6	3	AI_EQ_1	EQ_1	0	0
6	4	AI_EQ_1	EQ_1	0	0
7	0	AI_EQ_1	EQ_1	0.9302325581395349	0.9263114101907659
7	1	AI_EQ_1	EQ_1	0.9302325581395349	0.9416031742106703
8	0	AI_EQ_1	EQ_1	0.09090909090909091	0.8560533707353247
8	0	AI_EQ_1	EQ_2	0.9545454545454546	0.8597206924451644
8	0	AI_EQ_1	EQ_3	0.08860759493670886	0.8095177586121066
8	0	AI_EQ_1	EQ_4	1.0	0.9047588793060533
8	0	AI_EQ_2	EQ_1	1.0	0.9144501965246544
8	0	AI_EQ_2	EQ_2	0.08860759493670886	0.8095177586121066
8	0	AI_EQ_2	EQ_3	0.9545454545454546	0.8636599077480517
8	0	AI_EQ_2	EQ_4	0.09090909090909091	0.8560533707353247
8	0	AI_EQ_3	EQ_1	0.08860759493670886	0.8095177586121066
8	0	AI_EQ_3	EQ_2	1.0	0.9047588793060533
8	0	AI_EQ_3	EQ_3	0.09090909090909091	0.8560533707353247
8	0	AI_EQ_3	EQ_4	0.9545454545454546	0.8597206924451644
8	0	AI_EQ_4	EQ_1	0.9545454545454546	0.8636599077480517
8	0	AI_EQ_4	EQ_2	0.09090909090909091	0.8560533707353247
8	0	AI_EQ_4	EQ_3	1.0	0.9144501965246544
8	0	AI_EQ_4	EQ_4	0.08860759493670886	0.8095177586121066
8	1	AI_EQ_1	EQ_1	0.08333333333333333	0.8560533707353247
8	1	AI_EQ_1	EQ_2	0.08123791102514506	0.8110151838744357
8	1	AI_EQ_1	EQ_3	0.08123791102514506	0.8095177586121066
8	1	AI_EQ_1	EQ_4	0.08019323671497584	0.7684187870541049
8	1	AI_EQ_2	EQ_1	0.08123791102514506	0.8095177586121066
8	1	AI_EQ_2	EQ_2	0.08019323671497584	0.7684187870541049
8	1	AI_EQ_2	EQ_3	0.08333333333333333	0.8560533707353247
8	1	AI_EQ_2	EQ_4	0.08123791102514506	0.8141428554512411
9	0	AI_EQ_1	EQ_1	0.10864197530864197	0.6964617862407121
9	1	AI_EQ_1	EQ_1	0.07801418439716312	0.6964617862407121
10	0	AI_EQ_1	EQ_1	0.28743961352657005	0.8597206924451644
10	1	AI_EQ_1	EQ_1	0.18528610354223432	0.8013238666558348
10	2	AI_EQ_1	EQ_1	0.28743961352657005	0.8597206924451644
11	0	AI_EQ_1	EQ_1	0.75	0.8434881059612479
11	1	AI_EQ_1	EQ_1	1.0	0.8832063484213408
11	1	AI_EQ_1	EQ_2	0.21428571428571427	0.8157785254769148
11	1	AI_EQ_2	EQ_1	0.21428571428571427	0.8157785254769148
11	1	AI_EQ_2	EQ_2	1.0	0.8894671152861489
12	0	AI_EQ_1	EQ_1	0.9473684210526315	0.8289003930493086
12	1	AI_EQ_1	EQ_1	0.9473684210526315	0.8110151838744357
13	0	AI_EQ_1	EQ_1	0.002150537634408602	0.6912677123262579
13	1	AI_EQ_1	EQ_1	0.002577319587628866	0.6912677123262579
14	0	AI_EQ_1	EQ_1	1.0	0.8965649873497815
14	1	AI_EQ_1	EQ_1	1.0	0.8597206924451644
15	0	AI_EQ_1	EQ_1	1.0	0.9144501965246544
15	1	AI_EQ_1	EQ_1	1.0	0.8832063484213408
16	0	AI_EQ_1	EQ_1	0.24585523655479175	0.9047588793060533
16	1	AI_EQ_1	EQ_1	0.24585523655479175	0.9047588793060533
17	0	AI_EQ_1	EQ_1	1.0	0.9263114101907659
17	1	AI_EQ_1	EQ_1	1.0	0.9144501965246544
18	0	AI_EQ_1	EQ_1	1.0	0.9144501965246544
18	1	AI_EQ_1	EQ_1	1.0	0.8965649873497815
19	0	AI_EQ_1	EQ_1	0.42857142857142855	0.8636599077480517
19	1	AI_EQ_1	EQ_1	1.0	0.8965649873497815
19	2	AI_EQ_1	EQ_1	1.0	0.8597206924451644
20	0	AI_EQ_1	EQ_1	1.0	0.8679145844014362
20	0	AI_EQ_1	EQ_2	0.36619718309859156	0.8526228203815318
20	1	AI_EQ_1	EQ_1	1.0	0.8679145844014362
20	1	AI_EQ_1	EQ_2	0.36619718309859156	0.8526228203815318
21	0	AI_EQ_1	EQ_1	0.14285714285714285	0.8526228203815318
21	1	AI_EQ_1	EQ_1	0.14285714285714285	0.8526228203815318
22	0	AI_EQ_1	EQ_1	0.0	0.0
22	1	AI_EQ_1	EQ_1	0.0	0.0
23	0	AI_EQ_1	EQ_1	0.15151515151515152	0.8210111155744947
23	1	AI_EQ_1	EQ_1	0.15151515151515152	0.8210111155744947
