Character Number	State Number	Curator 1 EQ Number	Curator 2 EQ Number	SimJ Score	NIC Score
1	0	AI_EQ_1	EQ_1	0.03076923076923077	0.37262597023437555
1	0	AI_EQ_1	EQ_2	0.019417475728155338	0.6746750916224873
1	0	AI_EQ_2	EQ_1	1.0	0.8597206924451644
1	0	AI_EQ_2	EQ_2	0.00261437908496732	0.37262597023437555
1	1	AI_EQ_1	EQ_1	0.025974025974025976	0.3714102989829223
1	1	AI_EQ_1	EQ_2	0.019417475728155338	0.6746750916224873
1	1	AI_EQ_2	EQ_1	1.0	0.8268156128434346
1	1	AI_EQ_2	EQ_2	0.0013540961408259986	0.3714102989829223
1	2	AI_EQ_1	EQ_1	0.025974025974025976	0.3714102989829223
1	2	AI_EQ_1	EQ_2	0.019417475728155338	0.6746750916224873
1	2	AI_EQ_2	EQ_1	1.0	0.8248095226320111
1	2	AI_EQ_2	EQ_2	0.0013540961408259986	0.3714102989829223
2	0	AI_EQ_1	EQ_1	0.7532467532467533	0.8679145844014362
2	1	AI_EQ_1	EQ_1	0.3228200371057514	0.8679145844014362
2	1	AI_EQ_1	EQ_2	0.0535031847133758	0.8192090758307077
2	1	AI_EQ_1	EQ_3	0.05698778833107191	0.8192090758307077
3	0	AI_EQ_1	EQ_1	1.0	0.9263114101907659
3	1	AI_EQ_1	EQ_1	1.0	0.9144501965246544
4	0	AI_EQ_1	EQ_1	0.012738853503184714	0.6786772495988559
4	1	AI_EQ_1	EQ_1	0.012738853503184714	0.6786772495988559
5	0	AI_EQ_1	EQ_1	1.0	0.8776059016200373
5	0	AI_EQ_1	EQ_2	0.24064171122994651	0.696814977450745
5	0	AI_EQ_2	EQ_1	0.24	0.7086761911168565
5	0	AI_EQ_2	EQ_2	0.18181818181818182	0.7210940075812852
5	1	AI_EQ_1	EQ_1	1.0	0.8776059016200373
5	1	AI_EQ_1	EQ_2	0.3488372093023256	0.7521145146772682
5	1	AI_EQ_2	EQ_1	0.34782608695652173	0.7691046685903521
5	1	AI_EQ_2	EQ_2	0.18181818181818182	0.7521145146772682
5	2	AI_EQ_1	EQ_1	0.06611570247933884	0.557648303347535
5	2	AI_EQ_1	EQ_2	0.0380952380952381	0.5548785274071912
6	0	AI_EQ_1	EQ_1	0.7798165137614679	0.7841668206698776
6	0	AI_EQ_1	EQ_2	0.0019558664488368346	0.5550874851017091
6	0	AI_EQ_2	EQ_1	0.002446254352893775	0.5550874851017091
6	0	AI_EQ_2	EQ_2	0.7798165137614679	0.8725396812405707
6	1	AI_EQ_1	EQ_1	0.5751014884979703	0.8310702894968192
6	1	AI_EQ_1	EQ_2	0.004799277285302919	0.556713149464945
6	1	AI_EQ_2	EQ_1	0.0071950565728957985	0.5653085504505951
6	1	AI_EQ_2	EQ_2	0.24566473988439305	0.8110151838744357
6	2	AI_EQ_1	EQ_1	0.006703998738070826	0.5653085504505951
6	2	AI_EQ_1	EQ_2	0.005437911841852728	0.556713149464945
6	2	AI_EQ_2	EQ_1	0.596524451375738	0.8356953863359535
6	2	AI_EQ_2	EQ_2	0.265625	0.8110151838744357
6	2	AI_EQ_3	EQ_1	0.7798165137614679	0.8725396812405707
6	2	AI_EQ_3	EQ_2	0.2169773095623987	0.7920560981446916
6	3	AI_EQ_1	EQ_1	0	0
6	4	AI_EQ_1	EQ_1	0	0
7	0	AI_EQ_1	EQ_1	0.07462686567164178	0.8289003930493086
7	1	AI_EQ_1	EQ_1	0.10204081632653061	0.8289003930493086
8	0	AI_EQ_1	EQ_1	0.09090909090909091	0.8560533707353247
8	0	AI_EQ_1	EQ_2	0.9545454545454546	0.8597206924451644
8	0	AI_EQ_1	EQ_3	0.08860759493670886	0.8095177586121066
8	0	AI_EQ_1	EQ_4	1.0	0.9047588793060533
8	0	AI_EQ_2	EQ_1	1.0	0.9144501965246544
8	0	AI_EQ_2	EQ_2	0.08860759493670886	0.8095177586121066
8	0	AI_EQ_2	EQ_3	0.9545454545454546	0.8636599077480517
8	0	AI_EQ_2	EQ_4	0.09090909090909091	0.8560533707353247
8	0	AI_EQ_3	EQ_1	0.08860759493670886	0.8095177586121066
8	0	AI_EQ_3	EQ_2	1.0	0.9047588793060533
8	0	AI_EQ_3	EQ_3	0.09090909090909091	0.8560533707353247
8	0	AI_EQ_3	EQ_4	0.9545454545454546	0.8597206924451644
8	0	AI_EQ_4	EQ_1	0.9545454545454546	0.8636599077480517
8	0	AI_EQ_4	EQ_2	0.09090909090909091	0.8560533707353247
8	0	AI_EQ_4	EQ_3	1.0	0.9144501965246544
8	0	AI_EQ_4	EQ_4	0.08860759493670886	0.8095177586121066
8	1	AI_EQ_1	EQ_1	0.125	0.8560533707353247
8	1	AI_EQ_1	EQ_2	0.12173913043478261	0.8110151838744357
8	1	AI_EQ_1	EQ_3	0.12173913043478261	0.8095177586121066
8	1	AI_EQ_1	EQ_4	0.12011577424023155	0.7684187870541049
8	1	AI_EQ_2	EQ_1	0.12173913043478261	0.8095177586121066
8	1	AI_EQ_2	EQ_2	0.12011577424023155	0.7684187870541049
8	1	AI_EQ_2	EQ_3	0.125	0.8560533707353247
8	1	AI_EQ_2	EQ_4	0.12173913043478261	0.8141428554512411
9	0	AI_EQ_1	EQ_1	0.06567164179104477	0.6964617862407121
9	1	AI_EQ_1	EQ_1	0.044534412955465584	0.6964617862407121
10	0	AI_EQ_1	EQ_1	0.28743961352657005	0.8597206924451644
10	1	AI_EQ_1	EQ_1	0.28743961352657005	0.8832063484213408
10	2	AI_EQ_1	EQ_1	0.28743961352657005	0.8597206924451644
11	0	AI_EQ_1	EQ_1	0.75	0.8434881059612479
11	1	AI_EQ_1	EQ_1	1.0	0.8832063484213408
11	1	AI_EQ_1	EQ_2	0.21428571428571427	0.8157785254769148
11	1	AI_EQ_2	EQ_1	0.21428571428571427	0.8157785254769148
11	1	AI_EQ_2	EQ_2	1.0	0.8894671152861489
12	0	AI_EQ_1	EQ_1	1.0	0.8679145844014362
12	1	AI_EQ_1	EQ_1	1.0	0.8560533707353247
13	0	AI_EQ_1	EQ_1	0.002150537634408602	0.6912677123262579
13	1	AI_EQ_1	EQ_1	0.002577319587628866	0.6912677123262579
14	0	AI_EQ_1	EQ_1	0.25301204819277107	0.8095177586121066
14	1	AI_EQ_1	EQ_1	0.45161290322580644	0.8356953863359535
15	0	AI_EQ_1	EQ_1	1.0	0.9144501965246544
15	1	AI_EQ_1	EQ_1	1.0	0.8832063484213408
16	0	AI_EQ_1	EQ_1	0.23510204081632652	0.8679145844014362
16	1	AI_EQ_1	EQ_1	0.23510204081632652	0.8679145844014362
17	0	AI_EQ_1	EQ_1	0.0021204871683340584	0.6235712026351273
17	1	AI_EQ_1	EQ_1	0.0021204871683340584	0.6235712026351273
18	0	AI_EQ_1	EQ_1	0.8355916892502259	0.8832063484213408
18	1	AI_EQ_1	EQ_1	0.8355916892502259	0.8636599077480517
19	0	AI_EQ_1	EQ_1	0.125	0.8248095226320111
19	1	AI_EQ_1	EQ_1	1.0	0.8965649873497815
19	2	AI_EQ_1	EQ_1	1.0	0.8597206924451644
20	0	AI_EQ_1	EQ_1	1.0	0.8679145844014362
20	0	AI_EQ_1	EQ_2	0.36619718309859156	0.8526228203815318
20	1	AI_EQ_1	EQ_1	1.0	0.8679145844014362
