Character Number	State Number	Curator 1 EQ Number	Curator 2 EQ Number	SimJ Score	NIC Score
1	0	EQ_1	EQ_1	1.0	0.8632410753295616
1	0	EQ_1	EQ_2	0.00261437908496732	0.37418923774930296
1	0	EQ_2	EQ_1	0.029197080291970802	0.37418923774930296
1	0	EQ_2	EQ_2	0.01932367149758454	0.6740284176533825
1	1	EQ_1	EQ_1	0.18181818181818182	0.8033149520414808
1	1	EQ_1	EQ_2	0.00261437908496732	0.37418923774930296
1	1	EQ_2	EQ_1	0.023809523809523808	0.3729394950011074
1	1	EQ_2	EQ_2	0.01932367149758454	0.6740284176533825
1	2	EQ_1	EQ_1	1.0	0.8283747805093862
1	2	EQ_1	EQ_2	0.0013540961408259986	0.3729394950011074
1	2	EQ_2	EQ_1	0.023809523809523808	0.3729394950011074
1	2	EQ_2	EQ_2	0.01932367149758454	0.6740284176533825
2	0	EQ_1	EQ_1	0.45454545454545453	0.7782551235735755
2	1	EQ_1	EQ_1	0.45454545454545453	0.7782551235735755
2	1	EQ_1	EQ_2	0.10294117647058823	0.818653691873134
2	1	EQ_1	EQ_3	0.11666666666666667	0.818653691873134
2	1	EQ_2	EQ_1	0.08557457212713937	0.5831554760305092
2	1	EQ_2	EQ_2	0.4307692307692308	0.88284756204569
2	1	EQ_2	EQ_3	0.49122807017543857	0.88284756204569
2	1	EQ_3	EQ_1	0.06206896551724138	0.5831554760305092
2	1	EQ_3	EQ_2	1.0	0.9630425205955958
2	1	EQ_3	EQ_3	0.5714285714285714	0.9260850411911918
2	1	EQ_4	EQ_1	0.06976744186046512	0.5831554760305092
2	1	EQ_4	EQ_2	0.5714285714285714	0.9260850411911918
2	1	EQ_4	EQ_3	1.0	0.9630425205955958
3	0	EQ_1	EQ_1	0.0050042893909064915	0.6117316858694661
3	1	EQ_1	EQ_1	0.0050042893909064915	0.6117316858694661
4	0	EQ_1	EQ_1	0.46153846153846156	0.6776901563495891
4	1	EQ_1	EQ_1	0.46153846153846156	0.6776901563495891
5	0	EQ_1	EQ_1	0.0	0.0
5	0	EQ_1	EQ_2	0.0	0.0
5	0	EQ_2	EQ_1	0.0	0.0
5	0	EQ_2	EQ_2	0.0	0.0
5	1	EQ_1	EQ_1	0.0	0.0
5	1	EQ_1	EQ_2	0.0	0.0
5	1	EQ_2	EQ_1	0.0	0.0
5	1	EQ_2	EQ_2	0.0	0.0
5	2	EQ_1	EQ_1	0.0	0.0
5	2	EQ_1	EQ_2	0.0	0.0
5	2	EQ_2	EQ_1	0.0	0.0
5	2	EQ_2	EQ_2	0.0	0.0
6	0	EQ_1	EQ_1	1.0	0.8262835959251577
6	0	EQ_1	EQ_2	0.0024813895781637717	0.5773087375739402
6	0	EQ_2	EQ_1	0.0024813895781637717	0.5773087375739402
6	0	EQ_2	EQ_2	1.0	0.9141873902546929
6	1	EQ_1	EQ_1	0.7142857142857143	0.8521700823823836
6	1	EQ_1	EQ_2	0.006060606060606061	0.5781029587124237
6	1	EQ_2	EQ_1	0.008849557522123894	0.5829413457336257
6	1	EQ_2	EQ_2	0.16071428571428573	0.8223322794783954
6	1	EQ_3	EQ_1	0.008849557522123894	0.5829413457336257
6	1	EQ_3	EQ_2	0.16071428571428573	0.8223322794783954
6	2	EQ_1	EQ_1	0.5111561866125761	0.8223322794783954
6	2	EQ_1	EQ_2	0.22666666666666666	0.8119801968238195
6	2	EQ_2	EQ_1	0.9436619718309859	0.9044663016184409
6	2	EQ_2	EQ_2	0.18452380952380953	0.7924944765744073
6	2	EQ_3	EQ_1	0.00847457627118644	0.5829413457336257
6	2	EQ_3	EQ_2	0.005392374547992134	0.5572970549162571
6	3	EQ_1	EQ_1	0	0
6	4	EQ_1	EQ_1	0	0
7	0	EQ_1	EQ_1	0.05806451612903226	0.8135719082261128
7	1	EQ_1	EQ_1	0.07964601769911504	0.8135719082261128
8	0	EQ_1	EQ_1	0.0696629213483146	0.8152126029779796
8	0	EQ_1	EQ_2	0.6703296703296703	0.8402724314458849
8	0	EQ_1	EQ_3	0.06846240179573512	0.7719751238324779
8	0	EQ_1	EQ_4	0.6888888888888889	0.877229910850289
8	0	EQ_2	EQ_1	0.06846240179573512	0.7719751238324779
8	0	EQ_2	EQ_2	0.6888888888888889	0.8891275617867876
8	0	EQ_2	EQ_3	0.0696629213483146	0.818653691873134
8	0	EQ_2	EQ_4	0.6703296703296703	0.8402724314458849
8	0	EQ_3	EQ_1	0.6703296703296703	0.8351906477988637
8	0	EQ_3	EQ_2	0.07654320987654321	0.818653691873134
8	0	EQ_3	EQ_3	0.6888888888888889	0.88284756204569
8	0	EQ_3	EQ_4	0.0752157829839704	0.7719751238324779
8	0	EQ_4	EQ_1	0.6888888888888889	0.877229910850289
8	0	EQ_4	EQ_2	0.0752157829839704	0.7719751238324779
8	0	EQ_4	EQ_3	0.6703296703296703	0.8351906477988637
8	0	EQ_4	EQ_4	0.07654320987654321	0.8152126029779796
8	1	EQ_1	EQ_1	0.07077625570776255	0.8152126029779796
8	1	EQ_1	EQ_2	0.07077625570776255	0.8152126029779796
8	1	EQ_1	EQ_3	0.06955530216647662	0.7719751238324779
8	1	EQ_1	EQ_4	0.06955530216647662	0.7719751238324779
8	1	EQ_2	EQ_1	0.06955530216647662	0.7719751238324779
8	1	EQ_2	EQ_2	0.06955530216647662	0.7719751238324779
8	1	EQ_2	EQ_3	0.07077625570776255	0.818653691873134
8	1	EQ_2	EQ_4	0.07077625570776255	0.818653691873134
8	1	EQ_3	EQ_1	0.6703296703296703	0.8592897588827996
8	1	EQ_3	EQ_2	0.6703296703296703	0.8592897588827996
8	1	EQ_3	EQ_3	0.6888888888888889	0.9141873902546929
8	1	EQ_3	EQ_4	0.6888888888888889	0.9141873902546929
8	1	EQ_4	EQ_1	0.6888888888888889	0.9141873902546929
8	1	EQ_4	EQ_2	0.6888888888888889	0.9141873902546929
8	1	EQ_4	EQ_3	0.6703296703296703	0.8592897588827996
8	1	EQ_4	EQ_4	0.6703296703296703	0.8592897588827996
9	0	EQ_1	EQ_1	0.09273182957393483	0.7015012539188242
9	1	EQ_1	EQ_1	0.06630824372759857	0.7015012539188242
10	0	EQ_1	EQ_1	1.0	0.88284756204569
10	1	EQ_1	EQ_1	0.6666666666666666	0.8242713430685351
10	2	EQ_1	EQ_1	1.0	0.88284756204569
11	0	EQ_1	EQ_1	1.0	0.8489376762282236
11	1	EQ_1	EQ_1	0.2727272727272727	0.8204612674255862
11	1	EQ_1	EQ_2	0.4	0.8430073064105073
11	1	EQ_2	EQ_1	0.21428571428571427	0.8204612674255862
11	1	EQ_2	EQ_2	1.0	0.8962472382872035
12	0	EQ_1	EQ_1	0.07692307692307693	0.6135974595892889
12	1	EQ_1	EQ_1	0.07692307692307693	0.6003499043418642
13	0	EQ_1	EQ_1	0.0021502771131772618	0.6906404925622177
13	1	EQ_1	EQ_1	0.002576945412311266	0.6906404925622177
14	0	EQ_1	EQ_1	1.0	0.8962472382872035
14	1	EQ_1	EQ_1	1.0	0.8632410753295616
15	0	EQ_1	EQ_1	0.3333333333333333	0.8351906477988637
15	1	EQ_1	EQ_1	0.75	0.8721481272032677
16	0	EQ_1	EQ_1	0.0017979144192736426	0.5063436270134831
16	1	EQ_1	EQ_1	0.0017979144192736426	0.5063436270134831
17	0	EQ_1	EQ_1	1.0	0.9260850411911918
17	1	EQ_1	EQ_1	1.0	0.9141873902546929
18	0	EQ_1	EQ_1	1.0	0.9260850411911918
18	1	EQ_1	EQ_1	1.0	0.9044663016184409
19	0	EQ_1	EQ_1	1.0	0.9414237810228451
19	1	EQ_1	EQ_1	0.4444444444444444	0.8721481272032677
19	2	EQ_1	EQ_1	1.0	0.8675088222140369
20	0	EQ_1	EQ_1	0.003194407907099102	0.6030847793064865
20	0	EQ_1	EQ_2	0.005616492665521343	0.6030847793064865
20	0	EQ_2	EQ_1	0.003194407907099102	0.6030847793064865
20	0	EQ_2	EQ_2	0.005616492665521343	0.6030847793064865
20	1	EQ_1	EQ_1	0.003194407907099102	0.6030847793064865
20	1	EQ_1	EQ_2	0.005616492665521343	0.6030847793064865
20	1	EQ_2	EQ_1	0.003194407907099102	0.6030847793064865
20	1	EQ_2	EQ_2	0.005616492665521343	0.6030847793064865
21	0	EQ_1	EQ_1	0.13962765957446807	0.8152126029779796
21	1	EQ_1	EQ_1	0.13962765957446807	0.8152126029779796
21	1	EQ_2	EQ_1	0.6268656716417911	0.877229910850289
22	0	EQ_1	EQ_1	1.0	0.8962472382872035
22	1	EQ_1	EQ_1	0.42857142857142855	0.9141873902546929
23	0	EQ_1	EQ_1	0.00040586245772266066	0.3857665080157222
23	1	EQ_1	EQ_1	0.00040586245772266066	0.3857665080157222
24	0	EQ_1	EQ_1	0.2676795442051077	0.8430073064105073
24	1	EQ_1	EQ_1	0.2676795442051077	0.8430073064105073
25	0	EQ_1	EQ_1	0.3269230769230769	0.8376710193100487
25	1	EQ_1	EQ_1	0.3269230769230769	0.8283747805093862
26	0	EQ_1	EQ_1	0.25	0.8305513428096328
26	1	EQ_1	EQ_1	1.0	0.8592897588827996
26	1	EQ_1	EQ_2	0.25	0.8305513428096328
27	0	EQ_1	EQ_1	0.099644128113879	0.9260850411911918
27	1	EQ_1	EQ_1	0.14213197969543148	0.9260850411911918
28	0	EQ_1	EQ_1	0.05054509415262636	0.7853748000739913
28	1	EQ_1	EQ_1	0.08823529411764706	0.9414237810228451
29	0	EQ_1	EQ_1	0.08	0.6135974595892889
29	1	EQ_1	EQ_1	0.08333333333333333	0.6003499043418642
30	0	EQ_1	EQ_1	0.4067796610169492	0.8458900826412861
30	1	EQ_1	EQ_1	0.6666666666666666	0.9260850411911918
31	0	EQ_1	EQ_1	0.10267857142857142	0.5156386562184773
31	1	EQ_1	EQ_1	0.10267857142857142	0.5156386562184773
32	0	EQ_1	EQ_1	0.5287356321839081	0.7982331683944597
32	1	EQ_1	EQ_1	0.5287356321839081	0.7982331683944597
33	0	EQ_1	EQ_1	1.0	0.8891275617867876
33	0	EQ_1	EQ_2	0.11133603238866396	0.5458451413756737
33	0	EQ_1	EQ_3	0.11133603238866396	0.5458451413756737
33	1	EQ_1	EQ_1	0.0998185117967332	0.5458451413756737
33	2	EQ_1	EQ_1	0.5714285714285714	0.8376710193100487
33	2	EQ_1	EQ_2	0.0998185117967332	0.5458451413756737
33	2	EQ_1	EQ_3	0.0998185117967332	0.5458451413756737
33	3	EQ_1	EQ_1	0.3	0.8104346285418967
33	3	EQ_1	EQ_2	1.0	0.8592897588827996
33	3	EQ_2	EQ_1	0.5555555555555556	0.88284756204569
33	3	EQ_2	EQ_2	0.375	0.8104346285418967
33	4	EQ_1	EQ_1	1.0	0.8430073064105073
34	0	EQ_1	EQ_1	0.5159128978224455	0.8262835959251577
34	1	EQ_1	EQ_1	0.5159128978224455	0.8262835959251577
34	1	EQ_1	EQ_2	0.4118268670879251	0.7970349523003832
34	1	EQ_2	EQ_1	0.4014379112447182	0.7970349523003832
34	1	EQ_2	EQ_2	0.5159128978224455	0.8430073064105073
34	2	EQ_1	EQ_1	0.5159128978224455	0.8430073064105073
34	3	EQ_1	EQ_1	0.4014379112447182	0.7970349523003832
34	3	EQ_1	EQ_2	0.4191513052084622	0.787313863664131
34	3	EQ_2	EQ_1	0.3494224422442244	0.787313863664131
34	3	EQ_2	EQ_2	0.5159128978224455	0.8891275617867876
35	0	EQ_1	EQ_1	0.9662921348314607	0.8489376762282236
35	1	EQ_1	EQ_1	0.9662921348314607	0.8489376762282236
36	0	EQ_1	EQ_1	0.08127721335268505	0.6525671918503154
36	1	EQ_1	EQ_1	0.07734806629834254	0.6525671918503154
36	1	EQ_1	EQ_2	0.0958904109589041	0.6525671918503154
36	1	EQ_2	EQ_1	0.0691358024691358	0.6525671918503154
36	1	EQ_2	EQ_2	0.1308411214953271	0.8675088222140369
37	0	EQ_1	EQ_1	0.4857142857142857	0.7994589320852534
37	1	EQ_1	EQ_1	0.4857142857142857	0.7625014526808495
38	0	EQ_1	EQ_1	0.3870967741935484	0.8458900826412861
38	0	EQ_2	EQ_1	0.5625	0.818653691873134
38	1	EQ_1	EQ_1	0.3090128755364807	0.8060498270061032
38	1	EQ_2	EQ_1	0.45	0.7742443331973222
38	2	EQ_1	EQ_1	0.3090128755364807	0.8060498270061032
38	2	EQ_2	EQ_1	0.45	0.7742443331973222
39	0	EQ_1	EQ_1	0.10404624277456648	0.7734771491374927
39	1	EQ_1	EQ_1	0.34951456310679613	0.7935938634052287
39	1	EQ_1	EQ_2	0.24120603015075376	0.7994589320852534
39	2	EQ_1	EQ_1	0.39705882352941174	0.7935938634052287
39	2	EQ_1	EQ_2	0.5106382978723404	0.9260850411911918
39	3	EQ_1	EQ_1	0.34951456310679613	0.7935938634052287
39	3	EQ_1	EQ_2	0.24120603015075376	0.7994589320852534
39	3	EQ_1	EQ_3	0.32432432432432434	0.7994589320852534
39	3	EQ_2	EQ_1	0.39705882352941174	0.7935938634052287
39	3	EQ_2	EQ_2	0.2659279778393352	0.7994589320852534
39	3	EQ_2	EQ_3	0.5106382978723404	0.9260850411911918
40	0	EQ_1	EQ_1	0.7687622362410268	0.8891275617867876
40	1	EQ_1	EQ_1	0.004462538166444844	0.6269971358308024
40	2	EQ_1	EQ_1	0.7687622362410268	0.8891275617867876
41	0	EQ_1	EQ_1	0.04672897196261682	0.4036352432905203
41	0	EQ_1	EQ_2	0.02631578947368421	0.3729394950011074
41	0	EQ_2	EQ_1	0.03816793893129771	0.3729394950011074
41	0	EQ_2	EQ_2	0.03985507246376811	0.40631327605047285
41	1	EQ_1	EQ_1	0.04201680672268908	0.4036352432905203
41	1	EQ_1	EQ_2	0.023622047244094488	0.3729394950011074
41	1	EQ_2	EQ_1	0.03355704697986577	0.3729394950011074
41	1	EQ_2	EQ_2	0.03492063492063492	0.40631327605047285
42	0	EQ_1	EQ_1	0.5684210526315789	0.877229910850289
42	1	EQ_1	EQ_1	0.35809018567639256	0.8632410753295616
42	2	EQ_1	EQ_1	0.5684210526315789	0.877229910850289
43	0	EQ_1	EQ_1	0.007643312101910828	0.6396694014413521
43	1	EQ_1	EQ_1	0.0037137905422134194	0.6392376713718979
43	2	EQ_1	EQ_1	0.0036780932764454905	0.6392376713718979
44	0	EQ_1	EQ_1	0.002600297176820208	0.5699062043238802
44	0	EQ_1	EQ_2	0.002600297176820208	0.5699062043238802
44	0	EQ_2	EQ_1	0.002600297176820208	0.5699062043238802
44	0	EQ_2	EQ_2	0.002600297176820208	0.5699062043238802
44	1	EQ_1	EQ_1	0.0021718895439031957	0.5699062043238802
44	1	EQ_1	EQ_2	0.0021718895439031957	0.5699062043238802
44	1	EQ_2	EQ_1	0.0021718895439031957	0.5699062043238802
44	1	EQ_2	EQ_2	0.0021718895439031957	0.5699062043238802
45	0	EQ_1	EQ_1	0.12222222222222222	0.832820552174477
45	1	EQ_1	EQ_1	0.13924050632911392	0.832820552174477
46	0	EQ_1	EQ_1	0.6585365853658537	0.818653691873134
46	0	EQ_1	EQ_2	0.6136363636363636	0.818653691873134
46	1	EQ_1	EQ_1	0.6585365853658537	0.8074717345315645
46	1	EQ_1	EQ_2	0.6136363636363636	0.8074717345315645
47	0	EQ_1	EQ_1	0.6666666666666666	0.8632410753295616
47	1	EQ_1	EQ_1	0.5836298932384342	0.8169053918935024
47	1	EQ_1	EQ_2	0.6666666666666666	0.8632410753295616
