Character Number	State Number	Curator 1 EQ Number	Curator 2 EQ Number	SimJ Score	NIC Score
1	0	C_EQ_1	C_EQ_1	0.029197080291970802	0.3823950268214257
1	0	C_EQ_1	C_EQ_2	0.01932367149758454	0.7371582436978009
1	0	C_EQ_2	C_EQ_1	1.0	0.8873535330133433
1	0	C_EQ_2	C_EQ_2	0.00261437908496732	0.3823950268214257
1	1	C_EQ_1	C_EQ_1	0.01904761904761905	0.38111541281966277
1	1	C_EQ_1	C_EQ_2	0.01904761904761905	0.7371582436978009
1	1	C_EQ_2	C_EQ_1	0.023809523809523808	0.38111541281966277
1	1	C_EQ_2	C_EQ_2	0.01932367149758454	0.7371582436978009
1	1	C_EQ_3	C_EQ_1	1.0	0.8653888800047039
1	1	C_EQ_3	C_EQ_2	0.0013540961408259986	0.38111541281966277
1	2	C_EQ_1	C_EQ_1	0.01904761904761905	0.38111541281966277
1	2	C_EQ_1	C_EQ_2	0.01904761904761905	0.7371582436978009
1	2	C_EQ_2	C_EQ_1	0.023809523809523808	0.38111541281966277
1	2	C_EQ_2	C_EQ_2	0.01932367149758454	0.7371582436978009
1	2	C_EQ_3	C_EQ_1	1.0	0.857038306488651
1	2	C_EQ_3	C_EQ_2	0.0013540961408259986	0.38111541281966277
2	0	C_EQ_1	C_EQ_1	0.3684210526315789	0.8105889414553341
2	1	C_EQ_1	C_EQ_1	0.08557457212713937	0.5887648035279487
2	1	C_EQ_1	C_EQ_2	0.4307692307692308	0.8945871288175365
2	1	C_EQ_1	C_EQ_3	0.49122807017543857	0.8945871288175365
3	0	C_EQ_1	C_EQ_1	0.004928189242466911	0.7044770734808332
3	1	C_EQ_1	C_EQ_1	0.004928189242466911	0.7044770734808332
4	0	C_EQ_1	C_EQ_1	0.012738853503184714	0.7434330268653115
4	1	C_EQ_1	C_EQ_1	0.012738853503184714	0.7434330268653115
5	0	C_EQ_1	C_EQ_1	0.057245080500894455	0.581507285665621
5	0	C_EQ_1	C_EQ_2	0.03232323232323232	0.576857564522914
5	0	C_EQ_2	C_EQ_1	0.24	0.7639905488183583
5	0	C_EQ_2	C_EQ_2	0.18181818181818182	0.7839107516585397
5	1	C_EQ_1	C_EQ_1	0.057245080500894455	0.581507285665621
5	1	C_EQ_1	C_EQ_2	0.03232323232323232	0.576857564522914
5	1	C_EQ_2	C_EQ_1	0.34782608695652173	0.7962501488161969
5	1	C_EQ_2	C_EQ_2	0.18181818181818182	0.7747070660266865
5	2	C_EQ_1	C_EQ_1	0.0	0.0
5	2	C_EQ_1	C_EQ_2	0.0	0.0
6	0	C_EQ_1	C_EQ_1	0.7589285714285714	0.8029465022028365
6	0	C_EQ_1	C_EQ_2	0.001955326539532102	0.5584456706394716
6	1	C_EQ_1	C_EQ_1	0.7589285714285714	0.9128143345046266
6	1	C_EQ_1	C_EQ_2	0.004794404647752271	0.5599828910812723
6	1	C_EQ_2	C_EQ_1	0.11470985155195682	0.739316756323306
6	1	C_EQ_2	C_EQ_2	0.002440354856306164	0.5584456706394716
6	2	C_EQ_1	C_EQ_1	0.7589285714285714	0.8945871288175365
6	2	C_EQ_1	C_EQ_2	0.2216846272267429	0.8610528464847688
6	2	C_EQ_2	C_EQ_1	0.005477494641581329	0.5729010651448354
6	2	C_EQ_2	C_EQ_2	0.004905441166978636	0.5599828910812723
6	3	C_EQ_1	C_EQ_1	0	0
6	4	C_EQ_1	C_EQ_1	0	0
7	0	C_EQ_1	C_EQ_1	0.06666666666666667	0.8278400576758184
7	1	C_EQ_1	C_EQ_1	0.09144542772861357	0.8278400576758184
8	0	C_EQ_1	C_EQ_1	0.0696629213483146	0.8256286690092534
8	0	C_EQ_1	C_EQ_2	0.6703296703296703	0.857038306488651
8	0	C_EQ_1	C_EQ_3	0.06846240179573512	0.7891742576350732
8	0	C_EQ_1	C_EQ_4	0.6888888888888889	0.8873535330133433
8	0	C_EQ_2	C_EQ_1	0.0696629213483146	0.8256286690092534
8	0	C_EQ_2	C_EQ_2	0.43058823529411766	0.8301455758183092
8	0	C_EQ_2	C_EQ_3	0.06846240179573512	0.7891742576350732
8	0	C_EQ_2	C_EQ_4	0.44075829383886256	0.8653888800047039
8	0	C_EQ_3	C_EQ_1	0.6888888888888889	0.8873535330133433
8	0	C_EQ_3	C_EQ_2	0.0752157829839704	0.7891742576350732
8	0	C_EQ_3	C_EQ_3	0.6703296703296703	0.8533008591671019
