Character Number	State Number	Curator 1 EQ Number	Curator 2 EQ Number	SimJ Score	NIC Score
1	0	EQ_1	EQ_1	1.0	0.8597206924451644
1	0	EQ_1	EQ_2	0.00261437908496732	0.37262597023437555
1	0	EQ_2	EQ_1	0.0	0.0
1	0	EQ_2	EQ_2	0.0	0.0
1	1	EQ_1	EQ_1	1.0	0.8268156128434346
1	1	EQ_1	EQ_2	0.0013540961408259986	0.3714102989829223
1	1	EQ_2	EQ_1	0.0	0.0
1	1	EQ_2	EQ_2	0.0	0.0
1	2	EQ_1	EQ_1	1.0	0.8248095226320111
1	2	EQ_1	EQ_2	0.0013540961408259986	0.3714102989829223
1	2	EQ_2	EQ_1	0.0	0.0
1	2	EQ_2	EQ_2	0.0	0.0
2	0	EQ_1	EQ_1	0.45454545454545453	0.7757117238560745
2	1	EQ_1	EQ_1	0.45454545454545453	0.7757117238560745
2	1	EQ_1	EQ_2	0.10294117647058823	0.8192090758307077
2	1	EQ_1	EQ_3	0.11666666666666667	0.8192090758307077
2	1	EQ_2	EQ_1	0.06179775280898876	0.394021790118647
2	1	EQ_2	EQ_2	0.20588235294117646	0.9144501965246544
2	1	EQ_2	EQ_3	0.14432989690721648	0.63656101669232
3	0	EQ_1	EQ_1	0.4937226689236846	0.8725396812405707
3	1	EQ_1	EQ_1	0.4937226689236846	0.8725396812405707
4	0	EQ_1	EQ_1	0.39914163090128757	0.6786772495988559
4	1	EQ_1	EQ_1	0.39914163090128757	0.6786772495988559
5	0	EQ_1	EQ_1	0.34782608695652173	0.7691046685903521
5	0	EQ_1	EQ_2	0.13043478260869565	0.696814977450745
5	0	EQ_2	EQ_1	0.24	0.7086761911168565
5	0	EQ_2	EQ_2	0.18181818181818182	0.7210940075812852
5	1	EQ_1	EQ_1	0.34782608695652173	0.7691046685903521
5	1	EQ_1	EQ_2	0.18181818181818182	0.7521145146772682
5	1	EQ_2	EQ_1	0.34782608695652173	0.7691046685903521
5	1	EQ_2	EQ_2	0.18181818181818182	0.7521145146772682
5	2	EQ_1	EQ_1	0.0	0.0
5	2	EQ_1	EQ_2	0.0	0.0
5	2	EQ_2	EQ_1	0.0	0.0
5	2	EQ_2	EQ_2	0.0	0.0
6	0	EQ_1	EQ_1	1.0	0.8228763975405472
6	0	EQ_1	EQ_2	0.0024813895781637717	0.5758030070050323
6	0	EQ_2	EQ_1	0.0024813895781637717	0.5758030070050323
6	0	EQ_2	EQ_2	1.0	0.9047588793060533
6	1	EQ_1	EQ_1	1.0	0.9631557050953831
6	1	EQ_1	EQ_2	0.006060606060606061	0.5765723220962904
6	1	EQ_2	EQ_1	0.006060606060606061	0.5765723220962904
6	1	EQ_2	EQ_2	1.0	0.9416031742106703
6	2	EQ_1	EQ_1	1.0	0.9047588793060533
