Character Number	State Number	Curator 1 EQ Number	Curator 2 EQ Number	SimJ Score	NIC Score
1	0	EQ_1	EQ_1	0.0	0.0
1	0	EQ_1	EQ_2	0.0	0.0
1	0	EQ_2	EQ_1	1.0	0.8597206924451644
1	0	EQ_2	EQ_2	0.00261437908496732	0.37262597023437555
1	1	EQ_1	EQ_1	0.0	0.0
1	1	EQ_1	EQ_2	0.0	0.0
1	1	EQ_2	EQ_1	0.18181818181818182	0.8000731011472263
1	1	EQ_2	EQ_2	0.00261437908496732	0.37262597023437555
1	2	EQ_1	EQ_1	0.0	0.0
1	2	EQ_1	EQ_2	0.0	0.0
1	2	EQ_2	EQ_1	1.0	0.8248095226320111
1	2	EQ_2	EQ_2	0.0013540961408259986	0.3714102989829223
2	0	EQ_1	EQ_1	0.45454545454545453	0.7757117238560745
2	1	EQ_1	EQ_1	0.45454545454545453	0.7757117238560745
2	1	EQ_1	EQ_2	0.10294117647058823	0.8192090758307077
2	1	EQ_1	EQ_3	0.11666666666666667	0.8192090758307077
2	1	EQ_2	EQ_1	0.08557457212713937	0.5815998111296038
2	1	EQ_2	EQ_2	0.4307692307692308	0.8832063484213408
2	1	EQ_2	EQ_3	0.49122807017543857	0.8832063484213408
2	1	EQ_3	EQ_1	0.04827586206896552	0.394021790118647
2	1	EQ_3	EQ_2	0.1807909604519774	0.7125813435659386
2	1	EQ_3	EQ_3	0.27586206896551724	0.9416031742106703
2	1	EQ_4	EQ_1	0.04430379746835443	0.394021790118647
2	1	EQ_4	EQ_2	0.27586206896551724	0.9416031742106703
2	1	EQ_4	EQ_3	0.1927710843373494	0.7125813435659386
3	0	EQ_1	EQ_1	0.0050042893909064915	0.6027080340345787
3	1	EQ_1	EQ_1	0.0050042893909064915	0.6027080340345787
4	0	EQ_1	EQ_1	0.46153846153846156	0.6786772495988559
4	1	EQ_1	EQ_1	0.46153846153846156	0.6786772495988559
5	0	EQ_1	EQ_1	0.34782608695652173	0.7691046685903521
5	0	EQ_1	EQ_2	0.13043478260869565	0.696814977450745
5	0	EQ_2	EQ_1	0.24	0.7086761911168565
5	0	EQ_2	EQ_2	0.18181818181818182	0.7210940075812852
5	1	EQ_1	EQ_1	0.34782608695652173	0.7691046685903521
5	1	EQ_1	EQ_2	0.18181818181818182	0.7521145146772682
5	1	EQ_2	EQ_1	0.34782608695652173	0.7691046685903521
5	1	EQ_2	EQ_2	0.18181818181818182	0.7521145146772682
