Character Number	State Number	Curator 1 EQ Number	Curator 2 EQ Number	SimJ Score	NIC Score
1	0	C_EQ_1	C_EQ_1	0.09386281588447654	0.45229455433795196
1	0	C_EQ_1	C_EQ_2	0.01552254783888666	0.5556295491878025
1	0	C_EQ_2	C_EQ_1	0.9649122807017544	0.8873535330133433
1	0	C_EQ_2	C_EQ_2	0.0026082420448617634	0.3823950268214257
1	1	C_EQ_1	C_EQ_1	0.06554621848739496	0.4508218572177617
1	1	C_EQ_1	C_EQ_2	0.01552254783888666	0.5556295491878025
1	1	C_EQ_2	C_EQ_1	0.048628428927680795	0.4508218572177617
1	1	C_EQ_2	C_EQ_2	0.015104166666666667	0.5556295491878025
1	1	C_EQ_3	C_EQ_1	1.0	0.8653888800047039
1	1	C_EQ_3	C_EQ_2	0.0013540961408259986	0.38111541281966277
1	2	C_EQ_1	C_EQ_1	0.06554621848739496	0.4508218572177617
1	2	C_EQ_1	C_EQ_2	0.01552254783888666	0.5556295491878025
1	2	C_EQ_2	C_EQ_1	0.048628428927680795	0.4508218572177617
1	2	C_EQ_2	C_EQ_2	0.015104166666666667	0.5556295491878025
1	2	C_EQ_3	C_EQ_1	1.0	0.857038306488651
1	2	C_EQ_3	C_EQ_2	0.0013540961408259986	0.38111541281966277
2	0	C_EQ_1	C_EQ_1	0.2972972972972973	0.6604963469568318
2	1	C_EQ_1	C_EQ_1	0.06432748538011696	0.46628615909591015
2	1	C_EQ_1	C_EQ_2	0.15458937198067632	0.6932289376805223
2	1	C_EQ_1	C_EQ_3	0.17486338797814208	0.6932289376805223
2	1	C_EQ_2	C_EQ_1	0.2972972972972973	0.6604963469568318
2	1	C_EQ_2	C_EQ_2	0.04145077720207254	0.4190258290922967
2	1	C_EQ_2	C_EQ_3	0.047337278106508875	0.4190258290922967
3	0	C_EQ_1	C_EQ_1	0.12216404886561955	0.9029377023335896
3	1	C_EQ_1	C_EQ_1	0.12216404886561955	0.9029377023335896
4	0	C_EQ_1	C_EQ_1	0.012658227848101266	0.7264417264894726
4	1	C_EQ_1	C_EQ_1	0.4	0.7264417264894726
5	0	C_EQ_1	C_EQ_1	0.06611570247933884	0.581507285665621
5	0	C_EQ_1	C_EQ_2	0.0380952380952381	0.576857564522914
5	0	C_EQ_2	C_EQ_1	0.24	0.7639905488183583
5	0	C_EQ_2	C_EQ_2	0.18181818181818182	0.7839107516585397
5	1	C_EQ_1	C_EQ_1	0.06611570247933884	0.581507285665621
5	1	C_EQ_1	C_EQ_2	0.0380952380952381	0.576857564522914
5	1	C_EQ_2	C_EQ_1	0.34782608695652173	0.7962501488161969
5	1	C_EQ_2	C_EQ_2	0.18181818181818182	0.7747070660266865
5	2	C_EQ_1	C_EQ_1	0.0	0.0
5	2	C_EQ_1	C_EQ_2	0.0	0.0
6	0	C_EQ_1	C_EQ_1	0.7798165137614679	0.8029465022028365
6	0	C_EQ_1	C_EQ_2	0.0019558664488368346	0.5584456706394716
6	0	C_EQ_2	C_EQ_1	0.0984936268829664	0.5584456706394716
6	0	C_EQ_2	C_EQ_2	0.003903917696229275	0.5599828910812723
6	1	C_EQ_1	C_EQ_1	0.5751014884979703	0.8465205839979691
6	1	C_EQ_1	C_EQ_2	0.004799277285302919	0.5599828910812723
6	1	C_EQ_2	C_EQ_1	0.10353227771010962	0.5599828910812723
6	1	C_EQ_2	C_EQ_2	0.004870222884317882	0.5599828910812723
6	2	C_EQ_1	C_EQ_1	0.004489752799492922	0.5599828910812723
6	2	C_EQ_1	C_EQ_2	0.011026788609976001	0.6441973689647612
6	2	C_EQ_2	C_EQ_1	0.7798165137614679	0.8945871288175365
6	2	C_EQ_2	C_EQ_2	0.2169773095623987	0.8015393711472438
6	3	C_EQ_1	C_EQ_1	0	0
6	4	C_EQ_1	C_EQ_1	0	0
7	0	C_EQ_1	C_EQ_1	0.06666666666666667	0.8278400576758184
7	1	C_EQ_1	C_EQ_1	0.09144542772861357	0.8278400576758184
8	0	C_EQ_1	C_EQ_1	0.0696629213483146	0.8256286690092534
8	0	C_EQ_1	C_EQ_2	0.6703296703296703	0.857038306488651
8	0	C_EQ_1	C_EQ_3	0.06846240179573512	0.7891742576350732
8	0	C_EQ_1	C_EQ_4	0.6888888888888889	0.8873535330133433
8	0	C_EQ_2	C_EQ_1	0.6888888888888889	0.8873535330133433
8	0	C_EQ_2	C_EQ_2	0.0752157829839704	0.7891742576350732
8	0	C_EQ_2	C_EQ_3	0.6703296703296703	0.8533008591671019
8	0	C_EQ_2	C_EQ_4	0.07654320987654321	0.8256286690092534
8	0	C_EQ_3	C_EQ_1	0.06846240179573512	0.7891742576350732
8	0	C_EQ_3	C_EQ_2	0.44075829383886256	0.8752655121757411
8	0	C_EQ_3	C_EQ_3	0.0696629213483146	0.8301455758183092
8	0	C_EQ_3	C_EQ_4	0.43058823529411766	0.8301455758183092
8	0	C_EQ_4	C_EQ_1	0.6703296703296703	0.8533008591671019
8	0	C_EQ_4	C_EQ_2	0.07654320987654321	0.8301455758183092
8	0	C_EQ_4	C_EQ_3	0.6888888888888889	0.8945871288175365
8	0	C_EQ_4	C_EQ_4	0.0752157829839704	0.7891742576350732
8	1	C_EQ_1	C_EQ_1	0.10130718954248366	0.8256286690092534
8	1	C_EQ_1	C_EQ_2	0.10130718954248366	0.8256286690092534
8	1	C_EQ_1	C_EQ_3	0.09951060358890701	0.7891742576350732
8	1	C_EQ_1	C_EQ_4	0.09951060358890701	0.7891742576350732
9	0	C_EQ_1	C_EQ_1	0.10864197530864197	0.72714072328151
9	1	C_EQ_1	C_EQ_1	0.07801418439716312	0.72714072328151
10	0	C_EQ_1	C_EQ_1	0.85	0.8873535330133433
10	1	C_EQ_1	C_EQ_1	0.85	0.9029377023335896
10	2	C_EQ_1	C_EQ_1	0.85	0.8873535330133433
11	0	C_EQ_1	C_EQ_1	0.529045643153527	0.7274936333229194
11	1	C_EQ_1	C_EQ_1	0.15858208955223882	0.6581822634732268
11	1	C_EQ_1	C_EQ_2	0.3169952051145445	0.8809730493249501
11	1	C_EQ_2	C_EQ_1	0.15858208955223882	0.6581822634732268
11	1	C_EQ_2	C_EQ_2	0.7024793388429752	0.8945871288175365
12	0	C_EQ_1	C_EQ_1	0.9459459459459459	0.8809730493249501
12	1	C_EQ_1	C_EQ_1	0.9459459459459459	0.8653888800047039
13	0	C_EQ_1	C_EQ_1	0.002150537634408602	0.7214683738566724
13	1	C_EQ_1	C_EQ_1	0.002577319587628866	0.7214683738566724
14	0	C_EQ_1	C_EQ_1	0.6666666666666666	0.8434242269960647
14	1	C_EQ_1	C_EQ_1	1.0	0.8809730493249501
15	0	C_EQ_1	C_EQ_1	0.46153846153846156	0.8653888800047039
15	1	C_EQ_1	C_EQ_1	1.0	0.9029377023335896
16	0	C_EQ_1	C_EQ_1	0.10591155649535718	0.8653888800047039
16	1	C_EQ_1	C_EQ_1	0.10591155649535718	0.8653888800047039
17	0	C_EQ_1	C_EQ_1	0.8429548563611491	0.9128143345046266
17	1	C_EQ_1	C_EQ_1	0.8429548563611491	0.9029377023335896
18	0	C_EQ_1	C_EQ_1	0.8355916892502259	0.9128143345046266
18	1	C_EQ_1	C_EQ_1	0.8355916892502259	0.8873535330133433
19	0	C_EQ_1	C_EQ_1	0.39351851851851855	0.5599828910812723
