Character Number	State Number	Curator 1 EQ Number	Curator 2 EQ Number	SimJ Score	NIC Score
1	0	EQ_1	EQ_1	1.0	0.8597206924451644
1	0	EQ_1	EQ_2	0.00261437908496732	0.37262597023437555
1	0	EQ_2	EQ_1	0.0	0.0
1	0	EQ_2	EQ_2	0.0	0.0
1	1	EQ_1	EQ_1	1.0	0.8268156128434346
1	1	EQ_1	EQ_2	0.0013540961408259986	0.3714102989829223
1	1	EQ_2	EQ_1	0.0	0.0
1	1	EQ_2	EQ_2	0.0	0.0
1	2	EQ_1	EQ_1	1.0	0.8248095226320111
1	2	EQ_1	EQ_2	0.0013540961408259986	0.3714102989829223
1	2	EQ_2	EQ_1	0.0	0.0
1	2	EQ_2	EQ_2	0.0	0.0
2	0	EQ_1	EQ_1	0.45454545454545453	0.7757117238560745
2	1	EQ_1	EQ_1	0.45454545454545453	0.7757117238560745
2	1	EQ_1	EQ_2	0.10294117647058823	0.8192090758307077
2	1	EQ_1	EQ_3	0.11666666666666667	0.8192090758307077
2	1	EQ_2	EQ_1	0.06179775280898876	0.394021790118647
2	1	EQ_2	EQ_2	0.20588235294117646	0.9144501965246544
2	1	EQ_2	EQ_3	0.14432989690721648	0.63656101669232
3	0	EQ_1	EQ_1	0.18281535648994515	0.9144501965246544
3	1	EQ_1	EQ_1	0.18281535648994515	0.9047588793060533
4	0	EQ_1	EQ_1	0.46153846153846156	0.6786772495988559
4	1	EQ_1	EQ_1	0.46153846153846156	0.6786772495988559
5	0	EQ_1	EQ_1	0.06611570247933884	0.557648303347535
5	0	EQ_1	EQ_2	0.0380952380952381	0.5548785274071912
5	0	EQ_2	EQ_1	0.23529411764705882	0.7086761911168565
5	0	EQ_2	EQ_2	0.17777777777777778	0.7210940075812852
5	1	EQ_1	EQ_1	0.06611570247933884	0.557648303347535
5	1	EQ_1	EQ_2	0.0380952380952381	0.5548785274071912
5	1	EQ_2	EQ_1	0.3404255319148936	0.7691046685903521
5	1	EQ_2	EQ_2	0.17777777777777778	0.7521145146772682
5	2	EQ_1	EQ_1	0.0	0.0
5	2	EQ_1	EQ_2	0.0	0.0
5	2	EQ_2	EQ_1	0.0	0.0
5	2	EQ_2	EQ_2	0.0	0.0
6	0	EQ_1	EQ_1	0.7589285714285714	0.7841668206698776
6	0	EQ_1	EQ_2	0.001955326539532102	0.5550874851017091
6	0	EQ_2	EQ_1	0.001973668934450972	0.5550874851017091
6	0	EQ_2	EQ_2	0.6548536209553159	0.8725396812405707
6	1	EQ_1	EQ_1	0.7589285714285714	0.9263114101907659
6	1	EQ_1	EQ_2	0.004794404647752271	0.556713149464945
6	1	EQ_2	EQ_1	0.005742079308248328	0.556713149464945
6	1	EQ_2	EQ_2	0.7589285714285714	0.8965649873497815
