Character Number	State Number	Curator 1 EQ Number	Curator 2 EQ Number	SimJ Score	NIC Score
188	2	CP_EQ_1	C_EQ_1	0.42857142857142855	0.8128416687278569
188	1	CP_EQ_1	C_EQ_1	0.42857142857142855	0.8128416687278569
188	0	CP_EQ_1	C_EQ_1	1.0	0.8502733349822855
186	2	CP_EQ_1	C_EQ_1	0.06666666666666667	0.4315569915389203
186	2	CP_EQ_2	C_EQ_1	0.0	0.0
186	1	CP_EQ_1	C_EQ_1	0.1111111111111111	0.7600858175843336
186	1	CP_EQ_2	C_EQ_1	0.0	0.0
186	1	CP_EQ_3	C_EQ_1	0.15384615384615385	0.7876716677461597
186	1	CP_EQ_4	C_EQ_1	0.0	0.0
186	3	CP_EQ_1	C_EQ_1	0.1111111111111111	0.7600858175843336
186	3	CP_EQ_1	C_EQ_2	0.07392996108949416	0.4315569915389203
186	3	CP_EQ_1	C_EQ_3	0.4489795918367347	0.6734269092178747
186	3	CP_EQ_1	C_EQ_4	0.4583333333333333	0.6734269092178747
186	3	CP_EQ_2	C_EQ_1	0.0	0.0
186	3	CP_EQ_2	C_EQ_2	0.0	0.0
186	3	CP_EQ_2	C_EQ_3	0.0	0.0
186	3	CP_EQ_2	C_EQ_4	0.0	0.0
186	3	CP_EQ_3	C_EQ_1	0.375	0.7956443777122935
186	3	CP_EQ_3	C_EQ_2	0.4418604651162791	0.820052694990955
186	3	CP_EQ_3	C_EQ_3	0.07432432432432433	0.4315569915389203
186	3	CP_EQ_3	C_EQ_4	0.07534246575342465	0.4315569915389203
186	3	CP_EQ_4	C_EQ_1	0.0	0.0
186	3	CP_EQ_4	C_EQ_2	0.0	0.0
186	3	CP_EQ_4	C_EQ_3	0.0	0.0
186	3	CP_EQ_4	C_EQ_4	0.0	0.0
186	3	CP_EQ_5	C_EQ_1	0.042801556420233464	0.3778597906981243
186	3	CP_EQ_5	C_EQ_2	0.046153846153846156	0.3956397941527499
186	3	CP_EQ_5	C_EQ_3	0.43243243243243246	0.6949413857647095
186	3	CP_EQ_5	C_EQ_4	0.4444444444444444	0.6949413857647095
186	0	CP_EQ_1	C_EQ_1	0.1111111111111111	0.7600858175843336
186	0	CP_EQ_1	C_EQ_2	0.07392996108949416	0.4315569915389203
186	0	CP_EQ_1	C_EQ_3	0.07392996108949416	0.4315569915389203
186	0	CP_EQ_2	C_EQ_1	0.0	0.0
186	0	CP_EQ_2	C_EQ_2	0.0	0.0
186	0	CP_EQ_2	C_EQ_3	0.0	0.0
186	0	CP_EQ_3	C_EQ_1	0.375	0.7956443777122935
186	0	CP_EQ_3	C_EQ_2	0.4418604651162791	0.820052694990955
186	0	CP_EQ_3	C_EQ_3	0.3247863247863248	0.8111799228683719
186	0	CP_EQ_4	C_EQ_1	0.0	0.0
186	0	CP_EQ_4	C_EQ_2	0.0	0.0
186	0	CP_EQ_4	C_EQ_3	0.0	0.0
186	0	CP_EQ_5	C_EQ_1	0.7142857142857143	0.8382230299765377
186	0	CP_EQ_5	C_EQ_2	0.1986062717770035	0.4516224172217541
186	0	CP_EQ_5	C_EQ_3	0.1986062717770035	0.4516224172217541
186	0	CP_EQ_6	C_EQ_1	0.0	0.0
186	0	CP_EQ_6	C_EQ_2	0.0	0.0
186	0	CP_EQ_6	C_EQ_3	0.0	0.0
155	0	CP_EQ_1	C_EQ_1	0.0	0.0
155	1	CP_EQ_1	C_EQ_1	0.0	0.0
155	1	CP_EQ_1	C_EQ_2	0.0	0.0
155	1	CP_EQ_2	C_EQ_1	0.0	0.0
155	1	CP_EQ_2	C_EQ_2	0.0	0.0
43	1	CP_EQ_1	C_EQ_1	0.16744186046511628	0.6559171632557477
43	2	CP_EQ_1	C_EQ_1	0.08759124087591241	0.6559171632557477
43	0	CP_EQ_1	C_EQ_1	0.0	0.0
54	1	CP_EQ_1	C_EQ_1	0.0	0.0
54	0	CP_EQ_1	C_EQ_1	0.0	0.0
156	1	CP_EQ_1	C_EQ_1	1.0	0.8409929950437749
156	0	CP_EQ_1	C_EQ_1	1.0	0.8382230299765377
189	1	CP_EQ_1	C_EQ_1	0.048	0.8261727249707899
