Character Number	State Number	Curator 1 EQ Number	Curator 2 EQ Number	SimJ Score	NIC Score
188	2	CP_EQ_1	C_EQ_1	0.42857142857142855	0.8157520368382162
188	1	CP_EQ_1	C_EQ_1	0.42857142857142855	0.8157520368382162
188	0	CP_EQ_1	C_EQ_1	1.0	0.8533008591671019
186	2	CP_EQ_1	C_EQ_1	0.06666666666666667	0.43372055856158237
186	2	CP_EQ_2	C_EQ_1	0.0	0.0
186	1	CP_EQ_1	C_EQ_1	0.1111111111111111	0.7599760088222406
186	1	CP_EQ_2	C_EQ_1	0.0	0.0
186	1	CP_EQ_3	C_EQ_1	0.15384615384615385	0.7880798466803678
186	1	CP_EQ_4	C_EQ_1	0.0	0.0
186	3	CP_EQ_1	C_EQ_1	0.1111111111111111	0.7599760088222406
186	3	CP_EQ_1	C_EQ_2	0.07392996108949416	0.43372055856158237
186	3	CP_EQ_1	C_EQ_3	0.4489795918367347	0.6757049166019277
186	3	CP_EQ_1	C_EQ_4	0.4583333333333333	0.6757049166019277
186	3	CP_EQ_2	C_EQ_1	0.0	0.0
186	3	CP_EQ_2	C_EQ_2	0.0	0.0
186	3	CP_EQ_2	C_EQ_3	0.0	0.0
186	3	CP_EQ_2	C_EQ_4	0.0	0.0
186	3	CP_EQ_3	C_EQ_1	0.375	0.7962501488161969
186	3	CP_EQ_3	C_EQ_2	0.4418604651162791	0.8194894841597655
186	3	CP_EQ_3	C_EQ_3	0.07432432432432433	0.43372055856158237
186	3	CP_EQ_3	C_EQ_4	0.07534246575342465	0.43372055856158237
186	3	CP_EQ_4	C_EQ_1	0.0	0.0
186	3	CP_EQ_4	C_EQ_2	0.0	0.0
186	3	CP_EQ_4	C_EQ_3	0.0	0.0
186	3	CP_EQ_4	C_EQ_4	0.0	0.0
186	3	CP_EQ_5	C_EQ_1	0.042801556420233464	0.3806675219747499
186	3	CP_EQ_5	C_EQ_2	0.046153846153846156	0.3967514857709073
186	3	CP_EQ_5	C_EQ_3	0.43243243243243246	0.6959284321033
186	3	CP_EQ_5	C_EQ_4	0.4444444444444444	0.6959284321033
186	0	CP_EQ_1	C_EQ_1	0.1111111111111111	0.7599760088222406
186	0	CP_EQ_1	C_EQ_2	0.07392996108949416	0.43372055856158237
186	0	CP_EQ_1	C_EQ_3	0.07392996108949416	0.43372055856158237
186	0	CP_EQ_2	C_EQ_1	0.0	0.0
186	0	CP_EQ_2	C_EQ_2	0.0	0.0
186	0	CP_EQ_2	C_EQ_3	0.0	0.0
186	0	CP_EQ_3	C_EQ_1	0.375	0.7962501488161969
186	0	CP_EQ_3	C_EQ_2	0.4418604651162791	0.8194894841597655
186	0	CP_EQ_3	C_EQ_3	0.3247863247863248	0.812255888355572
186	0	CP_EQ_4	C_EQ_1	0.0	0.0
186	0	CP_EQ_4	C_EQ_2	0.0	0.0
186	0	CP_EQ_4	C_EQ_3	0.0	0.0
186	0	CP_EQ_5	C_EQ_1	0.7142857142857143	0.8350736534800117
186	0	CP_EQ_5	C_EQ_2	0.1986062717770035	0.4554941109848229
186	0	CP_EQ_5	C_EQ_3	0.1986062717770035	0.4554941109848229
186	0	CP_EQ_6	C_EQ_1	0.0	0.0
186	0	CP_EQ_6	C_EQ_2	0.0	0.0
186	0	CP_EQ_6	C_EQ_3	0.0	0.0
155	0	CP_EQ_1	C_EQ_1	0.0	0.0
155	1	CP_EQ_1	C_EQ_1	0.0	0.0
155	1	CP_EQ_1	C_EQ_2	0.0	0.0
155	1	CP_EQ_2	C_EQ_1	0.0	0.0
155	1	CP_EQ_2	C_EQ_2	0.0	0.0
43	1	CP_EQ_1	C_EQ_1	0.16744186046511628	0.6533785160068302
43	2	CP_EQ_1	C_EQ_1	0.08759124087591241	0.6533785160068302
43	0	CP_EQ_1	C_EQ_1	0.0	0.0
54	1	CP_EQ_1	C_EQ_1	0.0	0.0
54	0	CP_EQ_1	C_EQ_1	0.0	0.0
156	0	CP_EQ_1	C_EQ_1	0	0
156	1	CP_EQ_1	C_EQ_1	0	0
189	1	CP_EQ_1	C_EQ_1	0.048	0.8301455758183092
189	1	CP_EQ_2	C_EQ_1	0.0	0.0
189	1	CP_EQ_3	C_EQ_1	0.0010613457864572277	0.5961666400141119
189	1	CP_EQ_4	C_EQ_1	0.0	0.0
189	0	CP_EQ_1	C_EQ_1	0.0	0.0
189	0	CP_EQ_2	C_EQ_1	0.0	0.0
189	0	CP_EQ_3	C_EQ_1	0.0010613457864572277	0.5961666400141119
189	0	CP_EQ_4	C_EQ_1	0.0	0.0
29	1	CP_EQ_1	C_EQ_1	0.0	0.0
29	0	CP_EQ_1	C_EQ_1	0.0	0.0
140	1	CP_EQ_1	C_EQ_1	0	0
140	1	CP_EQ_2	C_EQ_1	0	0
140	0	CP_EQ_1	C_EQ_1	0	0
173	0	CP_EQ_1	C_EQ_1	0.43548387096774194	0.7773077974325633
173	0	CP_EQ_2	C_EQ_1	1.0	0.8653888800047039
173	0	CP_EQ_3	C_EQ_1	0.0	0.0
173	1	CP_EQ_1	C_EQ_1	0.43548387096774194	0.7668423388144979
173	1	CP_EQ_2	C_EQ_1	1.0	0.8653888800047039
173	1	CP_EQ_3	C_EQ_1	0.0	0.0
39	2	CP_EQ_1	C_EQ_1	0.0	0.0
39	2	CP_EQ_1	C_EQ_2	0.0	0.0
39	2	CP_EQ_2	C_EQ_1	0.0	0.0
39	2	CP_EQ_2	C_EQ_2	0.0	0.0
39	2	CP_EQ_3	C_EQ_1	0.0	0.0
39	2	CP_EQ_3	C_EQ_2	0.0	0.0
39	3	CP_EQ_1	C_EQ_1	0.0	0.0
39	3	CP_EQ_1	C_EQ_2	0.0	0.0
39	3	CP_EQ_1	C_EQ_3	0.0	0.0
39	3	CP_EQ_2	C_EQ_1	0.0	0.0
39	3	CP_EQ_2	C_EQ_2	0.0	0.0
39	3	CP_EQ_2	C_EQ_3	0.0	0.0
39	3	CP_EQ_3	C_EQ_1	0	0
39	3	CP_EQ_3	C_EQ_2	0	0
39	3	CP_EQ_3	C_EQ_3	0	0
39	3	CP_EQ_4	C_EQ_1	0	0
39	3	CP_EQ_4	C_EQ_2	0	0
39	3	CP_EQ_4	C_EQ_3	0	0
39	3	CP_EQ_5	C_EQ_1	0.0	0.0
39	3	CP_EQ_5	C_EQ_2	0.0	0.0
39	3	CP_EQ_5	C_EQ_3	0.0	0.0
39	3	CP_EQ_6	C_EQ_1	0.0	0.0
39	3	CP_EQ_6	C_EQ_2	0.0	0.0
39	3	CP_EQ_6	C_EQ_3	0.0	0.0
39	1	CP_EQ_1	C_EQ_1	0.0	0.0
39	1	CP_EQ_1	C_EQ_2	0.0	0.0
39	1	CP_EQ_2	C_EQ_1	0	0
39	1	CP_EQ_2	C_EQ_2	0	0
39	1	CP_EQ_3	C_EQ_1	0	0
39	1	CP_EQ_3	C_EQ_2	0	0
39	0	CP_EQ_1	C_EQ_1	0.0	0.0
134	0	CP_EQ_1	C_EQ_1	0.0	0.0
134	2	CP_EQ_1	C_EQ_1	0.0	0.0
134	1	CP_EQ_1	C_EQ_1	0.0	0.0
144	1	CP_EQ_1	C_EQ_1	0.0	0.0
144	1	CP_EQ_2	C_EQ_1	0.0	0.0
144	0	CP_EQ_1	C_EQ_1	0.0	0.0
144	0	CP_EQ_2	C_EQ_1	0.0	0.0
114	0	CP_EQ_1	C_EQ_1	0.0	0.0
114	1	CP_EQ_1	C_EQ_1	0.0	0.0
171	0	CP_EQ_1	C_EQ_1	0.12389380530973451	0.6614294676320345
171	0	CP_EQ_2	C_EQ_1	0.0	0.0
171	0	CP_EQ_3	C_EQ_1	0.12389380530973451	0.6614294676320345
171	0	CP_EQ_4	C_EQ_1	0.0	0.0
171	0	CP_EQ_5	C_EQ_1	0.0	0.0
171	1	CP_EQ_1	C_EQ_1	0.0	0.0
171	1	CP_EQ_2	C_EQ_1	0.0	0.0
171	1	CP_EQ_3	C_EQ_1	0.0	0.0
171	1	CP_EQ_4	C_EQ_1	0.0	0.0
171	1	CP_EQ_5	C_EQ_1	0.0	0.0
77	1	CP_EQ_1	C_EQ_1	0.0	0.0
77	1	CP_EQ_1	C_EQ_2	0.0	0.0
77	1	CP_EQ_2	C_EQ_1	0.0	0.0
77	1	CP_EQ_2	C_EQ_2	0.0	0.0
77	0	CP_EQ_1	C_EQ_1	0.0	0.0
77	0	CP_EQ_2	C_EQ_1	0.002772002772002772	0.6310246767445341
77	0	CP_EQ_3	C_EQ_1	0.0	0.0
41	1	CP_EQ_1	C_EQ_1	0.2542372881355932	0.857038306488651
41	1	CP_EQ_1	C_EQ_2	0.08450704225352113	0.6400959460313904
41	0	CP_EQ_1	C_EQ_1	0.0	0.0
41	0	CP_EQ_1	C_EQ_2	0.0	0.0
24	1	CP_EQ_1	C_EQ_1	0.0	0.0
24	1	CP_EQ_2	C_EQ_1	0.0	0.0
24	0	CP_EQ_1	C_EQ_1	0.0	0.0
24	0	CP_EQ_2	C_EQ_1	0.0	0.0
191	1	CP_EQ_1	C_EQ_1	0.0	0.0
191	1	CP_EQ_2	C_EQ_1	0.0	0.0
191	0	CP_EQ_1	C_EQ_1	0.0	0.0
191	0	CP_EQ_2	C_EQ_1	0.0	0.0
34	2	CP_EQ_1	C_EQ_1	0.0	0.0
34	1	CP_EQ_1	C_EQ_1	0.0	0.0
34	1	CP_EQ_1	C_EQ_2	0.0	0.0
34	0	CP_EQ_1	C_EQ_1	0.0	0.0
34	3	CP_EQ_1	C_EQ_1	0.0	0.0
34	3	CP_EQ_1	C_EQ_2	0.0	0.0
1	2	CP_EQ_1	C_EQ_1	0.3087071240105541	0.6500572873670929
1	2	CP_EQ_1	C_EQ_2	0.003907302613850714	0.5342015472360017
1	2	CP_EQ_2	C_EQ_1	0.0	0.0
1	2	CP_EQ_2	C_EQ_2	0.0	0.0
1	2	CP_EQ_3	C_EQ_1	0.0	0.0
1	2	CP_EQ_3	C_EQ_2	0.0	0.0
1	2	CP_EQ_4	C_EQ_1	0.0	0.0
1	2	CP_EQ_4	C_EQ_2	0.0	0.0
1	2	CP_EQ_5	C_EQ_1	0.0	0.0
1	2	CP_EQ_5	C_EQ_2	0.0	0.0
1	0	CP_EQ_1	C_EQ_1	0.11255411255411256	0.5926176154904077
1	0	CP_EQ_1	C_EQ_2	0.003907302613850714	0.5342015472360017
1	0	CP_EQ_2	C_EQ_1	0.0	0.0
1	0	CP_EQ_2	C_EQ_2	0.0	0.0
1	0	CP_EQ_3	C_EQ_1	0.0	0.0
1	0	CP_EQ_3	C_EQ_2	0.0	0.0
1	0	CP_EQ_4	C_EQ_1	0.0	0.0
1	0	CP_EQ_4	C_EQ_2	0.0	0.0
1	0	CP_EQ_5	C_EQ_1	0.0	0.0
1	0	CP_EQ_5	C_EQ_2	0.0	0.0
1	0	CP_EQ_6	C_EQ_1	0.0	0.0
1	0	CP_EQ_6	C_EQ_2	0.0	0.0
1	1	CP_EQ_1	C_EQ_1	0.4588235294117647	0.68114091684292
1	1	CP_EQ_1	C_EQ_2	0.003907302613850714	0.5342015472360017
1	1	CP_EQ_2	C_EQ_1	0.0	0.0
1	1	CP_EQ_2	C_EQ_2	0.0	0.0
1	1	CP_EQ_3	C_EQ_1	0.0	0.0
1	1	CP_EQ_3	C_EQ_2	0.0	0.0
1	1	CP_EQ_4	C_EQ_1	0.0	0.0
1	1	CP_EQ_4	C_EQ_2	0.0	0.0
1	1	CP_EQ_5	C_EQ_1	0.0	0.0
1	1	CP_EQ_5	C_EQ_2	0.0	0.0
52	1	CP_EQ_1	C_EQ_1	0.0	0.0
52	0	CP_EQ_1	C_EQ_1	0.0	0.0
138	1	CP_EQ_1	C_EQ_1	0.5	0.7870071086604443
138	1	CP_EQ_2	C_EQ_1	1.0	0.8377166898468555
