Character Number	State Number	SimJ Score	NIC Score
188	2	0.42857142857142855	0.8128416687278569
188	1	0.42857142857142855	0.8128416687278569
188	0	1.0	0.8502733349822855
186	2	0.06666666666666667	0.4315569915389203
186	1	0.15384615384615385	0.7876716677461597
186	3	0.4583333333333333	0.820052694990955
186	0	0.7142857142857143	0.8382230299765377
155	0	0.0	0.0
155	1	0.0	0.0
43	1	0.16744186046511628	0.6559171632557477
43	2	0.08759124087591241	0.6559171632557477
43	0	0.0	0.0
54	1	0.0	0.0
54	0	0.0	0.0
156	1	1.0	0.8409929950437749
156	0	1.0	0.8382230299765377
189	1	0.048	0.8261727249707899
189	0	0.0010613457864572277	0.5933643891685277
29	1	0.0	0.0
29	0	0.0	0.0
140	1	0	0
140	0	0	0
173	0	0.43548387096774194	0.7771245108962481
173	1	0.43548387096774194	0.7647269218687032
39	2	0.0	0.0
39	3	0.0	0.0
39	1	0.0	0.0
39	0	0.0	0.0
134	0	0.0	0.0
134	2	1.0	0.8877050012367141
134	1	0.0	0.0
144	1	0.0	0.0
144	0	0.0	0.0
114	0	0.0	0.0
114	1	0.0	0.0
171	0	0.12389380530973451	0.6599404844422733
171	1	0.0	0.0
77	1	0.0	0.0
77	0	0.002772002772002772	0.6360591134372162
41	1	0.2542372881355932	0.8537585751326161
41	0	0.0	0.0
24	1	0.0	0.0
24	0	0.0	0.0
191	1	0.0	0.0
191	0	0.0	0.0
34	2	0.0	0.0
34	1	0.0	0.0
34	0	0.0	0.0
34	3	0.0	0.0
1	2	0.3087071240105541	0.6474740878293596
1	0	0.11255411255411256	0.5901297410190368
1	1	0.4588235294117647	0.678510100206358
52	1	0.0	0.0
52	0	0.0	0.0
138	1	1.0	0.8283772138839351
138	0	1.0	0.8283772138839351
116	0	0.0004717908393945351	0.4186481974941494
116	1	0.0004717908393945351	0.4186481974941494
197	1	0.7719298245614035	0.8813444252944422
197	0	0.0	0.0
50	0	0.0	0.0
50	1	0.0	0.0
203	1	0.0	0.0
203	0	0.0	0.0
202	1	0	0
202	0	0	0
124	1	0.6818181818181818	0.8614863754759108
124	0	0.35587188612099646	0.8261727249707899
151	1	0.0	0.0
151	0	0.0	0.0
111	0	0.0016018885422814265	0.48621275318185264
111	1	0.08640291041382446	0.8080023899852072
110	2	0.0	0.0
110	1	0.0	0.0
110	0	0.0	0.0
92	0	0.0	0.0
92	1	0.8936170212765957	0.8705077102211509
57	1	0.0	0.0
57	0	0.3741496598639456	0.8409929950437749
120	0	0.9139784946236559	0.793243872325215
120	1	0.0	0.0
121	0	0.04456824512534819	0.8283772138839351
121	1	0.0	0.0
117	1	0.0	0.0
117	0	0.0	0.0
63	1	1.0	0.752954265182934
63	0	1.0	0.8658088801383638
48	1	0.5104166666666666	0.8163269088781874
48	0	0.0	0.0
48	2	1.0	0.8658088801383638
90	1	0.0009303407372950343	0.43427811002810834
90	0	0.0009303407372950343	0.43427811002810834
168	1	0	0
168	0	0.054016620498614956	0.5996923647601099
19	1	0.0	0.0
19	2	0.9659090909090909	0.7994579014223907
19	0	0.0	0.0
2	1	0.0	0.0
2	0	0.0	0.0
142	2	1.0	0.7456736928969883
142	1	1.0	0.8537585751326161
142	0	1.0	0.7396928446418194
103	1	0.0	0.0
67	0	0.0018314657634061324	0.5957043196986914
67	1	0.0018314657634061324	0.5957043196986914
17	1	0.0023094688221709007	0.6466902935292703
17	0	0.0023094688221709007	0.6466902935292703
176	1	0.0	0.0
176	0	0.0	0.0
37	1	0.5	0.7626888505888844
37	0	0.17647058823529413	0.6009118805654219
36	0	0.14583333333333334	0.6615556322496153
36	1	0.30434782608695654	0.8756546962309664
79	1	0.0	0.0
79	0	0.0	0.0
40	1	0.4387755102040816	0.8537585751326161
40	2	0.002171388173509064	0.5475709480836098
40	0	0.002171388173509064	0.5475709480836098
143	1	0.0	0.0
143	0	0.0	0.0
10	0	0.0	0.0
10	1	0.05167173252279635	0.7245945689135336
10	2	0.0	0.0
47	0	0.002336448598130841	0.5755096890448231
47	1	0.08333333333333333	0.5755096890448231
27	0	0.04525862068965517	0.5413955252593678
27	1	0.04525862068965517	0.5413955252593678
125	2	0.0	0.0
125	1	0.9714285714285714	0.7112429363779995
125	0	0.0	0.0
45	1	0.14285714285714285	0.8469994550989386
45	0	0.0	0.0
99	1	1.0	0.8355882401470334
99	0	1.0	0.8355882401470334
128	0	0	0
128	1	0	0
42	1	0.0	0.0
42	2	0.0	0.0
42	0	0.0	0.0
175	1	0.125	0.7835940727065458
175	0	0.125	0.7876716677461597
101	1	0.0	0.0
101	0	0.0	0.0
46	1	0.04918032786885246	0.3778597906981243
46	0	0.04918032786885246	0.3778597906981243
184	1	0.4406779661016949	0.8181576767200276
184	0	0.4406779661016949	0.8355882401470334
184	2	0.4406779661016949	0.8382230299765377
184	3	0.0	0.0
146	1	0.0059621827267049	0.7128083352373025
146	0	0.0047983548497657945	0.49803934218825036
148	2	0.0	0.0
148	0	0.0	0.0
148	1	0.0	0.0
162	1	1.0	0.8439127590400135
162	0	1.0	0.8439127590400135
104	1	0.5714285714285714	0.8502733349822855
104	0	1.0	0.8502733349822855
152	0	0	0
152	1	0	0
196	0	0.4184039985556548	0.8382230299765377
196	2	0.6	0.8163269088781874
196	1	0.0	0.0
59	1	0.0	0.0
59	0	0	0
89	1	0	0
89	0	0	0
106	1	0.125	0.6620704357600411
106	0	0.0	0.0
80	1	1.0	0.8502733349822855
80	0	1.0	0.8502733349822855
102	2	1.0	0.8502733349822855
102	1	0.017857142857142856	0.6640727082455243
102	0	0.21052631578947367	0.6180258986588908
96	1	1.0	0.8502733349822855
96	0	1.0	0.8502733349822855
49	1	0.0	0.0
49	0	0.0	0.0
8	1	0.0	0.0
8	0	0.0	0.0
14	0	2.559967232419425e-05	0.409676806572248
14	1	0.45161290322580644	0.8469994550989386
133	1	0.0	0.0
133	0	0.0	0.0
118	1	1.0	0.8128416687278569
118	0	1.0	0.8128416687278569
87	0	0.0	0.0
87	1	0.0	0.0
177	0	1.0	0.8574843612453836
177	1	1.0	0.8574843612453836
136	1	1.0	0.8614863754759108
136	0	1.0	0.8614863754759108
71	2	0.0030959752321981426	0.6048523885486651
71	1	0.0030959752321981426	0.6048523885486651
71	0	1.0	0.8355882401470334
66	1	0.0	0.0
66	0	0.0	0.0
91	1	0.21768707482993196	0.8502733349822855
91	0	3.652567755131858e-05	0.409676806572248
130	0	0.0	0.0
130	1	0	0
167	1	0	0
167	0	0	0
4	1	0	0
4	0	0	0
64	1	0.002290845780262073	0.6855410846973926
64	0	0.0255885363357216	0.6646121980397918
88	1	1.0	0.8502733349822855
88	0	1.0	0.8502733349822855
198	1	0.13043478260869565	0.7835940727065458
198	0	0.09224011713030747	0.7816652076909959
119	1	0.0	0.0
119	0	0.0	0.0
129	1	0.4966078697421981	0.8537585751326161
129	0	0.3993453355155483	0.7301381477409099
61	0	0.9468085106382979	0.7626888505888844
61	1	0.9468085106382979	0.7994579014223907
181	2	0.20071982281284606	0.8705077102211509
181	1	0.008412136682717411	0.609103224349534
181	0	0.2682793119989036	0.8382230299765377
12	1	0.10256410256410256	0.605176080702285
12	0	0.0	0.0
85	1	0.008130081300813009	0.737558081341043
85	2	1.0	0.8574843612453836
85	0	0.008130081300813009	0.737558081341043
149	1	1.0	0.8502733349822855
149	0	1.0	0.8502733349822855
11	1	0.0	0.0
11	0	0.0	0.0
163	0	1.0	0.8283772138839351
163	1	1.0	0.8220166379416632
35	0	0	0
35	1	0	0
30	1	0.0016895969104513638	0.44457336170640527
30	0	0.0	0.0
131	1	0	0
131	0	0	0
33	4	1.0	0.8537585751326161
33	1	0.8088235294117647	0.7956443777122935
33	2	0.0	0.0
33	3	1.0	0.8574843612453836
33	0	0.0	0.0
127	2	0.0913907284768212	0.552793714854108
127	0	0.0913907284768212	0.552793714854108
127	1	0.6764705882352942	0.8574843612453836
182	0	1.0	0.8877050012367141
182	1	0.0	0.0
182	2	0.0	0.0
113	1	0	0
113	0	0	0
158	1	0.1	0.605176080702285
158	0	0.0	0.0
183	1	0.36	0.6108778357048547
183	0	0.36	0.7737482566139433
179	1	0.0	0.0
179	0	0.0	0.0
5	1	0.34782608695652173	0.7909455476295065
5	2	0.0	0.0
5	0	0	0
65	2	0.002364066193853428	0.5622932988563709
65	0	0.001594896331738437	0.5622932988563709
65	1	0.0029850746268656717	0.5622932988563709
98	2	0.0970464135021097	0.6285533174323902
98	0	0.0	0.0
98	1	0	0
22	0	0.0	0.0
22	1	0.0	0.0
7	1	0.0	0.0
7	0	0.0	0.0
112	0	0.0	0.0
112	1	0.0	0.0
58	1	0.0	0.0
58	0	0.0	0.0
141	1	0.003510825043885313	0.6852224850754762
141	0	0.0043541364296081275	0.6850638873718276
95	1	0.262987012987013	0.8382230299765377
95	0	0.0	0.0
161	1	0.0	0.0
161	0	0.0	0.0
190	0	1.0	0.913086362485395
190	1	0.8	0.8949160274998122
190	2	0.0	0.0
73	1	0.04905660377358491	0.597771505025169
73	0	0.06435643564356436	0.597771505025169
94	0	0.0	0.0
94	2	0.0	0.0
94	1	0.0	0.0
76	0	0.0	0.0
76	1	0.0	0.0
107	1	0.3783783783783784	0.8877050012367141
107	0	0.3783783783783784	0.8614863754759108
75	1	1.0	0.8614863754759108
75	0	1.0	0.8658088801383638
6	2	0.5111561866125761	0.8261727249707899
6	0	1.0	0.8283772138839351
6	3	0	0
6	4	0	0
6	1	0.7142857142857143	0.8574843612453836
78	1	1.0	0.8502733349822855
78	0	1.0	0.8502733349822855
31	1	0.0	0.0
31	0	0.0	0.0
147	1	0.9310344827586207	0.8658088801383638
147	0	0.9310344827586207	0.8658088801383638
105	1	0.0	0.0
105	0	0.0	0.0
69	1	0.0	0.0
69	0	0.0	0.0
178	0	0.0	0.0
178	1	0.0	0.0
115	3	0.0	0.0
115	2	0.0	0.0
115	1	0.0	0.0
115	0	0.0	0.0
170	2	1.0	0.8756546962309664
170	0	0.0	0.0
170	1	1.0	0.8756546962309664
51	0	0.5	0.6635385547384508
51	2	1.0	0.8614863754759108
51	1	0.15384615384615385	0.6618639250713712
160	1	0.0	0.0
160	0	0.0	0.0
93	1	0.47692307692307695	0.8574843612453836
93	0	0.47692307692307695	0.8574843612453836
109	1	1.0	0.8502733349822855
109	0	1.0	0.8502733349822855
3	1	0	0
38	0	0.3870967741935484	0.8574843612453836
38	1	0.3090128755364807	0.8128416687278569
38	2	0.3090128755364807	0.8128416687278569
20	0	0.0	0.0
20	1	0.0	0.0
44	1	0.0	0.0
44	0	0.0	0.0
153	1	0.19298245614035087	0.6047807196870809
153	0	0.19298245614035087	0.6264802404451545
32	0	0.0	0.0
32	1	0.0	0.0
180	1	1.0	0.8658088801383638
180	2	1.0	0.8658088801383638
180	0	1.0	0.8658088801383638
122	1	0.004022121669180492	0.4974668898208889
122	0	0.0	0.0
159	0	0.002392007879555368	0.6151302267796153
159	1	0.0028633990230756273	0.6151302267796153
169	0	0.0	0.0
169	1	0.0	0.0
9	1	0.03007518796992481	0.4974668898208889
9	0	0.0	0.0
18	1	0.002213448193347691	0.6076487819280277
18	0	0.002213448193347691	0.6076487819280277
97	1	0.0026055237102657635	0.3778597906981243
97	0	0.0	0.0
172	1	0.0	0.0
172	0	0.0	0.0
185	1	0.001955967976710335	0.6063429588744699
185	0	0.0	0.0
82	1	1.0	0.7920824839234326
82	2	1.0	0.8502733349822855
82	0	1.0	0.7920824839234326
55	0	0.0	0.0
55	1	0.0035335689045936395	0.6172985815466968
55	2	1.0	0.8409929950437749
174	1	1.0	0.8502733349822855
174	0	1.0	0.8502733349822855
28	1	0.007233273056057866	0.5247638905313181
28	0	0.0	0.0
60	1	0.10526315789473684	0.7866230429670534
60	0	1.0	0.8658088801383638
23	1	0.0	0.0
23	0	0.0	0.0
166	2	0.0	0.0
166	0	0.6413793103448275	0.7576025074594198
166	1	0.0	0.0
145	0	0.0	0.0
145	3	0.0	0.0
145	1	0.0	0.0
145	2	0.0	0.0
100	1	0.0	0.0
100	0	0.9714285714285714	0.7788952426237588
200	0	0.0	0.0
200	1	0.0	0.0
164	1	0.00950889361226088	0.5416396799177852
164	0	0.007592675301473872	0.46732695582859407
70	3	0.005901287553648069	0.5744374396446819
70	0	0.2909090909090909	0.6881598998250271
70	2	0.0019178625752265062	0.4846029635752469
70	1	0.001471259702704074	0.4846029635752469
83	1	0.4657534246575342	0.7255915660794557
83	0	0.0	0.0
74	0	1.0	0.8537585751326161
74	1	1.0	0.8537585751326161
86	1	0.2300395256916996	0.7044838163443222
86	0	0.0	0.0
56	0	0.0	0.0
56	1	0.0	0.0
139	1	0.2978723404255319	0.636702007688114
139	0	0.0	0.0
132	1	0.7317073170731707	0.8355882401470334
132	0	0.2797427652733119	0.8021585881231318
62	1	0.0	0.0
62	0	0.0	0.0
108	1	0.0	0.0
108	0	0.0	0.0
157	1	1.0	0.8128416687278569
157	0	1.0	0.8128416687278569
195	1	1.0	0.8537585751326161
195	0	1.0	0.8614863754759108
15	1	0	0
81	1	0.22058823529411764	0.7675698139953385
81	0	0.0	0.0
84	0	1.0	0.8502733349822855
84	1	1.0	0.8502733349822855
193	1	0.0011478764286070768	0.48621275318185264
193	0	0.0013759272553242401	0.48621275318185264
194	0	0.5573770491803278	0.8614863754759108
194	1	0.0	0.0
154	1	0.0	0.0
154	0	0.0	0.0
165	1	0.06578947368421052	0.8574843612453836
165	0	0.06578947368421052	0.8469994550989386
199	0	0.0	0.0
199	1	0.3625	0.8502733349822855
192	1	0.0	0.0
192	0	0.0	0.0
126	1	0	0
126	0	0	0
68	1	0.6931818181818182	0.8409929950437749
