Character Number	State Number	SimJ Score	NIC Score
188	2	0.42857142857142855	0.8033149520414808
188	1	0.42857142857142855	0.8033149520414808
188	0	1.0	0.8402724314458849
186	2	0.06666666666666667	0.42425716372686534
186	1	0.15384615384615385	0.7774284655842547
186	3	0.4583333333333333	0.8204612674255862
186	0	0.7142857142857143	0.8305513428096328
155	0	0.0	0.0
155	1	0.0	0.0
43	1	0.16744186046511628	0.6382637927489773
43	2	0.08759124087591241	0.6382637927489773
43	0	0.0	0.0
54	1	0.0	0.0
54	0	0.0	0.0
156	1	1.0	0.818653691873134
156	0	1.0	0.818653691873134
189	1	0.048	0.8135719082261128
189	0	0.0010613457864572277	0.5799495810423517
29	1	0.0	0.0
29	0	0.0	0.0
140	1	0	0
140	0	0	0
173	0	1.0	0.8632410753295616
173	1	1.0	0.8632410753295616
39	2	0.0	0.0
39	3	0.0	0.0
39	1	0.0	0.0
39	0	0.0	0.0
134	0	0.0	0.0
134	2	0.0	0.0
134	1	0.0	0.0
144	1	0.0	0.0
144	0	0.0	0.0
114	0	0.0	0.0
114	1	0.0	0.0
171	0	0.12389380530973451	0.6561557146161536
171	1	0.0	0.0
77	1	0.0	0.0
77	0	0.002772002772002772	0.6280324765611174
41	1	0.2542372881355932	0.8430073064105073
41	0	0.0	0.0
24	1	0.0	0.0
24	0	0.0	0.0
191	1	0.0	0.0
191	0	0.0	0.0
34	2	0.0	0.0
34	1	0.0	0.0
34	0	0.0	0.0
34	3	0.0	0.0
1	2	0.3087071240105541	0.6406695409138166
1	0	0.11255411255411256	0.5898447078645707
1	1	0.4588235294117647	0.6733253080500767
52	1	0.0	0.0
52	0	0.0	0.0
138	1	0.5	0.7705142551271604
138	0	0.5	0.7412976441691714
116	0	0.0004717908393945351	0.41307582482181826
116	1	0.0004717908393945351	0.41307582482181826
197	1	0.0	0.0
197	0	0.0	0.0
50	0	0.0	0.0
50	1	0.0	0.0
203	1	0.0	0.0
203	0	0.0	0.0
202	1	0	0
202	0	0	0
124	1	0.6818181818181818	0.8489376762282236
124	0	0.35587188612099646	0.8152126029779796
151	1	0.0	0.0
151	0	0.0	0.0
111	0	0.0016018885422814265	0.4803427598453735
111	1	0.00791007493755204	0.560243721111731
110	2	0.0	0.0
110	1	0.0	0.0
110	0	0.0	0.0
92	0	1.0	0.8458900826412861
92	1	0.8936170212765957	0.8721481272032677
57	1	0.0	0.0
57	0	0.3741496598639456	0.8283747805093862
120	0	0.9139784946236559	0.787313863664131
120	1	0.0	0.0
121	0	0.04456824512534819	0.8152126029779796
121	1	0.0	0.0
117	1	0.0	0.0
117	0	0.0	0.0
63	1	0.0	0.0
63	0	0.0	0.0
48	1	0.5104166666666666	0.8060498270061032
48	0	0.0	0.0
48	2	1.0	0.8521700823823836
90	1	0.0009303407372950343	0.426825243913598
90	0	0.0009303407372950343	0.426825243913598
168	1	0	0
168	0	0.054016620498614956	0.5902598289578176
19	1	0.0	0.0
19	2	0.0	0.0
19	0	0.0	0.0
2	1	0.0	0.0
2	0	0.0	0.0
142	2	1.0	0.7470079424291702
142	1	1.0	0.8430073064105073
142	0	1.0	0.7412976441691714
103	1	0.0	0.0
67	0	0.0018314657634061324	0.5856368692698368
67	1	0.0018314657634061324	0.5856368692698368
17	1	0.0023094688221709007	0.6394839460465148
17	0	0.0023094688221709007	0.6394839460465148
176	1	0.0	0.0
176	0	0.0	0.0
37	1	0.5	0.7625014526808495
37	0	0.17647058823529413	0.5915500526196099
36	0	0.14583333333333334	0.6525671918503154
36	1	0.30434782608695654	0.877229910850289
79	1	0.0	0.0
79	0	0.0	0.0
40	1	0.4387755102040816	0.8430073064105073
40	2	0.002171388173509064	0.5439194010501177
40	0	0.002171388173509064	0.5439194010501177
143	1	0.0	0.0
143	0	0.0	0.0
10	0	0.0	0.0
10	1	0.0	0.0
10	2	0.0	0.0
47	0	0.002336448598130841	0.572109968274517
47	1	0.08333333333333333	0.572109968274517
27	0	0.11753371868978806	0.6104276389383865
27	1	0.11753371868978806	0.6104276389383865
125	2	0.0	0.0
125	1	0.9714285714285714	0.7136463223399465
125	0	0.0	0.0
45	1	0.14285714285714285	0.832820552174477
45	0	0.0	0.0
99	1	0.9833333333333333	0.8283747805093862
99	0	0.9833333333333333	0.8283747805093862
128	0	0	0
128	1	0	0
42	1	0.0	0.0
42	2	0.0	0.0
42	0	0.0	0.0
175	1	0.125	0.782592340659749
175	0	0.125	0.787313863664131
101	1	0.0	0.0
101	0	0.0	0.0
46	1	0.04918032786885246	0.3713515293132601
46	0	0.04918032786885246	0.3713515293132601
184	1	0.4406779661016949	0.8019983821313034
184	0	0.4406779661016949	0.8204612674255862
184	2	0.4406779661016949	0.8305513428096328
184	3	0.34210526315789475	0.7663574726370768
146	1	0.0059621827267049	0.6944804066816633
146	0	0.0047983548497657945	0.49318780030958215
148	2	0.0	0.0
148	0	0.0	0.0
148	1	0.0	0.0
162	1	1.0	0.8351906477988637
162	0	1.0	0.8351906477988637
104	1	0.5714285714285714	0.8402724314458849
104	0	1.0	0.8376710193100487
152	0	0	0
152	1	0	0
196	0	0.4184039985556548	0.8283747805093862
196	2	0.6	0.8135719082261128
196	1	0.0	0.0
59	1	0.0	0.0
59	0	0	0
89	1	0	0
89	0	0	0
106	1	0.0	0.0
106	0	0.0	0.0
80	1	1.0	0.8402724314458849
80	0	1.0	0.8402724314458849
102	2	1.0	0.8402724314458849
102	1	0.017857142857142856	0.6576963205105945
102	0	0.21052631578947367	0.6136734658348904
96	1	1.0	0.8402724314458849
96	0	1.0	0.8402724314458849
49	1	0.0	0.0
49	0	0.0	0.0
8	1	0.0	0.0
8	0	0.0	0.0
14	0	2.559967232419425e-05	0.40247704167760645
14	1	0.45161290322580644	0.8376710193100487
133	1	0.0	0.0
133	0	0.0	0.0
118	1	1.0	0.8033149520414808
118	0	1.0	0.8033149520414808
87	0	0.0	0.0
87	1	0.0	0.0
177	0	1.0	0.8458900826412861
177	1	1.0	0.8458900826412861
136	1	0.20253164556962025	0.8169053918935024
136	0	0.20253164556962025	0.8104346285418967
71	2	0.0030959752321981426	0.6019128997761762
71	1	0.0030959752321981426	0.6019128997761762
71	0	1.0	0.8305513428096328
66	1	0.0	0.0
66	0	0.0	0.0
91	1	0.21768707482993196	0.8402724314458849
91	0	3.652567755131858e-05	0.40247704167760645
130	0	0.011421319796954314	0.7141446285114574
130	1	0	0
167	1	0.0	0.0
167	0	0.0	0.0
4	1	0	0
4	0	0	0
64	1	0.0	0.0
64	0	0.0	0.0
88	1	1.0	0.8402724314458849
88	0	1.0	0.8402724314458849
198	1	0.13043478260869565	0.7774284655842547
198	0	0.09224011713030747	0.7742443331973222
119	1	0.0	0.0
119	0	0.0	0.0
129	1	0.4966078697421981	0.8402724314458849
129	0	0.3993453355155483	0.7161857723859965
61	0	0.9468085106382979	0.7600774728959792
61	1	0.9468085106382979	0.7893261165207536
181	2	0.20071982281284606	0.8556111712775382
181	1	0.2002071108042803	0.8592897588827996
181	0	0.26912	0.8675088222140369
12	1	0.10256410256410256	0.6003499043418642
12	0	0.0	0.0
85	1	0.007799253984401492	0.6166450531762264
85	2	0.9583333333333334	0.8351906477988637
85	0	0.007799253984401492	0.6166450531762264
149	1	1.0	0.8402724314458849
149	0	1.0	0.8402724314458849
11	1	0.0	0.0
11	0	0.0	0.0
163	0	0.0	0.0
163	1	0.0	0.0
35	0	0	0
35	1	0	0
30	1	0.0016895969104513638	0.4387809532840551
30	0	0.0	0.0
131	1	0	0
131	0	0	0
33	4	1.0	0.8430073064105073
33	1	0.8088235294117647	0.7844310874333523
33	2	0.0	0.0
33	3	1.0	0.8592897588827996
33	0	0.0	0.0
127	2	0.0	0.0
127	0	0.0	0.0
127	1	0.9583333333333334	0.8556111712775382
182	0	0.0	0.0
182	1	0.0	0.0
182	2	0.0	0.0
113	1	0	0
113	0	0	0
158	1	0.1	0.6003499043418642
158	0	0.0	0.0
183	1	0.36	0.6112207598437245
183	0	0.36	0.7677073769480027
179	1	0.0	0.0
179	0	0.0	0.0
5	1	0.0	0.0
5	2	0.0	0.0
5	0	0	0
65	2	0.002364066193853428	0.553671336301208
65	0	0.001594896331738437	0.553671336301208
65	1	0.0029850746268656717	0.553671336301208
98	2	0.0970464135021097	0.6166450531762264
98	0	0.0	0.0
98	1	0	0
22	0	0.0	0.0
22	1	0.0	0.0
7	1	0.0	0.0
7	0	0.0	0.0
112	0	0.0	0.0
112	1	0.0	0.0
58	1	0.0	0.0
58	0	0.0	0.0
141	1	0.007518796992481203	0.6912887482346912
141	0	0.005780346820809248	0.6912887482346912
95	1	0.0	0.0
95	0	0.0	0.0
161	1	0.0	0.0
161	0	0.0	0.0
190	0	0.0	0.0
190	1	0.0	0.0
190	2	0.0	0.0
73	1	0.04905660377358491	0.5821143589747174
73	0	0.06435643564356436	0.5821143589747174
94	0	0.0	0.0
94	2	0.0	0.0
94	1	0.0	0.0
76	0	0.0	0.0
76	1	0.0	0.0
107	1	0.0	0.0
107	0	0.0	0.0
75	1	0.42105263157894735	0.832820552174477
75	0	0.24615384615384617	0.8169053918935024
6	2	0.5111561866125761	0.8223322794783954
6	0	1.0	0.8262835959251577
6	3	0	0
6	4	0	0
6	1	0.7142857142857143	0.8521700823823836
78	1	1.0	0.8430073064105073
78	0	1.0	0.8430073064105073
31	1	0.0	0.0
147	1	0	0
147	0	0	0
105	1	0.0	0.0
105	0	0.0	0.0
69	1	0.0	0.0
69	0	0.0	0.0
178	0	0.0	0.0
178	1	0.0	0.0
115	3	0.0	0.0
115	2	0.0	0.0
115	1	0.0	0.0
115	0	0.0	0.0
170	2	1.0	0.8721481272032677
170	0	0.0	0.0
170	1	1.0	0.8721481272032677
51	0	0.0	0.0
51	2	0.0	0.0
51	1	0.0	0.0
160	1	0.0	0.0
160	0	0.44813278008298757	0.8305513428096328
93	0	0	0
93	1	0	0
109	1	0	0
109	0	0	0
3	1	0	0
38	0	0.0	0.0
38	1	0.0	0.0
38	2	0.0	0.0
20	0	0.0	0.0
20	1	0.0	0.0
44	1	0.0	0.0
44	0	0.0	0.0
153	1	0.19298245614035087	0.6000545109422067
153	0	0.19298245614035087	0.6136354491685666
32	0	0.0	0.0
32	1	0.0	0.0
180	1	0.0	0.0
180	2	0.0	0.0
180	0	0.0	0.0
122	1	0.004022121669180492	0.4882512816821616
122	0	0.0	0.0
159	0	0.002392007879555368	0.6056721621376079
159	1	0.0028633990230756273	0.6056721621376079
169	0	0.0	0.0
169	1	0.0	0.0
9	1	0.03007518796992481	0.4882512816821616
9	0	0.0	0.0
18	1	0.002213448193347691	0.5973549968978109
18	0	0.002213448193347691	0.5973549968978109
97	1	0.0026055237102657635	0.3713515293132601
97	0	0.0	0.0
172	1	0.0	0.0
172	0	0.0	0.0
185	1	0.001955967976710335	0.5948657159752491
185	0	0.0	0.0
82	1	1.0	0.7844310874333523
82	2	1.0	0.8402724314458849
82	0	1.0	0.7844310874333523
55	0	0.0	0.0
55	1	0.0035335689045936395	0.6076391147601881
55	2	1.0	0.8223322794783954
174	1	1.0	0.8402724314458849
174	0	1.0	0.8402724314458849
28	1	0.007233273056057866	0.5156386562184773
28	0	0.0	0.0
60	1	0.10526315789473684	0.7853748000739913
60	0	1.0	0.8521700823823836
23	1	0.0	0.0
23	0	0.0	0.0
166	2	0.0	0.0
166	0	0.0	0.0
166	1	0.0	0.0
145	0	0.0	0.0
145	3	0.0	0.0
145	1	0.0	0.0
145	2	0.0	0.0
100	1	0.0	0.0
100	0	0.9714285714285714	0.7690923476016991
200	0	0.0	0.0
200	1	0.0	0.0
164	1	0.00950889361226088	0.5308485298308787
164	0	0.007592675301473872	0.45641920650405
70	3	0.005901287553648069	0.5623075484815441
70	0	0.2909090909090909	0.6666586614205595
70	2	0.0019178625752265062	0.479078793820086
70	1	0.001471259702704074	0.479078793820086
83	1	0.4657534246575342	0.808932603236882
83	0	0.0	0.0
74	0	1.0	0.8430073064105073
74	1	1.0	0.8430073064105073
86	1	0.2300395256916996	0.7082274351110233
86	0	0.0	0.0
56	0	0.0	0.0
56	1	0.0	0.0
139	1	0.0	0.0
139	0	0.0	0.0
132	1	0.7317073170731707	0.8242713430685351
132	0	0.2797427652733119	0.794716396914191
62	1	0.0	0.0
62	0	0.0	0.0
108	1	0.0	0.0
108	0	0.0	0.0
157	1	1.0	0.8033149520414808
157	0	1.0	0.8033149520414808
195	1	1.0	0.8430073064105073
195	0	1.0	0.8632410753295616
15	1	0	0
81	1	0.22058823529411764	0.7606732150966484
81	0	0.0	0.0
84	0	1.0	0.8402724314458849
84	1	1.0	0.8402724314458849
193	1	0.0011478764286070768	0.4803427598453735
193	0	0.0013759272553242401	0.4803427598453735
194	0	0.5573770491803278	0.8489376762282236
194	1	0.0	0.0
154	1	0.0	0.0
154	0	0.0	0.0
165	1	0.06578947368421052	0.8489376762282236
165	0	0.06578947368421052	0.8402724314458849
199	0	0.0	0.0
199	1	0.3625	0.8402724314458849
192	1	0.0	0.0
192	0	0.0	0.0
126	1	0	0
126	0	0	0
68	1	0.6931818181818182	0.8223322794783954
68	0	0.0	0.0
21	0	0.0	0.0
21	1	0.1834862385321101	0.7677073769480027
201	0	0.75	0.8060498270061032
201	2	1.0	0.8262835959251577
