Character	Character Label	State Symbol	State Label	Entity ID	Entity Label	Quality ID	Quality Label	Related Entity ID	Related Entity Label
1	Dentition, replacement (E85)	0	develop lingually, large resorption pit	UBERON:0018296	'replacement tooth'	PATOTEMP:8822e54b-89f9-431a-8a20-25698b53353c	'lingual orientation'		
1	Dentition, replacement (E85)	0	develop lingually, large resorption pit	UBERON:0018297	'resorption pit'	PATO:0000586	'increased size'		
1	Dentition, replacement (E85)	1	posterolingually, resorption pit	UBERON:0018296	'replacement tooth'	PATOTEMP:e76c6090-bd06-405b-9487-9b25ed5e341e	posterolingual		
1	Dentition, replacement (E85)	1	posterolingually, resorption pit	UBERON:0018297	'resorption pit'	PATO:0000467	present		
1	Dentition, replacement (E85)	2	posterolingually, no resorption pit	UBERON:0018296	'replacement tooth'	PATOTEMP:e76c6090-bd06-405b-9487-9b25ed5e341e	posterolingual		
1	Dentition, replacement (E85)	2	posterolingually, no resorption pit	UBERON:0018297	'resorption pit'	PATO:0000462	absent		
2	BRC supraoccipital, nuchal crest, number per side	0	one	UBERONTEMP:043616cc-abac-415d-b5e7-b0e96d27c4ba	nuchal crest	PATO:0000070	count		
2	BRC supraoccipital, nuchal crest, number per side	1	two, splits dorsally into anterior and posterior crests, which together outline a raised triangular area on the dorsal surface of skull roof	UBERONTEMP:043616cc-abac-415d-b5e7-b0e96d27c4ba	nuchal crest	PATO:0001784	bifurcated		
3	Hemipenis, m. retractor lateralis posterior substantial situation within hemipenial sheath (FE-63)	0	absent	UBERON:0017098	'retractor lateralis posterior muscle'	PATO:0000140 and (PHENOSCAPE:complement_of some PATO:0002261)	position and (not some 'located in')	UBERON:4100111	'hemipenal sheath'
3	Hemipenis, m. retractor lateralis posterior substantial situation within hemipenial sheath (FE-63)	1	present	UBERON:0017098	'retractor lateralis posterior muscle'	PATO:0002261	'located in'	UBERON:4100111	'hemipenal sheath'
4	Caudal vertebrae, dorsoventral height (including the neural spines and chevrons) (Bm-oid9)	0	less than 3 times length of centrum	UBERON:0001095	'caudal vertebra'	PATO:0000569	'decreased height'	UBERON:0001075	'bony vertebral centrum'
4	Caudal vertebrae, dorsoventral height (including the neural spines and chevrons) (Bm-oid9)	1	greater than 3 times length of centrum	UBERON:0001095	'caudal vertebra'	PATO:0000570	'increased height'	UBERON:0001075	'bony vertebral centrum'
5	Inner ear, ciliary restraint for hair cells (E-140)	0	tectorial, lacking sallet systems	UBERON:4300126	'tectorial restraint system'	PATO:0000467	present		
5	Inner ear, ciliary restraint for hair cells (E-140)	0	tectorial, lacking sallet systems	UBERON:4200199	'sallet sensory system'	PATO:0000462	absent		
5	Inner ear, ciliary restraint for hair cells (E-140)	1	tectorial and sallet	UBERON:4300126	'tectorial restraint system'	PATO:0000467	present		
5	Inner ear, ciliary restraint for hair cells (E-140)	1	tectorial and sallet	UBERON:4200199	'sallet sensory system'	PATO:0000467	present		
5	Inner ear, ciliary restraint for hair cells (E-140)	2	more than 1/2 hair cells inertial	CL:0002374 and (BFO:0000053 some PATOTEMP:a37eda36-7bb0-4386-a24d-383cf3a9d474)	'ear hair cell' and (bearer_of some inertial)	PATO:0000470	'increased amount'		
6	Dorsal process of premaxilla	0	absent or poorly defined with only partial contact with nasal bone	UBERON:3000003	alary process of premaxilla	PATO:0000462	absent		
6	Dorsal process of premaxilla	0	absent or poorly defined with only partial contact with nasal bone	UBERON:3000003	alary process of premaxilla	PATO:0000587	decreased size		
6	Dorsal process of premaxilla	1	short but well-defined, separating the tips of the nasals or overlapp	UBERON:3000003	alary process of premaxilla	PATO:0000574	decreased length		
6	Dorsal process of premaxilla	2	strong posterior extension separating nasals and contacting frontal	UBERON:3000003	alary process of premaxilla	PATO:0000573	increased length		
6	Dorsal process of premaxilla	2	strong posterior extension separating nasals and contacting frontal	UBERON:3000003	alary process of premaxilla	PATO:0001961	in contact with	UBERON:0000209	tetrapod frontal bone
6	Dorsal process of premaxilla	3	extension of dorsa	UBERON:3000003	alary process of premaxilla	PATO:0000573	increased length		
6	Dorsal process of premaxilla	4	State 4						
7	Pelage - Basal bulb presence	0	no basal bulb, proximal third of hair filament is of roughly uniform diameter	UBERON:0005932	bulb of hair follicle	PATO:0000462	absent		
7	Pelage - Basal bulb presence	1	basal bulb present in proximal third of of hair filiment	UBERON:0005932	bulb of hair follicle	PATO:0000467	present		
8	Thoracic vertebrae 1 and 2:	0	ventral process absent or present and blade-like	UBERON:0018367	processus ventralis of thoracic vertebra	PATO:0000462	absent		
8	Thoracic vertebrae 1 and 2:	0	ventral process absent or present and blade-like	UBERON:0018367	processus ventralis of thoracic vertebra	PATO:0002235	blade-like		
8	Thoracic vertebrae 1 and 2:	1	trifid processus ventralis with 2 lateral projections on thoracic 1 and 2	UBERON:0018367	processus ventralis of thoracic vertebra	PATO:0001890	tripartite		
8	Thoracic vertebrae 1 and 2:	1	trifid processus ventralis with 2 lateral projections on thoracic 1 and 2	UBERON:0018368	processus ventrolateralis of thoracic vertebra	PATO:0000467	present		
9	Anal fin with double base-plate	0	absent	UBERONTEMP:1a260624-dd7f-4984-a989-789d6e961a3c and (BFO:0000050 some UBERON:4000163)	'double base-plate' and (part_of some 'anal fin')	PATO:0000462	absent		
9	Anal fin with double base-plate	1	present	UBERONTEMP:1a260624-dd7f-4984-a989-789d6e961a3c and (BFO:0000050 some UBERON:4000163)	'double base-plate' and (part_of some 'anal fin')	PATO:0000467	present		
10	Craniomandibular joint	0	posterior to occiput	UBERONTEMP:160a7d88-ce21-4e9f-bc46-5cb40d86b259	craniomandibular joint	PATO:0001633	posterior to	UBERON:0005902	occipital region
10	Craniomandibular joint	1	even with occiput	UBERONTEMP:160a7d88-ce21-4e9f-bc46-5cb40d86b259	craniomandibular joint	PATO:0002443	level with	UBERON:0005902	occipital region
10	Craniomandibular joint	2	anterior to occiput	UBERONTEMP:160a7d88-ce21-4e9f-bc46-5cb40d86b259	craniomandibular joint	PATO:0001632	anterior to	UBERON:0005902	occipital region
11	Humerus, distal end, ventral supracondylar tubercle:	0	low tubercle	UBERON:0018371	ventral supracondylar tubercle	PATO:0000569	decreased height		
11	Humerus, distal end, ventral supracondylar tubercle:	1	elongated and narrow process	UBERON:0018371	ventral supracondylar tubercle	PATO:0001154	elongated		
12	Dorsal cloacal glands in female:	0	absent	UBERON:0017164	'dorsal cloacal gland'	PATO:0000462	absent		
