Character	Character Label	State Symbol	State Label	Entity ID	Entity Label	Quality ID	Quality Label	Related Entity ID	Related Entity Label
1	Dentition, replacement (E85)	0	develop lingually, large resorption pit	UBERON:0018296	'replacement tooth'	PATOTEMP:d4b1149b-cd77-4235-97d0-61045b2788ae	'lingual position'		
1	Dentition, replacement (E85)	0	develop lingually, large resorption pit	UBERON:0018297	'resorption pit'	PATO:0000586	'increased size'		
1	Dentition, replacement (E85)	1	posterolingually, resorption pit	UBERON:0018296	'replacement tooth'	PATOTEMP:36bb9fe9-9879-4809-9aaa-f4a115f36332	'posterolingual position'		
1	Dentition, replacement (E85)	1	posterolingually, resorption pit	UBERON:0018297	'resorption pit'	PATO:0000467	present		
1	Dentition, replacement (E85)	2	posterolingually, no resorption pit	UBERON:0018296	'replacement tooth'	PATOTEMP:36bb9fe9-9879-4809-9aaa-f4a115f36332	'posterolingual position'		
1	Dentition, replacement (E85)	2	posterolingually, no resorption pit	UBERON:0018297	'resorption pit'	PATO:0000462	absent		
2	BRC supraoccipital, nuchal crest, number per side	0	one	UBERON:4300127 and (BFO:0000050 some UBERON:0004747)	'nuchal crest' and (part_of some 'supraoccipital bone')	PATO:0000070	count		
2	BRC supraoccipital, nuchal crest, number per side	1	two, splits dorsally into anterior and posterior crests, which together outline a raised triangular area on the dorsal surface of skull roof	UBERON:4300127 and (BFO:0000050 some UBERON:0004747)	'nuchal crest' and (part_of some 'supraoccipital bone')	PATO:0000070	count		
3	Hemipenis, m. retractor lateralis posterior substantial situation within hemipenal sheath (FE-63)	0	absent	UBERON:0017098	'retractor lateralis posterior muscle'	PATO:0000140 and (PHENOSCAPE:complement_of some PATO:0002261)	position and (not some 'located in')	UBERON:4100111	'hemipenal sheath'
3	Hemipenis, m. retractor lateralis posterior substantial situation within hemipenal sheath (FE-63)	1	present	UBERON:0017098	'retractor lateralis posterior muscle'	PATO:0002261	'located in'	UBERON:4100111	'hemipenal sheath'
4	Caudal vertebrae, dorsoventral height (including the neural spines and chevrons) (Bm-oid9)	0	less than 3 times length of centrum	UBERON:0001095	'caudal vertebra'	PATO:0000569	'decreased height'		
4	Caudal vertebrae, dorsoventral height (including the neural spines and chevrons) (Bm-oid9)	1	greater than 3 times length of centrum	UBERON:0001095	'caudal vertebra'	PATO:0000570	'increased height'		
5	Inner ear, ciliary restraint for hair cells (E-140)	0	tectorial, lacking sallet systems	UBERON:4300126	'tectorial restraint system'	PATO:0000467	present		
5	Inner ear, ciliary restraint for hair cells (E-140)	0	tectorial, lacking sallet systems	UBERON:0018374	sallet	PATO:0000462	absent		
5	Inner ear, ciliary restraint for hair cells (E-140)	1	tectorial and sallet	UBERON:4300126	'tectorial restraint system'	PATO:0000467	present		
5	Inner ear, ciliary restraint for hair cells (E-140)	1	tectorial and sallet	UBERON:0018374	sallet	PATO:0000467	present		
