Character	Character Label	State Symbol	State Label	Entity ID	Entity Label	Quality ID	Quality Label	Related Entity ID	Related Entity Label
1	Dentition, replacement (E85)	0	develop lingually, large resorption pit	UBERON:0018296	'replacement tooth'	PATOTEMP:d4b1149b-cd77-4235-97d0-61045b2788ae	'lingual position'		
1	Dentition, replacement (E85)	0	develop lingually, large resorption pit	UBERON:0018297	'resorption pit'	PATO:0000586	'increased size'		
1	Dentition, replacement (E85)	1	posterolingually, resorption pit	UBERON:0018296	'replacement tooth'	PATOTEMP:e76c6090-bd06-405b-9487-9b25ed5e341e	posterolingual		
1	Dentition, replacement (E85)	1	posterolingually, resorption pit	UBERON:0018297	'resorption pit'	PATO:0000467	present		
1	Dentition, replacement (E85)	2	posterolingually, no resorption pit	UBERON:0018296	'replacement tooth'	PATOTEMP:e76c6090-bd06-405b-9487-9b25ed5e341e	posterolingual		
1	Dentition, replacement (E85)	2	posterolingually, no resorption pit	UBERON:0018297	'resorption pit'	PATO:0000462	absent		
2	BRC supraoccipital, nuchal crest, number per side	0	one	UBERON:4300127	'nuchal crest'	PATO:0000070	count		
2	BRC supraoccipital, nuchal crest, number per side	1	two, splits dorsally into anterior and posterior crests, which together outline a raised triangular area on the dorsal surface of skull roof	UBERON:4300127	'nuchal crest'	PATO:0000070	count		
2	BRC supraoccipital, nuchal crest, number per side	1	two, splits dorsally into anterior and posterior crests, which together outline a raised triangular area on the dorsal surface of skull roof	UBERON:4300127	'nuchal crest'	PATO:0001784	bifurcated		
3	Hemipenis, m. retractor lateralis posterior substantial situation within hemipenial sheath (FE-63)	0	absent	UBERON:0017098 and (BFO:0000050 some UBERON:4100111)	'retractor lateralis posterior muscle' and (part_of some 'hemipenal sheath')	PATO:0000462	absent		
3	Hemipenis, m. retractor lateralis posterior substantial situation within hemipenial sheath (FE-63)	1	present	UBERON:0017098 and (BFO:0000050 some UBERON:4100111)	'retractor lateralis posterior muscle' and (part_of some 'hemipenal sheath')	PATO:0000467	present		
4	Caudal vertebrae, dorsoventral height (including the neural spines and chevrons) (Bm-oid9)	0	less than 3 times length of centrum	UBERON:0001095	'caudal vertebra'	PATO:0000119 and (PATO:0002304 some (PATO:0000122 and (BFO:0000052 some UBERON:0001075)))	height and (decreased_in_magnitude_relative_to some (length and (inheres_in some 'vertebral centrum')))		
4	Caudal vertebrae, dorsoventral height (including the neural spines and chevrons) (Bm-oid9)	1	greater than 3 times length of centrum	UBERON:0001095	'caudal vertebra'	PATO:0000119 and (PATO:0002305 some (PATO:0000122 and (BFO:0000052 some UBERON:0001075)))	height and (increased_in_magnitude_relative_to some (length and (inheres_in some 'vertebral centrum')))		
5	Inner ear, ciliary restraint for hair cells (E-140)	0	tectorial, lacking sallet systems	UBERON:4300126	'tectorial restraint system'	PATO:0000467	present		
